Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Eastern Wash. (Big Sky),14,12-2,620,421,14,5614,9.05,13.33,54,401.0
Sam Houston (Southland),13,12-1,546,333,11,4788,8.77,14.38,58,368.3
Samford (SoCon),12,7-5,546,386,8,4193,7.68,10.86,38,349.4
Southern Ill. (MVFC),11,4-7,472,300,7,3648,7.73,12.16,23,331.6
Montana (Big Sky),11,6-5,493,322,10,3591,7.28,11.15,34,326.5
Lehigh (Patriot),12,9-3,447,296,10,3899,8.72,13.17,33,324.9
Northern Ariz. (Big Sky),11,5-6,443,278,9,3507,7.92,12.62,34,318.8
Morehead St. (Pioneer),11,4-7,461,255,11,3416,7.41,13.40,25,310.5
McNeese (Southland),11,6-5,465,280,7,3346,7.20,11.95,23,304.2
Murray St. (OVC),11,4-7,477,302,14,3337,7.00,11.05,24,303.4
South Dakota St. (MVFC),13,9-4,444,285,9,3803,8.57,13.34,33,292.5
SFA (Southland),11,5-6,523,261,10,3217,6.15,12.33,22,292.5
Marist (Pioneer),11,5-6,441,218,12,3137,7.11,14.39,22,285.2
Grambling (SWAC),12,11-1,389,243,7,3366,8.65,13.85,32,280.5
Dartmouth (Ivy League),10,4-6,424,251,15,2787,6.57,11.10,12,278.7
Richmond (CAA),14,10-4,436,272,11,3801,8.72,13.97,27,271.5
Western Ill. (MVFC),11,6-5,408,235,12,2960,7.25,12.60,20,269.1
Fordham (Patriot),11,8-3,358,218,5,2953,8.25,13.55,31,268.5
Central Conn. St. (NEC),11,2-9,437,259,9,2939,6.73,11.35,15,267.2
Cornell (Ivy League),10,4-6,386,226,14,2667,6.91,11.80,19,266.7
Lafayette (Patriot),11,2-9,430,275,13,2933,6.82,10.67,17,266.6
San Diego (Pioneer),12,10-2,384,257,9,3192,8.31,12.42,25,266.0
Furman (SoCon),11,3-8,382,245,13,2921,7.65,11.92,21,265.5
Northern Colo. (Big Sky),11,6-5,336,210,10,2867,8.53,13.65,31,260.6
Duquesne (NEC),11,8-3,365,208,10,2865,7.85,13.77,23,260.5
Bryant (NEC),11,5-6,390,219,14,2860,7.33,13.06,28,260.0
Southern U. (SWAC),11,8-3,358,205,8,2842,7.94,13.86,30,258.4
Weber St. (Big Sky),12,7-5,438,269,14,3073,7.02,11.42,25,256.1
Drake (Pioneer),11,7-4,389,222,17,2815,7.24,12.68,28,255.9
Holy Cross (Patriot),11,4-7,418,254,13,2774,6.64,10.92,20,252.2
Tennessee St. (OVC),11,7-4,315,183,11,2730,8.67,14.92,26,248.2
Eastern Ky. (OVC),11,3-8,391,215,20,2724,6.97,12.67,14,247.6
Indiana St. (MVFC),11,4-7,411,235,12,2698,6.56,11.48,20,245.3
Idaho St. (Big Sky),11,2-9,471,266,11,2689,5.71,10.11,22,244.5
Prairie View (SWAC),11,7-4,364,186,18,2660,7.31,14.30,24,241.8
Harvard (Ivy League),10,7-3,345,209,13,2410,6.99,11.53,17,241.0
UC Davis (Big Sky),11,3-8,386,218,7,2620,6.79,12.02,19,238.2
VMI (SoCon),11,3-8,383,241,14,2613,6.82,10.84,13,237.5
Central Ark. (Southland),13,10-3,398,238,10,3084,7.75,12.96,19,237.2
Tennessee Tech (OVC),11,5-6,351,219,7,2608,7.43,11.91,18,237.1
Western Caro. (SoCon),11,2-9,349,219,9,2574,7.38,11.75,15,234.0
James Madison (CAA),15,14-1,349,247,9,3487,9.99,14.12,34,232.5
Princeton (Ivy League),10,8-2,350,218,8,2318,6.62,10.63,16,231.8
Ark.-Pine Bluff (SWAC),11,1-10,399,238,8,2547,6.38,10.70,11,231.5
UT Martin (OVC),12,7-5,362,199,17,2759,7.62,13.86,25,229.9
Illinois St. (MVFC),12,6-6,377,231,7,2743,7.28,11.87,22,228.6
Penn (Ivy League),10,7-3,300,202,4,2277,7.59,11.27,18,227.7
Nicholls (Southland),11,5-6,368,203,14,2494,6.78,12.29,18,226.7
Wagner (NEC),11,6-5,328,185,5,2468,7.52,13.34,16,224.4
N.C. Central (MEAC),12,9-3,319,193,15,2680,8.40,13.89,19,223.3
Mississippi Val. (SWAC),11,1-10,392,219,19,2451,6.25,11.19,16,222.8
Eastern Ill. (OVC),11,6-5,337,201,13,2424,7.19,12.06,17,220.4
Southern Utah (Big Sky),11,6-5,388,223,9,2413,6.22,10.82,23,219.4
