Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
San Diego (Pioneer),12,10-2,421:45,35:08
The Citadel (SoCon),12,10-2,415:35,34:37
Youngstown St. (MVFC),16,12-4,541:55,33:52
Bucknell (Patriot),11,4-7,369:34,33:35
Cal Poly (Big Sky),12,7-5,401:47,33:28
Tennessee Tech (OVC),11,5-6,367:11,33:22
McNeese (Southland),11,6-5,366:52,33:21
North Dakota (Big Sky),12,9-3,399:22,33:16
Howard (MEAC),11,2-9,363:25,33:02
Villanova (CAA),13,9-4,429:12,33:00
Wofford (SoCon),14,10-4,461:38,32:58
Western Ill. (MVFC),11,6-5,361:20,32:50
Harvard (Ivy League),10,7-3,327:28,32:44
Duquesne (NEC),11,8-3,357:13,32:28
Chattanooga (SoCon),13,9-4,420:39,32:21
Central Ark. (Southland),13,10-3,418:31,32:11
UT Martin (OVC),12,7-5,386:12,32:11
Richmond (CAA),14,10-4,449:40,32:07
Texas Southern (SWAC),11,4-7,352:36,32:03
Jacksonville (Pioneer),10,5-5,318:30,31:51
North Dakota St. (MVFC),14,12-2,445:53,31:50
James Madison (CAA),15,14-1,475:58,31:43
Weber St. (Big Sky),12,7-5,380:46,31:43
UNI (MVFC),11,5-6,348:25,31:40
Mississippi Val. (SWAC),11,1-10,348:16,31:39
Kennesaw St. (Big South),11,8-3,347:34,31:35
Colgate (Patriot),10,5-5,315:30,31:33
Southeast Mo. St. (OVC),11,3-8,346:41,31:31
Furman (SoCon),11,3-8,346:28,31:29
Hampton (MEAC),11,5-6,345:50,31:26
Portland St. (Big Sky),11,3-8,345:50,31:26
Jacksonville St. (OVC),12,10-2,377:15,31:26
Princeton (Ivy League),10,8-2,313:16,31:19
Nicholls (Southland),11,5-6,344:16,31:17
Delaware (CAA),11,4-7,343:09,31:11
Austin Peay (OVC),11,0-11,343:03,31:11
ETSU (SoCon),11,5-6,342:52,31:10
Charleston So. (Big South),11,7-4,342:25,31:07
Alabama A&M (SWAC),11,4-7,341:36,31:03
Montana (Big Sky),11,6-5,341:25,31:02
Tennessee St. (OVC),11,7-4,340:46,30:58
Houston Christian (Southland),11,4-7,339:13,30:50
Alabama St. (SWAC),11,4-7,338:52,30:48
Lehigh (Patriot),12,9-3,368:54,30:44
Wagner (NEC),11,6-5,337:55,30:43
William & Mary (CAA),11,5-6,337:54,30:43
Presbyterian (Big South),11,2-9,337:48,30:42
Monmouth (Big South),11,4-7,337:26,30:40
Butler (Pioneer),11,4-7,336:06,30:33
Campbell (Pioneer),10,5-5,304:57,30:29
Lafayette (Patriot),11,2-9,335:13,30:28
Southern U. (SWAC),11,8-3,334:25,30:24
Bethune-Cookman (MEAC),10,4-6,303:48,30:22
Penn (Ivy League),10,7-3,303:32,30:21
UC Davis (Big Sky),11,3-8,333:08,30:17
New Hampshire (CAA),13,8-5,392:45,30:12
Saint Francis (PA) (NEC),12,7-5,361:37,30:08
Brown (Ivy League),10,4-6,300:04,30:00
Illinois St. (MVFC),12,6-6,359:34,29:57
Drake (Pioneer),11,7-4,328:32,29:52
Gardner-Webb (Big South),11,5-6,328:22,29:51
Dayton (Pioneer),11,9-2,327:58,29:48
Montana St. (Big Sky),11,4-7,327:16,29:45
Stony Brook (CAA),11,5-6,327:03,29:43
Lamar University (Southland),11,3-8,327:01,29:43
Fordham (Patriot),11,8-3,326:43,29:42
Mercer (SoCon),11,6-5,326:30,29:40
Florida A&M (MEAC),11,4-7,326:29,29:40
Jackson St. (SWAC),11,3-8,325:11,29:33
N.C. A&T (MEAC),12,9-3,354:29,29:32
Liberty (Big South),11,6-5,324:43,29:31
South Dakota St. (MVFC),13,9-4,382:57,29:27
Towson (CAA),11,4-7,323:48,29:26
Morehead St. (Pioneer),11,4-7,323:16,29:23
South Carolina St. (MEAC),11,5-6,323:05,29:22
Southeastern La. (Southland),11,7-4,322:57,29:21
VMI (SoCon),11,3-8,322:30,29:19
Northern Ariz. (Big Sky),11,5-6,321:54,29:15
Valparaiso (Pioneer),11,4-7,321:48,29:15
Southern Ill. (MVFC),11,4-7,320:33,29:08
Yale (Ivy League),10,3-7,291:12,29:07
Columbia (Ivy League),10,3-7,291:01,29:06
Bryant (NEC),11,5-6,319:58,29:05
Sacred Heart (NEC),11,6-5,319:27,29:02
Norfolk St. (MEAC),11,4-7,319:26,29:02
Ark.-Pine Bluff (SWAC),11,1-10,319:23,29:02
Alcorn (SWAC),11,5-6,318:59,28:59
Holy Cross (Patriot),11,4-7,318:57,28:59
Maine (CAA),11,6-5,317:56,28:54
Sacramento St. (Big Sky),11,2-9,317:41,28:52
UAlbany (CAA),11,7-4,317:13,28:50
Indiana St. (MVFC),11,4-7,316:57,28:48
Central Conn. St. (NEC),11,2-9,315:58,28:43
Morgan St. (MEAC),11,3-8,315:43,28:42
Grambling (SWAC),12,11-1,343:58,28:39
Delaware St. (MEAC),11,0-11,314:28,28:35
Eastern Ill. (OVC),11,6-5,314:24,28:34
N.C. Central (MEAC),12,9-3,341:38,28:28
SFA (Southland),11,5-6,312:33,28:24
Northwestern St. (Southland),11,1-10,312:17,28:23
Rhode Island (CAA),11,2-9,310:42,28:14
Prairie View (SWAC),11,7-4,310:30,28:13
Eastern Wash. (Big Sky),14,12-2,393:04,28:04
Dartmouth (Ivy League),10,4-6,280:40,28:04
Stetson (Pioneer),11,4-7,307:33,27:57
Cornell (Ivy League),10,4-6,279:08,27:54
Georgetown (Patriot),11,3-8,305:39,27:47
Davidson (Pioneer),11,2-9,304:56,27:43
Idaho St. (Big Sky),11,2-9,302:29,27:29
Missouri St. (MVFC),11,4-7,301:14,27:23
Murray St. (OVC),11,4-7,295:48,26:53
Elon (CAA),11,2-9,294:57,26:48
Sam Houston (Southland),13,12-1,346:14,26:38
Southern Utah (Big Sky),11,6-5,292:43,26:36
Robert Morris (NEC),11,2-9,291:56,26:32
South Dakota (MVFC),11,4-7,290:24,26:24
Northern Colo. (Big Sky),11,6-5,287:52,26:10
Marist (Pioneer),11,5-6,287:11,26:06
Savannah St. (MEAC),10,3-7,257:40,25:46
Eastern Ky. (OVC),11,3-8,281:02,25:32
Western Caro. (SoCon),11,2-9,272:40,24:47
Samford (SoCon),12,7-5,293:04,24:25
UIW (Southland),11,3-8,324:06,29:27
Abilene Christian (Southland),11,2-9,311:41,28:20
