Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
The Citadel (SoCon),12,10-2,778,4178,5.37,32,348.2
Cal Poly (Big Sky),12,7-5,717,4122,5.75,39,343.5
Kennesaw St. (Big South),11,8-3,597,3527,5.91,41,320.6
Wofford (SoCon),14,10-4,785,3915,4.99,36,279.6
James Madison (CAA),15,14-1,750,4125,5.50,50,275.0
Charleston So. (Big South),11,7-4,487,2932,6.02,30,266.5
Jacksonville St. (OVC),12,10-2,558,3007,5.39,32,250.6
Jacksonville (Pioneer),10,5-5,494,2482,5.02,29,248.2
Portland St. (Big Sky),11,3-8,505,2680,5.31,35,243.6
Youngstown St. (MVFC),16,12-4,775,3883,5.01,34,242.7
North Dakota St. (MVFC),14,12-2,596,3372,5.66,29,240.9
Fordham (Patriot),11,8-3,468,2527,5.40,25,229.7
Gardner-Webb (Big South),11,5-6,485,2519,5.19,24,229.0
Delaware (CAA),11,4-7,478,2499,5.23,23,227.2
Alabama St. (SWAC),11,4-7,481,2364,4.91,27,214.9
Southern U. (SWAC),11,8-3,436,2349,5.39,24,213.5
Montana St. (Big Sky),11,4-7,456,2332,5.11,23,212.0
Alcorn (SWAC),11,5-6,438,2332,5.32,26,212.0
Campbell (Pioneer),10,5-5,440,2090,4.75,20,209.0
Dayton (Pioneer),11,9-2,452,2297,5.08,28,208.8
North Dakota (Big Sky),12,9-3,546,2501,4.58,22,208.4
Sacred Heart (NEC),11,6-5,475,2277,4.79,18,207.0
Colgate (Patriot),10,5-5,404,2066,5.11,21,206.6
Villanova (CAA),13,9-4,576,2682,4.66,21,206.3
Chattanooga (SoCon),13,9-4,531,2682,5.05,29,206.3
N.C. A&T (MEAC),12,9-3,446,2446,5.48,27,203.8
Grambling (SWAC),12,11-1,459,2444,5.32,27,203.7
Northwestern St. (Southland),11,1-10,395,2095,5.30,18,190.5
Central Ark. (Southland),13,10-3,645,2433,3.77,29,187.2
Eastern Ill. (OVC),11,6-5,474,2029,4.28,21,184.5
Princeton (Ivy League),10,8-2,453,1837,4.06,30,183.7
Austin Peay (OVC),11,0-11,472,2014,4.27,16,183.1
Houston Christian (Southland),11,4-7,494,2007,4.06,13,182.5
New Hampshire (CAA),13,8-5,517,2356,4.56,23,181.2
Southeastern La. (Southland),11,7-4,442,1991,4.50,15,181.0
Howard (MEAC),11,2-9,459,1990,4.34,16,180.9
Sam Houston (Southland),13,12-1,447,2327,5.21,31,179.0
Alabama A&M (SWAC),11,4-7,449,1958,4.36,19,178.0
South Dakota (MVFC),11,4-7,496,1957,3.95,15,177.9
Mercer (SoCon),11,6-5,452,1937,4.29,15,176.1
San Diego (Pioneer),12,10-2,480,2098,4.37,30,174.8
Sacramento St. (Big Sky),11,2-9,431,1890,4.39,20,171.8
Butler (Pioneer),11,4-7,382,1882,4.93,19,171.1
Penn (Ivy League),10,7-3,376,1691,4.50,19,169.1
Duquesne (NEC),11,8-3,434,1854,4.27,17,168.5
UAlbany (CAA),11,7-4,441,1839,4.17,19,167.2
Tennessee St. (OVC),11,7-4,378,1836,4.86,16,166.9
