Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Sam Houston (Southland),13,12-1,90,87,0,0,5,1,644,49.5
James Madison (CAA),15,14-1,94,90,1,0,14,1,700,46.7
Eastern Wash. (Big Sky),14,12-2,81,75,1,0,10,0,593,42.4
Fordham (Patriot),11,8-3,59,52,1,0,11,0,441,40.1
Southern U. (SWAC),11,8-3,58,51,0,0,13,0,438,39.8
Grambling (SWAC),12,11-1,66,62,0,0,5,2,477,39.8
Montana (Big Sky),11,6-5,57,45,1,0,15,0,434,39.5
Kennesaw St. (Big South),11,8-3,60,54,1,0,4,0,428,38.9
Lehigh (Patriot),12,9-3,64,62,1,0,6,0,466,38.8
San Diego (Pioneer),12,10-2,58,53,0,0,9,0,428,35.7
N.C. A&T (MEAC),12,9-3,57,53,0,0,9,0,422,35.2
Samford (SoCon),12,7-5,55,53,1,0,12,0,421,35.1
Cal Poly (Big Sky),12,7-5,57,54,1,0,6,0,416,34.7
Princeton (Ivy League),10,8-2,47,44,1,0,6,0,346,34.6
Northern Colo. (Big Sky),11,6-5,51,48,1,0,7,0,377,34.3
Chattanooga (SoCon),13,9-4,59,55,0,0,12,0,445,34.2
Portland St. (Big Sky),11,3-8,49,48,1,0,7,0,365,33.2
South Dakota St. (MVFC),13,9-4,57,56,0,0,11,0,431,33.2
Central Ark. (Southland),13,10-3,56,51,0,0,13,2,430,33.1
Charleston So. (Big South),11,7-4,49,45,2,0,6,1,363,33.0
Northern Ariz. (Big Sky),11,5-6,46,44,1,0,13,0,361,32.8
Prairie View (SWAC),11,7-4,49,43,0,1,5,3,360,32.7
Jacksonville (Pioneer),10,5-5,43,39,1,0,9,0,326,32.6
Dayton (Pioneer),11,9-2,45,42,1,0,14,0,356,32.4
Morehead St. (Pioneer),11,4-7,48,41,3,0,7,0,356,32.4
Tennessee St. (OVC),11,7-4,44,38,1,0,17,0,355,32.3
UT Martin (OVC),12,7-5,51,44,1,0,11,1,387,32.3
McNeese (Southland),11,6-5,46,40,0,0,12,0,352,32.0
Duquesne (NEC),11,8-3,44,38,1,0,13,0,343,31.2
Colgate (Patriot),10,5-5,40,38,0,0,11,0,311,31.1
Jacksonville St. (OVC),12,10-2,49,41,0,0,12,0,371,30.9
Southern Ill. (MVFC),11,4-7,45,39,2,0,9,0,340,30.9
SFA (Southland),11,5-6,42,41,1,0,13,0,334,30.4
Alcorn (SWAC),11,5-6,46,38,0,0,5,2,333,30.3
Nicholls (Southland),11,5-6,44,38,2,0,9,0,333,30.3
South Dakota (MVFC),11,4-7,41,41,0,0,14,0,329,29.9
North Dakota (Big Sky),12,9-3,44,41,0,0,16,1,355,29.6
Southern Utah (Big Sky),11,6-5,44,40,0,1,5,0,321,29.2
North Dakota St. (MVFC),14,12-2,52,49,0,0,15,1,408,29.1
UNI (MVFC),11,5-6,39,34,1,0,16,1,320,29.1
Southeastern La. (Southland),11,7-4,42,37,0,0,10,0,319,29.0
Western Ill. (MVFC),11,6-5,41,37,0,0,12,0,319,29.0
N.C. Central (MEAC),12,9-3,45,40,1,0,11,1,347,28.9
Bryant (NEC),11,5-6,42,36,2,0,8,0,316,28.7
Richmond (CAA),14,10-4,47,42,1,0,25,0,401,28.6
New Hampshire (CAA),13,8-5,50,38,6,0,7,0,371,28.5
UC Davis (Big Sky),11,3-8,40,33,1,0,11,1,310,28.2
Drake (Pioneer),11,7-4,41,40,0,0,8,0,310,28.2
Campbell (Pioneer),10,5-5,38,31,2,0,6,0,281,28.1
Penn (Ivy League),10,7-3,39,38,0,0,1,1,277,27.7
Youngstown St. (MVFC),16,12-4,55,52,0,0,20,0,442,27.6
Liberty (Big South),11,6-5,37,33,0,0,15,1,302,27.5
Furman (SoCon),11,3-8,40,36,2,0,7,0,301,27.4
Mercer (SoCon),11,6-5,36,34,0,0,16,0,298,27.1
Saint Francis (PA) (NEC),12,7-5,41,39,1,0,12,0,323,26.9
Tennessee Tech (OVC),11,5-6,37,33,1,0,13,0,296,26.9
Wofford (SoCon),14,10-4,46,42,1,0,17,2,375,26.8
Eastern Ill. (OVC),11,6-5,39,39,0,0,7,0,294,26.7
Sacred Heart (NEC),11,6-5,39,34,0,0,8,0,292,26.5
The Citadel (SoCon),12,10-2,40,36,0,0,13,1,317,26.4
Harvard (Ivy League),10,7-3,34,27,2,0,9,0,262,26.2
Murray St. (OVC),11,4-7,33,27,1,0,20,0,287,26.1
Eastern Ky. (OVC),11,3-8,36,29,5,0,10,1,287,26.1
Wagner (NEC),11,6-5,35,29,0,0,16,0,287,26.1
Illinois St. (MVFC),12,6-6,38,36,0,0,16,0,312,26.0
Alabama St. (SWAC),11,4-7,40,32,1,0,4,0,286,26.0
Weber St. (Big Sky),12,7-5,42,33,2,0,7,1,312,26.0
Montana St. (Big Sky),11,4-7,36,33,0,0,11,0,282,25.6
Monmouth (Big South),11,4-7,37,32,1,0,8,0,280,25.5
Bethune-Cookman (MEAC),10,4-6,34,30,0,0,6,0,252,25.2
Gardner-Webb (Big South),11,5-6,35,34,1,0,10,0,276,25.1
Marist (Pioneer),11,5-6,34,31,1,0,13,0,276,25.1
