Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Wofford (SoCon),14,10-4,3,23,0.21
The Citadel (SoCon),12,10-2,3,18,0.25
San Diego (Pioneer),12,10-2,4,19,0.33
Kennesaw St. (Big South),11,8-3,7,44,0.64
Northern Ariz. (Big Sky),11,5-6,8,50,0.73
Cal Poly (Big Sky),12,7-5,9,41,0.75
Colgate (Patriot),10,5-5,9,83,0.90
Jacksonville (Pioneer),10,5-5,10,61,1.00
Delaware (CAA),11,4-7,11,75,1.00
North Dakota St. (MVFC),14,12-2,15,97,1.07
N.C. A&T (MEAC),12,9-3,13,91,1.08
Furman (SoCon),11,3-8,12,85,1.09
Southern U. (SWAC),11,8-3,12,73,1.09
Elon (CAA),11,2-9,12,74,1.09
Rhode Island (CAA),11,2-9,12,83,1.09
Central Ark. (Southland),13,10-3,15,108,1.15
Butler (Pioneer),11,4-7,13,85,1.18
Alcorn (SWAC),11,5-6,13,98,1.18
South Carolina St. (MEAC),11,5-6,13,89,1.18
Sacred Heart (NEC),11,6-5,13,81,1.18
Prairie View (SWAC),11,7-4,13,65,1.18
UT Martin (OVC),12,7-5,15,97,1.25
Towson (CAA),11,4-7,14,95,1.27
Davidson (Pioneer),11,2-9,14,107,1.27
Maine (CAA),11,6-5,14,110,1.27
Morehead St. (Pioneer),11,4-7,14,95,1.27
Dartmouth (Ivy League),10,4-6,13,71,1.30
Sam Houston (Southland),13,12-1,17,108,1.31
Chattanooga (SoCon),13,9-4,17,141,1.31
James Madison (CAA),15,14-1,20,114,1.33
Southeastern La. (Southland),11,7-4,16,95,1.45
Missouri St. (MVFC),11,4-7,16,118,1.45
Tennessee St. (OVC),11,7-4,16,73,1.45
UC Davis (Big Sky),11,3-8,16,102,1.45
Western Ill. (MVFC),11,6-5,16,103,1.45
Mercer (SoCon),11,6-5,17,86,1.55
Eastern Ill. (OVC),11,6-5,17,96,1.55
Montana St. (Big Sky),11,4-7,17,130,1.55
Dayton (Pioneer),11,9-2,17,132,1.55
Jacksonville St. (OVC),12,10-2,19,110,1.58
Southern Utah (Big Sky),11,6-5,18,140,1.64
Northwestern St. (Southland),11,1-10,18,76,1.64
Eastern Ky. (OVC),11,3-8,18,108,1.64
Duquesne (NEC),11,8-3,18,128,1.64
Penn (Ivy League),10,7-3,17,88,1.70
Eastern Wash. (Big Sky),14,12-2,24,173,1.71
Monmouth (Big South),11,4-7,19,132,1.73
Gardner-Webb (Big South),11,5-6,19,132,1.73
Jackson St. (SWAC),11,3-8,19,129,1.73
South Dakota St. (MVFC),13,9-4,23,185,1.77
Princeton (Ivy League),10,8-2,18,100,1.80
Youngstown St. (MVFC),16,12-4,29,144,1.81
William & Mary (CAA),11,5-6,20,152,1.82
Central Conn. St. (NEC),11,2-9,20,131,1.82
N.C. Central (MEAC),12,9-3,22,143,1.83
Valparaiso (Pioneer),11,4-7,21,150,1.91
Charleston So. (Big South),11,7-4,21,120,1.91
Nicholls (Southland),11,5-6,21,124,1.91
Portland St. (Big Sky),11,3-8,21,129,1.91
Stony Brook (CAA),11,5-6,21,120,1.91
Florida A&M (MEAC),11,4-7,21,134,1.91
Weber St. (Big Sky),12,7-5,23,138,1.92
Lehigh (Patriot),12,9-3,24,105,2.00
Brown (Ivy League),10,4-6,20,120,2.00
South Dakota (MVFC),11,4-7,22,126,2.00
North Dakota (Big Sky),12,9-3,24,151,2.00
Villanova (CAA),13,9-4,27,183,2.08
Presbyterian (Big South),11,2-9,23,125,2.09
Lamar University (Southland),11,3-8,23,149,2.09
Northern Colo. (Big Sky),11,6-5,23,147,2.09
Southeast Mo. St. (OVC),11,3-8,23,150,2.09
Saint Francis (PA) (NEC),12,7-5,26,166,2.17
Montana (Big Sky),11,6-5,24,99,2.18
Stetson (Pioneer),11,4-7,24,143,2.18
McNeese (Southland),11,6-5,24,138,2.18
Campbell (Pioneer),10,5-5,22,150,2.20
Richmond (CAA),14,10-4,31,226,2.21
Hampton (MEAC),11,5-6,25,151,2.27
Howard (MEAC),11,2-9,25,144,2.27
Samford (SoCon),12,7-5,28,170,2.33
Georgetown (Patriot),11,3-8,26,150,2.36
VMI (SoCon),11,3-8,26,142,2.36
Cornell (Ivy League),10,4-6,24,149,2.40
Alabama A&M (SWAC),11,4-7,28,134,2.55
Austin Peay (OVC),11,0-11,28,180,2.55
Fordham (Patriot),11,8-3,28,163,2.55
New Hampshire (CAA),13,8-5,34,230,2.62
Texas Southern (SWAC),11,4-7,29,208,2.64
Southern Ill. (MVFC),11,4-7,29,162,2.64
Western Caro. (SoCon),11,2-9,29,189,2.64
Bryant (NEC),11,5-6,29,212,2.64
SFA (Southland),11,5-6,30,181,2.73
Houston Christian (Southland),11,4-7,30,167,2.73
ETSU (SoCon),11,5-6,30,196,2.73
Liberty (Big South),11,6-5,30,208,2.73
Savannah St. (MEAC),10,3-7,28,228,2.80
Delaware St. (MEAC),11,0-11,31,174,2.82
Yale (Ivy League),10,3-7,29,221,2.90
Alabama St. (SWAC),11,4-7,32,204,2.91
Wagner (NEC),11,6-5,32,256,2.91
Drake (Pioneer),11,7-4,32,218,2.91
Grambling (SWAC),12,11-1,35,257,2.92
Bethune-Cookman (MEAC),10,4-6,30,185,3.00
Morgan St. (MEAC),11,3-8,33,211,3.00
Harvard (Ivy League),10,7-3,30,173,3.00
Bucknell (Patriot),11,4-7,33,216,3.00
UNI (MVFC),11,5-6,33,204,3.00
Lafayette (Patriot),11,2-9,33,248,3.00
Illinois St. (MVFC),12,6-6,37,252,3.08
UAlbany (CAA),11,7-4,34,211,3.09
Idaho St. (Big Sky),11,2-9,34,166,3.09
Marist (Pioneer),11,5-6,34,181,3.09
Sacramento St. (Big Sky),11,2-9,35,224,3.18
Norfolk St. (MEAC),11,4-7,35,210,3.18
Indiana St. (MVFC),11,4-7,35,265,3.18
Murray St. (OVC),11,4-7,37,217,3.36
Robert Morris (NEC),11,2-9,37,278,3.36
Holy Cross (Patriot),11,4-7,38,220,3.45
Tennessee Tech (OVC),11,5-6,38,259,3.45
Columbia (Ivy League),10,3-7,36,217,3.60
Mississippi Val. (SWAC),11,1-10,45,276,4.09
Ark.-Pine Bluff (SWAC),11,1-10,48,336,4.36
Abilene Christian (Southland),11,2-9,26,133,2.36
UIW (Southland),11,3-8,32,181,2.91
