Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Grambling (SWAC),12,11-1,32,5,6,8,19,0.594
Georgetown (Patriot),11,3-8,45,14,9,6,29,0.644
Villanova (CAA),13,9-4,36,10,8,6,24,0.667
Jacksonville St. (OVC),12,10-2,30,9,5,6,20,0.667
Montana (Big Sky),11,6-5,42,13,14,2,29,0.690
New Hampshire (CAA),13,8-5,43,11,14,5,30,0.698
Wofford (SoCon),14,10-4,44,7,20,4,31,0.705
Stetson (Pioneer),11,4-7,41,9,17,3,29,0.707
Dayton (Pioneer),11,9-2,38,13,8,6,27,0.711
Robert Morris (NEC),11,2-9,45,11,12,9,32,0.711
Illinois St. (MVFC),12,6-6,35,6,12,7,25,0.714
Stony Brook (CAA),11,5-6,42,11,12,7,30,0.714
Southern Ill. (MVFC),11,4-7,42,8,15,7,30,0.714
North Dakota St. (MVFC),14,12-2,46,8,14,11,33,0.717
Southeast Mo. St. (OVC),11,3-8,37,6,15,6,27,0.730
Princeton (Ivy League),10,8-2,26,7,8,4,19,0.731
Southeastern La. (Southland),11,7-4,52,17,13,8,38,0.731
Liberty (Big South),11,6-5,38,13,6,9,28,0.737
Alcorn (SWAC),11,5-6,36,9,12,6,27,0.750
Florida A&M (MEAC),11,4-7,44,22,7,4,33,0.750
William & Mary (CAA),11,5-6,40,17,6,7,30,0.750
Harvard (Ivy League),10,7-3,24,7,8,3,18,0.750
Lamar University (Southland),11,3-8,48,26,5,5,36,0.750
Central Ark. (Southland),13,10-3,37,9,8,11,28,0.757
Murray St. (OVC),11,4-7,46,15,12,8,35,0.761
ETSU (SoCon),11,5-6,46,23,8,4,35,0.761
Tennessee Tech (OVC),11,5-6,42,15,6,11,32,0.762
Gardner-Webb (Big South),11,5-6,42,14,10,8,32,0.762
N.C. Central (MEAC),12,9-3,38,14,10,5,29,0.763
Morehead St. (Pioneer),11,4-7,51,18,8,13,39,0.765
Texas Southern (SWAC),11,4-7,43,19,4,10,33,0.767
N.C. A&T (MEAC),12,9-3,39,12,9,9,30,0.769
Charleston So. (Big South),11,7-4,22,7,7,3,17,0.773
Savannah St. (MEAC),10,3-7,40,17,9,5,31,0.775
Brown (Ivy League),10,4-6,40,15,10,6,31,0.775
Jackson St. (SWAC),11,3-8,40,19,10,2,31,0.775
North Dakota (Big Sky),12,9-3,36,7,12,9,28,0.778
Eastern Wash. (Big Sky),14,12-2,50,21,12,6,39,0.780
Butler (Pioneer),11,4-7,41,13,11,8,32,0.780
Bethune-Cookman (MEAC),10,4-6,32,12,5,8,25,0.781
VMI (SoCon),11,3-8,46,11,17,8,36,0.783
Columbia (Ivy League),10,3-7,28,8,9,5,22,0.786
South Dakota (MVFC),11,4-7,47,19,9,9,37,0.787
The Citadel (SoCon),12,10-2,24,8,6,5,19,0.792
Maine (CAA),11,6-5,34,11,9,7,27,0.794
Hampton (MEAC),11,5-6,39,10,10,11,31,0.795
