Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Delaware (CAA),11,4-7,40,356,32.36
Lehigh (Patriot),12,9-3,49,409,34.08
VMI (SoCon),11,3-8,42,380,34.55
Holy Cross (Patriot),11,4-7,47,418,38.00
William & Mary (CAA),11,5-6,50,439,39.91
South Dakota St. (MVFC),13,9-4,60,523,40.23
Penn (Ivy League),10,7-3,46,406,40.60
Illinois St. (MVFC),12,6-6,50,490,40.83
South Dakota (MVFC),11,4-7,54,450,40.91
Bucknell (Patriot),11,4-7,56,451,41.00
Gardner-Webb (Big South),11,5-6,47,453,41.18
Davidson (Pioneer),11,2-9,49,465,42.27
Lamar University (Southland),11,3-8,60,467,42.45
Princeton (Ivy League),10,8-2,51,429,42.90
UAlbany (CAA),11,7-4,56,479,43.55
Furman (SoCon),11,3-8,53,481,43.73
Lafayette (Patriot),11,2-9,52,491,44.64
Brown (Ivy League),10,4-6,57,450,45.00
Liberty (Big South),11,6-5,56,497,45.18
Tennessee Tech (OVC),11,5-6,58,498,45.27
Missouri St. (MVFC),11,4-7,48,504,45.82
Montana St. (Big Sky),11,4-7,61,510,46.36
Yale (Ivy League),10,3-7,46,465,46.50
Colgate (Patriot),10,5-5,51,465,46.50
Alabama A&M (SWAC),11,4-7,70,516,46.91
Elon (CAA),11,2-9,56,522,47.45
Cal Poly (Big Sky),12,7-5,63,575,47.92
Villanova (CAA),13,9-4,75,625,48.08
Nicholls (Southland),11,5-6,65,530,48.18
Valparaiso (Pioneer),11,4-7,54,532,48.36
Southern U. (SWAC),11,8-3,62,535,48.64
New Hampshire (CAA),13,8-5,79,634,48.77
Richmond (CAA),14,10-4,70,684,48.86
Wofford (SoCon),14,10-4,74,685,48.93
Weber St. (Big Sky),12,7-5,66,588,49.00
Fordham (Patriot),11,8-3,71,548,49.82
Morehead St. (Pioneer),11,4-7,64,548,49.82
Presbyterian (Big South),11,2-9,66,551,50.09
Stony Brook (CAA),11,5-6,71,552,50.18
Butler (Pioneer),11,4-7,60,559,50.82
Duquesne (NEC),11,8-3,61,569,51.73
North Dakota (Big Sky),12,9-3,70,624,52.00
Rhode Island (CAA),11,2-9,72,573,52.09
Sacramento St. (Big Sky),11,2-9,61,573,52.09
The Citadel (SoCon),12,10-2,63,627,52.25
Youngstown St. (MVFC),16,12-4,83,838,52.38
Chattanooga (SoCon),13,9-4,74,687,52.85
Idaho St. (Big Sky),11,2-9,65,582,52.91
UC Davis (Big Sky),11,3-8,72,589,53.55
Eastern Wash. (Big Sky),14,12-2,86,751,53.64
Dayton (Pioneer),11,9-2,66,594,54.00
Western Ill. (MVFC),11,6-5,64,596,54.18
North Dakota St. (MVFC),14,12-2,83,764,54.57
Towson (CAA),11,4-7,66,604,54.91
Dartmouth (Ivy League),10,4-6,62,556,55.60
Indiana St. (MVFC),11,4-7,77,614,55.82
