Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Stony Brook (CAA),11,5-6,2,17,0.118
Morehead St. (Pioneer),11,4-7,5,23,0.217
Grambling (SWAC),12,11-1,7,29,0.241
Valparaiso (Pioneer),11,4-7,5,20,0.250
McNeese (Southland),11,6-5,5,18,0.278
San Diego (Pioneer),12,10-2,6,21,0.286
Princeton (Ivy League),10,8-2,3,10,0.300
Western Ill. (MVFC),11,6-5,5,16,0.313
Kennesaw St. (Big South),11,8-3,5,16,0.313
Alabama A&M (SWAC),11,4-7,4,12,0.333
Dayton (Pioneer),11,9-2,8,24,0.333
Saint Francis (PA) (NEC),12,7-5,5,15,0.333
North Dakota St. (MVFC),14,12-2,8,24,0.333
Youngstown St. (MVFC),16,12-4,5,15,0.333
UT Martin (OVC),12,7-5,7,19,0.368
Sacred Heart (NEC),11,6-5,6,16,0.375
Penn (Ivy League),10,7-3,9,24,0.375
N.C. Central (MEAC),12,9-3,8,21,0.381
N.C. A&T (MEAC),12,9-3,10,26,0.385
Eastern Ill. (OVC),11,6-5,6,15,0.400
Southeastern La. (Southland),11,7-4,8,20,0.400
Norfolk St. (MEAC),11,4-7,6,15,0.400
Northern Ariz. (Big Sky),11,5-6,10,24,0.417
UAlbany (CAA),11,7-4,10,24,0.417
Montana (Big Sky),11,6-5,8,19,0.421
Southern U. (SWAC),11,8-3,8,19,0.421
Central Ark. (Southland),13,10-3,11,26,0.423
Liberty (Big South),11,6-5,6,14,0.429
Chattanooga (SoCon),13,9-4,9,21,0.429
Bethune-Cookman (MEAC),10,4-6,6,14,0.429
Sacramento St. (Big Sky),11,2-9,6,14,0.429
Southeast Mo. St. (OVC),11,3-8,6,14,0.429
Campbell (Pioneer),10,5-5,6,14,0.429
James Madison (CAA),15,14-1,12,28,0.429
UNI (MVFC),11,5-6,6,14,0.429
Harvard (Ivy League),10,7-3,8,18,0.444
Southern Ill. (MVFC),11,4-7,9,20,0.450
Eastern Ky. (OVC),11,3-8,9,20,0.450
Sam Houston (Southland),13,12-1,14,31,0.452
The Citadel (SoCon),12,10-2,5,11,0.455
Colgate (Patriot),10,5-5,10,22,0.455
Brown (Ivy League),10,4-6,10,22,0.455
Rhode Island (CAA),11,2-9,10,22,0.455
Southern Utah (Big Sky),11,6-5,11,24,0.458
Yale (Ivy League),10,3-7,11,24,0.458
Lehigh (Patriot),12,9-3,13,28,0.464
Samford (SoCon),12,7-5,14,30,0.467
New Hampshire (CAA),13,8-5,15,32,0.469
Bucknell (Patriot),11,4-7,8,17,0.471
Villanova (CAA),13,9-4,8,17,0.471
South Dakota St. (MVFC),13,9-4,9,19,0.474
Missouri St. (MVFC),11,4-7,10,21,0.476
Wagner (NEC),11,6-5,10,21,0.476
Georgetown (Patriot),11,3-8,11,23,0.478
Marist (Pioneer),11,5-6,11,23,0.478
Charleston So. (Big South),11,7-4,8,16,0.500
Howard (MEAC),11,2-9,9,18,0.500
Indiana St. (MVFC),11,4-7,8,16,0.500
Cornell (Ivy League),10,4-6,10,20,0.500
VMI (SoCon),11,3-8,9,18,0.500
Towson (CAA),11,4-7,4,8,0.500
Prairie View (SWAC),11,7-4,12,24,0.500
Richmond (CAA),14,10-4,12,24,0.500
Savannah St. (MEAC),10,3-7,12,24,0.500
South Dakota (MVFC),11,4-7,6,12,0.500
Tennessee Tech (OVC),11,5-6,13,26,0.500
Wofford (SoCon),14,10-4,9,18,0.500
Fordham (Patriot),11,8-3,16,31,0.516
Bryant (NEC),11,5-6,12,23,0.522
Weber St. (Big Sky),12,7-5,12,23,0.522
Mississippi Val. (SWAC),11,1-10,11,21,0.524
Jacksonville (Pioneer),10,5-5,10,19,0.526
William & Mary (CAA),11,5-6,10,19,0.526
Houston Christian (Southland),11,4-7,10,19,0.526
Ark.-Pine Bluff (SWAC),11,1-10,9,17,0.529
Elon (CAA),11,2-9,9,17,0.529
Jackson St. (SWAC),11,3-8,7,13,0.538
Presbyterian (Big South),11,2-9,6,11,0.545
North Dakota (Big Sky),12,9-3,11,20,0.550
Montana St. (Big Sky),11,4-7,11,20,0.550
Drake (Pioneer),11,7-4,16,29,0.552
Furman (SoCon),11,3-8,10,18,0.556
SFA (Southland),11,5-6,9,16,0.563
Alabama St. (SWAC),11,4-7,9,16,0.563
Texas Southern (SWAC),11,4-7,9,16,0.563
Monmouth (Big South),11,4-7,12,21,0.571
Northwestern St. (Southland),11,1-10,12,21,0.571
South Carolina St. (MEAC),11,5-6,12,21,0.571
Davidson (Pioneer),11,2-9,16,28,0.571
Jacksonville St. (OVC),12,10-2,11,19,0.579
Mercer (SoCon),11,6-5,14,24,0.583
Delaware (CAA),11,4-7,7,12,0.583
Robert Morris (NEC),11,2-9,14,24,0.583
Eastern Wash. (Big Sky),14,12-2,20,34,0.588
Hampton (MEAC),11,5-6,10,17,0.588
Illinois St. (MVFC),12,6-6,13,22,0.591
Lafayette (Patriot),11,2-9,9,15,0.600
Nicholls (Southland),11,5-6,12,20,0.600
Western Caro. (SoCon),11,2-9,6,10,0.600
Dartmouth (Ivy League),10,4-6,9,15,0.600
Florida A&M (MEAC),11,4-7,11,18,0.611
Murray St. (OVC),11,4-7,11,18,0.611
Alcorn (SWAC),11,5-6,8,13,0.615
Lamar University (Southland),11,3-8,14,22,0.636
UC Davis (Big Sky),11,3-8,9,14,0.643
Duquesne (NEC),11,8-3,9,14,0.643
Columbia (Ivy League),10,3-7,9,14,0.643
ETSU (SoCon),11,5-6,13,20,0.650
Delaware St. (MEAC),11,0-11,12,18,0.667
Northern Colo. (Big Sky),11,6-5,16,24,0.667
Butler (Pioneer),11,4-7,8,12,0.667
Idaho St. (Big Sky),11,2-9,13,19,0.684
Maine (CAA),11,6-5,13,19,0.684
Morgan St. (MEAC),11,3-8,9,13,0.692
Stetson (Pioneer),11,4-7,12,17,0.706
Holy Cross (Patriot),11,4-7,12,17,0.706
Portland St. (Big Sky),11,3-8,17,23,0.739
Gardner-Webb (Big South),11,5-6,15,20,0.750
Tennessee St. (OVC),11,7-4,13,17,0.765
Austin Peay (OVC),11,0-11,14,17,0.824
Cal Poly (Big Sky),12,7-5,10,11,0.909
Central Conn. St. (NEC),11,2-9,12,13,0.923
Abilene Christian (Southland),11,2-9,6,17,0.353
UIW (Southland),11,3-8,9,17,0.529
