Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Villanova (CAA),13,9-4,25,22,1,0,7,0,195,15.0
San Diego (Pioneer),12,10-2,24,23,1,0,6,0,187,15.6
Grambling (SWAC),12,11-1,24,21,0,0,8,2,193,16.1
Princeton (Ivy League),10,8-2,22,20,0,0,4,0,164,16.4
North Dakota St. (MVFC),14,12-2,27,25,0,0,15,0,232,16.6
Wofford (SoCon),14,10-4,32,29,0,0,6,0,239,17.1
Jacksonville St. (OVC),12,10-2,27,21,1,0,10,2,219,18.3
UAlbany (CAA),11,7-4,23,20,1,0,15,1,207,18.8
Chattanooga (SoCon),13,9-4,33,30,1,0,7,2,255,19.6
Dayton (Pioneer),11,9-2,30,20,0,0,6,0,218,19.8
Saint Francis (PA) (NEC),12,7-5,28,26,1,0,14,0,238,19.8
Youngstown St. (MVFC),16,12-4,39,37,0,0,16,0,319,19.9
Stony Brook (CAA),11,5-6,28,26,1,0,8,1,222,20.2
The Citadel (SoCon),12,10-2,30,28,1,0,12,0,246,20.5
Harvard (Ivy League),10,7-3,28,24,0,0,6,0,210,21.0
Wagner (NEC),11,6-5,28,26,0,1,12,0,232,21.1
James Madison (CAA),15,14-1,44,35,2,0,5,0,318,21.2
Penn (Ivy League),10,7-3,27,23,2,0,8,0,213,21.3
Dartmouth (Ivy League),10,4-6,26,25,0,0,10,1,213,21.3
Central Ark. (Southland),13,10-3,35,33,0,0,13,0,282,21.7
Kennesaw St. (Big South),11,8-3,29,25,2,0,12,0,239,21.7
Illinois St. (MVFC),12,6-6,31,29,1,0,15,0,262,21.8
North Dakota (Big Sky),12,9-3,34,27,0,0,11,0,264,22.0
UNI (MVFC),11,5-6,32,29,0,0,7,0,242,22.0
Charleston So. (Big South),11,7-4,32,27,1,0,7,1,244,22.2
Gardner-Webb (Big South),11,5-6,32,25,1,0,10,1,251,22.8
N.C. Central (MEAC),12,9-3,36,30,3,0,7,1,275,22.9
N.C. A&T (MEAC),12,9-3,35,31,0,0,12,0,277,23.1
South Carolina St. (MEAC),11,5-6,31,27,0,0,13,1,254,23.1
Georgetown (Patriot),11,3-8,34,34,0,0,6,0,256,23.3
Colgate (Patriot),10,5-5,28,25,2,0,11,2,234,23.4
Richmond (CAA),14,10-4,42,38,1,0,12,0,328,23.4
William & Mary (CAA),11,5-6,33,30,1,0,9,1,259,23.5
Bucknell (Patriot),11,4-7,32,28,2,0,13,0,263,23.9
UT Martin (OVC),12,7-5,36,29,2,0,13,0,288,24.0
Robert Morris (NEC),11,2-9,33,29,0,0,13,0,266,24.2
New Hampshire (CAA),13,8-5,43,38,1,0,6,0,316,24.3
Southeast Mo. St. (OVC),11,3-8,33,27,2,0,13,0,268,24.4
Campbell (Pioneer),10,5-5,32,28,0,0,8,0,244,24.4
Hampton (MEAC),11,5-6,34,30,0,0,11,1,269,24.5
Norfolk St. (MEAC),11,4-7,36,30,1,0,7,0,269,24.5
Sacred Heart (NEC),11,6-5,34,31,0,0,12,0,271,24.6
Columbia (Ivy League),10,3-7,32,31,0,0,8,0,247,24.7
Duquesne (NEC),11,8-3,35,30,0,0,11,0,273,24.8
Delaware (CAA),11,4-7,36,31,1,0,9,0,276,25.1
Montana St. (Big Sky),11,4-7,34,33,0,0,13,0,276,25.1
Bethune-Cookman (MEAC),10,4-6,32,30,0,0,10,0,252,25.2
McNeese (Southland),11,6-5,37,36,0,0,9,0,285,25.9
Liberty (Big South),11,6-5,37,35,0,0,9,1,286,26.0
Maine (CAA),11,6-5,37,35,1,0,9,1,288,26.2
Brown (Ivy League),10,4-6,35,33,1,0,6,1,265,26.5
Eastern Wash. (Big Sky),14,12-2,49,45,0,0,10,1,371,26.5
Lehigh (Patriot),12,9-3,45,33,4,0,4,0,323,26.9
Montana (Big Sky),11,6-5,41,39,0,0,4,0,297,27.0
Furman (SoCon),11,3-8,39,37,0,0,9,0,298,27.1
Samford (SoCon),12,7-5,41,36,0,0,15,0,327,27.3
South Dakota St. (MVFC),13,9-4,46,45,1,0,10,1,355,27.3
Alabama St. (SWAC),11,4-7,40,31,3,0,8,0,301,27.4
Stetson (Pioneer),11,4-7,42,34,1,0,5,0,303,27.5
Towson (CAA),11,4-7,40,37,0,0,9,0,304,27.6
Texas Southern (SWAC),11,4-7,38,33,1,0,13,1,304,27.6
VMI (SoCon),11,3-8,40,33,1,0,10,0,305,27.7
ETSU (SoCon),11,5-6,41,37,1,1,7,0,308,28.0
Bryant (NEC),11,5-6,40,36,2,0,10,0,310,28.2
Eastern Ill. (OVC),11,6-5,38,35,1,0,15,0,310,28.2
Drake (Pioneer),11,7-4,42,36,1,0,7,0,311,28.3
Southern U. (SWAC),11,8-3,42,38,0,0,7,0,311,28.3
Southern Utah (Big Sky),11,6-5,41,35,1,0,9,1,312,28.4
Northern Ariz. (Big Sky),11,5-6,41,33,2,0,10,0,313,28.5
Tennessee Tech (OVC),11,5-6,38,34,0,0,18,0,316,28.7
Jackson St. (SWAC),11,3-8,43,41,0,0,6,0,317,28.8
Butler (Pioneer),11,4-7,40,34,1,0,14,0,318,28.9
Mercer (SoCon),11,6-5,42,37,1,0,9,0,318,28.9
Alcorn (SWAC),11,5-6,41,34,4,0,9,2,319,29.0
Marist (Pioneer),11,5-6,40,37,1,0,14,0,321,29.2
Davidson (Pioneer),11,2-9,43,41,0,0,8,0,323,29.4
Sam Houston (Southland),13,12-1,51,45,0,0,11,1,386,29.7
Southeastern La. (Southland),11,7-4,42,36,2,0,12,0,328,29.8
Nicholls (Southland),11,5-6,42,38,1,0,12,0,328,29.8
Weber St. (Big Sky),12,7-5,46,42,2,1,12,0,360,30.0
Tennessee St. (OVC),11,7-4,41,36,3,1,13,1,331,30.1
Fordham (Patriot),11,8-3,44,38,3,0,7,1,331,30.1
Lamar University (Southland),11,3-8,44,42,1,0,8,2,336,30.5
Eastern Ky. (OVC),11,3-8,43,39,0,0,13,0,336,30.5
Elon (CAA),11,2-9,41,37,2,0,17,0,338,30.7
Southern Ill. (MVFC),11,4-7,44,41,0,0,11,0,338,30.7
Savannah St. (MEAC),10,3-7,42,30,2,0,6,2,308,30.8
Presbyterian (Big South),11,2-9,46,38,4,0,6,0,340,30.9
Cornell (Ivy League),10,4-6,41,37,0,0,9,0,310,31.0
Prairie View (SWAC),11,7-4,45,40,1,0,9,2,343,31.2
Western Ill. (MVFC),11,6-5,47,43,0,0,7,0,346,31.5
Holy Cross (Patriot),11,4-7,48,41,1,0,8,0,355,32.3
Indiana St. (MVFC),11,4-7,44,38,0,0,19,0,359,32.6
Florida A&M (MEAC),11,4-7,50,44,1,0,5,0,361,32.8
Monmouth (Big South),11,4-7,49,46,0,0,7,0,361,32.8
Cal Poly (Big Sky),12,7-5,53,46,0,0,10,0,394,32.8
Valparaiso (Pioneer),11,4-7,47,42,2,0,12,1,366,33.3
Jacksonville (Pioneer),10,5-5,44,42,0,0,9,0,333,33.3
Northwestern St. (Southland),11,1-10,46,40,2,1,16,0,370,33.6
Morgan St. (MEAC),11,3-8,48,41,3,0,11,1,370,33.6
Yale (Ivy League),10,3-7,44,41,2,0,10,0,339,33.9
South Dakota (MVFC),11,4-7,49,47,1,0,12,0,379,34.5
Morehead St. (Pioneer),11,4-7,49,44,0,0,14,0,380,34.5
Central Conn. St. (NEC),11,2-9,51,46,1,0,9,1,383,34.8
Howard (MEAC),11,2-9,51,48,1,0,9,0,383,34.8
Houston Christian (Southland),11,4-7,51,45,1,0,10,0,383,34.8
Lafayette (Patriot),11,2-9,51,48,1,0,10,0,386,35.1
Murray St. (OVC),11,4-7,49,39,5,0,14,1,387,35.2
Missouri St. (MVFC),11,4-7,51,48,0,0,13,0,393,35.7
Western Caro. (SoCon),11,2-9,50,44,2,0,16,0,396,36.0
Northern Colo. (Big Sky),11,6-5,50,43,2,0,17,0,398,36.2
Rhode Island (CAA),11,2-9,55,50,1,0,6,0,400,36.4
