Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Northern Ariz. (Big Sky),11,5-6,15,32,0.469
Butler (Pioneer),11,4-7,12,26,0.462
Austin Peay (OVC),11,0-11,12,26,0.462
Texas Southern (SWAC),11,4-7,6,13,0.462
Montana (Big Sky),11,6-5,11,24,0.458
Murray St. (OVC),11,4-7,10,22,0.455
William & Mary (CAA),11,5-6,9,20,0.450
N.C. A&T (MEAC),12,9-3,4,9,0.444
Towson (CAA),11,4-7,14,32,0.438
Jacksonville (Pioneer),10,5-5,7,16,0.438
New Hampshire (CAA),13,8-5,12,28,0.429
Harvard (Ivy League),10,7-3,6,14,0.429
Campbell (Pioneer),10,5-5,9,22,0.409
Delaware St. (MEAC),11,0-11,9,22,0.409
Morgan St. (MEAC),11,3-8,10,25,0.400
Indiana St. (MVFC),11,4-7,10,25,0.400
South Dakota St. (MVFC),13,9-4,6,15,0.400
Florida A&M (MEAC),11,4-7,6,15,0.400
Rhode Island (CAA),11,2-9,4,10,0.400
Stony Brook (CAA),11,5-6,7,18,0.389
Bryant (NEC),11,5-6,8,21,0.381
Mississippi Val. (SWAC),11,1-10,9,24,0.375
Southern U. (SWAC),11,8-3,6,16,0.375
Wagner (NEC),11,6-5,6,16,0.375
Sacred Heart (NEC),11,6-5,6,16,0.375
Savannah St. (MEAC),10,3-7,6,16,0.375
Northwestern St. (Southland),11,1-10,7,19,0.368
Central Conn. St. (NEC),11,2-9,9,25,0.360
Elon (CAA),11,2-9,6,17,0.353
Brown (Ivy League),10,4-6,7,20,0.350
Bethune-Cookman (MEAC),10,4-6,7,21,0.333
Lafayette (Patriot),11,2-9,7,21,0.333
Ark.-Pine Bluff (SWAC),11,1-10,7,21,0.333
Missouri St. (MVFC),11,4-7,5,15,0.333
VMI (SoCon),11,3-8,8,25,0.320
Alabama St. (SWAC),11,4-7,6,20,0.300
Villanova (CAA),13,9-4,7,25,0.280
SFA (Southland),11,5-6,5,18,0.278
Southeastern La. (Southland),11,7-4,4,15,0.267
Stetson (Pioneer),11,4-7,4,15,0.267
Norfolk St. (MEAC),11,4-7,4,16,0.250
Illinois St. (MVFC),12,6-6,3,12,0.250
Marist (Pioneer),11,5-6,4,17,0.235
Jackson St. (SWAC),11,3-8,3,13,0.231
Davidson (Pioneer),11,2-9,3,16,0.188
Maine (CAA),11,6-5,2,12,0.167
Robert Morris (NEC),11,2-9,2,14,0.143
UIW (Southland),11,3-8,13,28,0.464
Abilene Christian (Southland),11,2-9,7,17,0.412
