Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Villanova (CAA),13,9-4,769,3377,4.39,21,25,259.8
San Diego (Pioneer),12,10-2,723,3198,4.42,19,24,266.5
Stony Brook (CAA),11,5-6,722,3016,4.18,24,28,274.2
Jacksonville St. (OVC),12,10-2,789,3299,4.18,26,27,274.9
Wofford (SoCon),14,10-4,874,4021,4.60,31,32,287.2
Chattanooga (SoCon),13,9-4,824,3811,4.63,32,33,293.2
Charleston So. (Big South),11,7-4,713,3235,4.54,30,32,294.1
The Citadel (SoCon),12,10-2,680,3631,5.34,27,30,302.6
UNI (MVFC),11,5-6,715,3412,4.77,29,32,310.2
Duquesne (NEC),11,8-3,686,3455,5.04,33,35,314.1
Richmond (CAA),14,10-4,868,4438,5.11,40,42,317.0
Princeton (Ivy League),10,8-2,687,3176,4.62,21,22,317.6
North Dakota St. (MVFC),14,12-2,882,4475,5.07,27,27,319.6
Youngstown St. (MVFC),16,12-4,991,5119,5.17,38,39,319.9
Saint Francis (PA) (NEC),12,7-5,799,3849,4.82,27,28,320.8
Kennesaw St. (Big South),11,8-3,663,3540,5.34,26,29,321.8
Campbell (Pioneer),10,5-5,672,3221,4.79,28,32,322.1
UT Martin (OVC),12,7-5,775,3869,4.99,33,36,322.4
Harvard (Ivy League),10,7-3,694,3225,4.65,24,28,322.5
Grambling (SWAC),12,11-1,869,3926,4.52,21,24,327.2
Towson (CAA),11,4-7,693,3655,5.27,35,40,332.3
Central Ark. (Southland),13,10-3,932,4372,4.69,32,35,336.3
South Carolina St. (MEAC),11,5-6,758,3722,4.91,29,31,338.4
Hampton (MEAC),11,5-6,700,3745,5.35,30,34,340.5
Illinois St. (MVFC),12,6-6,888,4108,4.63,28,31,342.3
Wagner (NEC),11,6-5,741,3767,5.08,26,28,342.5
N.C. A&T (MEAC),12,9-3,822,4114,5.00,33,35,342.8
N.C. Central (MEAC),12,9-3,841,4128,4.91,35,36,344.0
Colgate (Patriot),10,5-5,689,3441,4.99,27,28,344.1
James Madison (CAA),15,14-1,1006,5164,5.13,42,44,344.3
Norfolk St. (MEAC),11,4-7,741,3787,5.11,33,36,344.3
Sacred Heart (NEC),11,6-5,780,3830,4.91,32,34,348.2
Bethune-Cookman (MEAC),10,4-6,646,3488,5.40,30,32,348.8
Jackson St. (SWAC),11,3-8,721,3838,5.32,36,43,348.9
Delaware (CAA),11,4-7,682,3847,5.64,33,36,349.7
Montana (Big Sky),11,6-5,743,3857,5.19,39,41,350.6
Bryant (NEC),11,5-6,789,3867,4.90,36,40,351.5
Robert Morris (NEC),11,2-9,782,3875,4.96,31,33,352.3
Columbia (Ivy League),10,3-7,692,3549,5.13,31,32,354.9
North Dakota (Big Sky),12,9-3,824,4263,5.17,32,34,355.3
Brown (Ivy League),10,4-6,728,3563,4.89,34,35,356.3
Dayton (Pioneer),11,9-2,764,3955,5.18,28,30,359.5
William & Mary (CAA),11,5-6,728,3977,5.46,30,33,361.5
Dartmouth (Ivy League),10,4-6,740,3629,4.90,25,26,362.9
Bucknell (Patriot),11,4-7,756,4028,5.33,32,32,366.2
UAlbany (CAA),11,7-4,782,4045,5.17,22,23,367.7
Stetson (Pioneer),11,4-7,769,4077,5.30,41,42,370.6
McNeese (Southland),11,6-5,729,4094,5.62,36,37,372.2
Furman (SoCon),11,3-8,697,4103,5.89,36,39,373.0
Eastern Ill. (OVC),11,6-5,749,4109,5.49,36,38,373.5
New Hampshire (CAA),13,8-5,939,4907,5.23,39,43,377.5
Fordham (Patriot),11,8-3,759,4172,5.50,41,44,379.3
Penn (Ivy League),10,7-3,716,3800,5.31,26,27,380.0
ETSU (SoCon),11,5-6,729,4188,5.74,41,41,380.7
Florida A&M (MEAC),11,4-7,726,4191,5.77,47,50,381.0
Gardner-Webb (Big South),11,5-6,761,4214,5.54,31,32,383.1
Nicholls (Southland),11,5-6,801,4239,5.29,37,42,385.4
Montana St. (Big Sky),11,4-7,788,4275,5.43,34,34,388.6
Weber St. (Big Sky),12,7-5,841,4664,5.55,42,46,388.7
Butler (Pioneer),11,4-7,745,4277,5.74,38,40,388.8
Southeast Mo. St. (OVC),11,3-8,772,4291,5.56,30,33,390.1
Morgan St. (MEAC),11,3-8,767,4293,5.60,46,48,390.3
Georgetown (Patriot),11,3-8,819,4301,5.25,33,34,391.0
Maine (CAA),11,6-5,755,4320,5.72,34,37,392.7
Liberty (Big South),11,6-5,744,4322,5.81,33,37,392.9
Alcorn (SWAC),11,5-6,755,4329,5.73,40,41,393.5
Texas Southern (SWAC),11,4-7,741,4359,5.88,36,38,396.3
Tennessee St. (OVC),11,7-4,743,4387,5.90,39,41,398.8
Drake (Pioneer),11,7-4,779,4400,5.65,39,42,400.0
Prairie View (SWAC),11,7-4,806,4424,5.49,42,45,402.2
Southeastern La. (Southland),11,7-4,830,4436,5.34,38,42,403.3
Mercer (SoCon),11,6-5,767,4438,5.79,38,42,403.5
South Dakota St. (MVFC),13,9-4,920,5248,5.70,42,46,403.7
Alabama St. (SWAC),11,4-7,750,4441,5.92,37,40,403.7
Indiana St. (MVFC),11,4-7,804,4445,5.53,41,44,404.1
Central Conn. St. (NEC),11,2-9,764,4445,5.82,45,51,404.1
Cal Poly (Big Sky),12,7-5,768,4871,6.34,50,53,405.9
Eastern Ky. (OVC),11,3-8,854,4466,5.23,35,43,406.0
Tennessee Tech (OVC),11,5-6,742,4492,6.05,35,38,408.4
Southern U. (SWAC),11,8-3,739,4500,6.09,36,42,409.1
Savannah St. (MEAC),10,3-7,757,4096,5.41,39,42,409.6
Northern Ariz. (Big Sky),11,5-6,818,4544,5.56,40,41,413.1
Monmouth (Big South),11,4-7,730,4544,6.22,46,49,413.1
Jacksonville (Pioneer),10,5-5,684,4139,6.05,43,44,413.9
Holy Cross (Patriot),11,4-7,762,4561,5.99,44,48,414.6
Morehead St. (Pioneer),11,4-7,796,4567,5.74,44,49,415.2
Howard (MEAC),11,2-9,704,4573,6.50,47,51,415.7
Eastern Wash. (Big Sky),14,12-2,1061,5835,5.50,48,49,416.8
Lehigh (Patriot),12,9-3,841,5016,5.96,44,45,418.0
Lamar University (Southland),11,3-8,799,4612,5.77,42,44,419.3
