Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
South Carolina St. (MEAC),11,5-6,14,17,31,5,8,13,18,1.64
Southern U. (SWAC),11,8-3,13,19,32,6,8,14,18,1.64
North Dakota (Big Sky),12,9-3,10,20,30,9,3,12,18,1.50
UAlbany (CAA),11,7-4,15,17,32,5,11,16,16,1.45
Princeton (Ivy League),10,8-2,12,12,24,2,8,10,14,1.40
Dayton (Pioneer),11,9-2,6,20,26,6,6,12,14,1.27
Fordham (Patriot),11,8-3,13,13,26,8,5,13,13,1.18
James Madison (CAA),15,14-1,9,21,30,4,9,13,17,1.13
Southern Utah (Big Sky),11,6-5,6,20,26,5,9,14,12,1.09
Eastern Wash. (Big Sky),14,12-2,14,17,31,5,14,19,12,0.86
Jacksonville St. (OVC),12,10-2,7,18,25,7,8,15,10,0.83
Wagner (NEC),11,6-5,4,15,19,5,5,10,9,0.82
Florida A&M (MEAC),11,4-7,12,14,26,8,9,17,9,0.82
Wofford (SoCon),14,10-4,7,18,25,10,4,14,11,0.79
North Dakota St. (MVFC),14,12-2,7,19,26,6,9,15,11,0.79
Lehigh (Patriot),12,9-3,4,17,21,2,10,12,9,0.75
Saint Francis (PA) (NEC),12,7-5,8,16,24,4,12,16,8,0.67
Norfolk St. (MEAC),11,4-7,5,18,23,8,8,16,7,0.64
UNI (MVFC),11,5-6,7,17,24,8,9,17,7,0.64
Davidson (Pioneer),11,2-9,11,12,23,4,12,16,7,0.64
Savannah St. (MEAC),10,3-7,7,13,20,5,9,14,6,0.60
Colgate (Patriot),10,5-5,7,12,19,4,9,13,6,0.60
Gardner-Webb (Big South),11,5-6,5,11,16,6,4,10,6,0.55
Mercer (SoCon),11,6-5,13,8,21,7,8,15,6,0.55
Tennessee St. (OVC),11,7-4,9,13,22,5,11,16,6,0.55
Villanova (CAA),13,9-4,6,17,23,6,10,16,7,0.54
South Dakota St. (MVFC),13,9-4,6,15,21,5,9,14,7,0.54
Samford (SoCon),12,7-5,10,11,21,7,8,15,6,0.50
Richmond (CAA),14,10-4,11,17,28,10,11,21,7,0.50
Grambling (SWAC),12,11-1,15,13,28,15,7,22,6,0.50
Penn (Ivy League),10,7-3,4,13,17,8,4,12,5,0.50
South Dakota (MVFC),11,4-7,11,12,23,7,11,18,5,0.45
Delaware (CAA),11,4-7,8,15,23,12,6,18,5,0.45
SFA (Southland),11,5-6,13,13,26,11,10,21,5,0.45
Valparaiso (Pioneer),11,4-7,5,13,18,1,12,13,5,0.45
Chattanooga (SoCon),13,9-4,10,8,18,6,7,13,5,0.38
Murray St. (OVC),11,4-7,12,11,23,5,14,19,4,0.36
Lamar University (Southland),11,3-8,7,12,19,9,6,15,4,0.36
Alabama St. (SWAC),11,4-7,11,11,22,9,9,18,4,0.36
Bucknell (Patriot),11,4-7,6,15,21,7,10,17,4,0.36
Liberty (Big South),11,6-5,12,14,26,6,16,22,4,0.36
New Hampshire (CAA),13,8-5,11,18,29,9,16,25,4,0.31
Central Ark. (Southland),13,10-3,14,14,28,14,10,24,4,0.31
Sam Houston (Southland),13,12-1,12,8,20,5,11,16,4,0.31
Marist (Pioneer),11,5-6,5,18,23,8,12,20,3,0.27
Northern Ariz. (Big Sky),11,5-6,11,8,19,7,9,16,3,0.27
ETSU (SoCon),11,5-6,11,2,13,2,8,10,3,0.27
The Citadel (SoCon),12,10-2,8,10,18,10,5,15,3,0.25
Campbell (Pioneer),10,5-5,9,12,21,5,14,19,2,0.20
Jacksonville (Pioneer),10,5-5,9,9,18,9,7,16,2,0.20
Kennesaw St. (Big South),11,8-3,6,10,16,8,6,14,2,0.18
Maine (CAA),11,6-5,7,12,19,1,16,17,2,0.18
Montana (Big Sky),11,6-5,13,8,21,10,10,20,1,0.09
Georgetown (Patriot),11,3-8,9,13,22,6,16,22,0,0.00
Nicholls (Southland),11,5-6,5,15,20,6,14,20,0,0.00
UC Davis (Big Sky),11,3-8,6,7,13,6,7,13,0,0.00
