Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Cal Poly (Big Sky),12,7-5,179,96,0.536
San Diego (Pioneer),12,10-2,177,93,0.525
Eastern Wash. (Big Sky),14,12-2,190,99,0.521
James Madison (CAA),15,14-1,188,94,0.500
Portland St. (Big Sky),11,3-8,149,74,0.497
Lehigh (Patriot),12,9-3,171,84,0.491
Kennesaw St. (Big South),11,8-3,145,71,0.490
Youngstown St. (MVFC),16,12-4,245,117,0.478
The Citadel (SoCon),12,10-2,197,94,0.477
Princeton (Ivy League),10,8-2,166,78,0.470
Sam Houston (Southland),13,12-1,187,87,0.465
North Dakota St. (MVFC),14,12-2,181,83,0.459
South Dakota St. (MVFC),13,9-4,162,74,0.457
Duquesne (NEC),11,8-3,170,77,0.453
Dayton (Pioneer),11,9-2,151,68,0.450
Central Ark. (Southland),13,10-3,231,104,0.450
Mercer (SoCon),11,6-5,169,76,0.450
Eastern Ill. (OVC),11,6-5,174,78,0.448
Fordham (Patriot),11,8-3,159,71,0.447
Harvard (Ivy League),10,7-3,165,73,0.442
UT Martin (OVC),12,7-5,169,74,0.438
Grambling (SWAC),12,11-1,156,68,0.436
Montana (Big Sky),11,6-5,181,78,0.431
Southern U. (SWAC),11,8-3,146,62,0.425
Penn (Ivy League),10,7-3,135,57,0.422
N.C. A&T (MEAC),12,9-3,159,67,0.421
Richmond (CAA),14,10-4,197,83,0.421
Morehead St. (Pioneer),11,4-7,176,74,0.420
UNI (MVFC),11,5-6,172,71,0.413
Western Ill. (MVFC),11,6-5,170,70,0.412
Wofford (SoCon),14,10-4,195,80,0.410
Villanova (CAA),13,9-4,171,70,0.409
Alcorn (SWAC),11,5-6,147,60,0.408
Gardner-Webb (Big South),11,5-6,155,63,0.406
New Hampshire (CAA),13,8-5,201,81,0.403
Bryant (NEC),11,5-6,149,60,0.403
Eastern Ky. (OVC),11,3-8,178,71,0.399
Weber St. (Big Sky),12,7-5,184,73,0.397
Charleston So. (Big South),11,7-4,132,52,0.394
Tennessee St. (OVC),11,7-4,127,50,0.394
Nicholls (Southland),11,5-6,178,70,0.393
Dartmouth (Ivy League),10,4-6,158,62,0.392
Southern Ill. (MVFC),11,4-7,194,76,0.392
ETSU (SoCon),11,5-6,164,64,0.390
Furman (SoCon),11,3-8,136,53,0.390
Delaware (CAA),11,4-7,140,54,0.386
Chattanooga (SoCon),13,9-4,166,64,0.386
Tennessee Tech (OVC),11,5-6,148,57,0.385
Hampton (MEAC),11,5-6,161,62,0.385
Western Caro. (SoCon),11,2-9,143,55,0.385
Northern Colo. (Big Sky),11,6-5,138,53,0.384
William & Mary (CAA),11,5-6,144,55,0.382
Drake (Pioneer),11,7-4,156,59,0.378
Towson (CAA),11,4-7,162,61,0.377
Alabama St. (SWAC),11,4-7,160,60,0.375
Wagner (NEC),11,6-5,155,58,0.374
Maine (CAA),11,6-5,153,57,0.373
Northern Ariz. (Big Sky),11,5-6,180,67,0.372
Campbell (Pioneer),10,5-5,148,55,0.372
N.C. Central (MEAC),12,9-3,154,57,0.370
McNeese (Southland),11,6-5,173,64,0.370
Missouri St. (MVFC),11,4-7,157,58,0.369
Cornell (Ivy League),10,4-6,149,55,0.369
Holy Cross (Patriot),11,4-7,168,62,0.369
Austin Peay (OVC),11,0-11,158,58,0.367
Southeastern La. (Southland),11,7-4,150,55,0.367
Bucknell (Patriot),11,4-7,172,63,0.366
South Dakota (MVFC),11,4-7,192,70,0.365
Howard (MEAC),11,2-9,165,60,0.364
Sacred Heart (NEC),11,6-5,175,63,0.360
Colgate (Patriot),10,5-5,139,50,0.360
Jacksonville (Pioneer),10,5-5,128,46,0.359
Brown (Ivy League),10,4-6,171,61,0.357
Southeast Mo. St. (OVC),11,3-8,180,64,0.356
SFA (Southland),11,5-6,206,73,0.354
Florida A&M (MEAC),11,4-7,150,53,0.353
Liberty (Big South),11,6-5,173,61,0.353
Samford (SoCon),12,7-5,168,59,0.351
Prairie View (SWAC),11,7-4,154,54,0.351
UC Davis (Big Sky),11,3-8,152,53,0.349
Idaho St. (Big Sky),11,2-9,175,61,0.349
Sacramento St. (Big Sky),11,2-9,179,62,0.346
Jacksonville St. (OVC),12,10-2,178,61,0.343
Yale (Ivy League),10,3-7,155,53,0.342
Jackson St. (SWAC),11,3-8,155,53,0.342
Illinois St. (MVFC),12,6-6,168,57,0.339
Marist (Pioneer),11,5-6,154,52,0.338
Texas Southern (SWAC),11,4-7,157,53,0.338
Valparaiso (Pioneer),11,4-7,160,54,0.338
Central Conn. St. (NEC),11,2-9,169,57,0.337
Columbia (Ivy League),10,3-7,172,58,0.337
Monmouth (Big South),11,4-7,149,50,0.336
Stony Brook (CAA),11,5-6,155,52,0.335
VMI (SoCon),11,3-8,169,56,0.331
Davidson (Pioneer),11,2-9,166,55,0.331
Southern Utah (Big Sky),11,6-5,166,55,0.331
Lafayette (Patriot),11,2-9,160,53,0.331
Stetson (Pioneer),11,4-7,177,58,0.328
Houston Christian (Southland),11,4-7,187,61,0.326
Alabama A&M (SWAC),11,4-7,172,56,0.326
Saint Francis (PA) (NEC),12,7-5,160,52,0.325
Ark.-Pine Bluff (SWAC),11,1-10,162,52,0.321
Montana St. (Big Sky),11,4-7,156,50,0.321
Bethune-Cookman (MEAC),10,4-6,126,40,0.317
North Dakota (Big Sky),12,9-3,177,56,0.316
Norfolk St. (MEAC),11,4-7,156,49,0.314
Morgan St. (MEAC),11,3-8,172,54,0.314
Indiana St. (MVFC),11,4-7,174,54,0.310
South Carolina St. (MEAC),11,5-6,162,50,0.309
Northwestern St. (Southland),11,1-10,135,41,0.304
Butler (Pioneer),11,4-7,142,43,0.303
Mississippi Val. (SWAC),11,1-10,155,46,0.297
Elon (CAA),11,2-9,156,46,0.295
Rhode Island (CAA),11,2-9,158,46,0.291
Murray St. (OVC),11,4-7,184,53,0.288
Delaware St. (MEAC),11,0-11,152,43,0.283
UAlbany (CAA),11,7-4,137,38,0.277
Presbyterian (Big South),11,2-9,159,42,0.264
Lamar University (Southland),11,3-8,173,44,0.254
Georgetown (Patriot),11,3-8,161,38,0.236
Savannah St. (MEAC),10,3-7,129,28,0.217
Robert Morris (NEC),11,2-9,149,22,0.148
Abilene Christian (Southland),11,2-9,181,77,0.425
UIW (Southland),11,3-8,171,54,0.316
