Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Jacksonville St. (OVC),12,10-2,42,182,0.231
Montana (Big Sky),11,6-5,43,161,0.267
Grambling (SWAC),12,11-1,54,195,0.277
Campbell (Pioneer),10,5-5,38,137,0.277
Columbia (Ivy League),10,3-7,49,167,0.293
N.C. A&T (MEAC),12,9-3,52,177,0.294
Southern Ill. (MVFC),11,4-7,52,175,0.297
Villanova (CAA),13,9-4,49,164,0.299
The Citadel (SoCon),12,10-2,43,143,0.301
San Diego (Pioneer),12,10-2,53,172,0.308
McNeese (Southland),11,6-5,50,160,0.313
Colgate (Patriot),10,5-5,49,154,0.318
Kennesaw St. (Big South),11,8-3,43,135,0.319
Central Ark. (Southland),13,10-3,67,210,0.319
Saint Francis (PA) (NEC),12,7-5,55,172,0.320
Robert Morris (NEC),11,2-9,58,178,0.326
Alcorn (SWAC),11,5-6,51,155,0.329
Stetson (Pioneer),11,4-7,54,164,0.329
Duquesne (NEC),11,8-3,50,151,0.331
South Carolina St. (MEAC),11,5-6,48,144,0.333
Youngstown St. (MVFC),16,12-4,72,215,0.335
Sacred Heart (NEC),11,6-5,59,176,0.335
Harvard (Ivy League),10,7-3,53,158,0.335
UT Martin (OVC),12,7-5,55,163,0.337
Chattanooga (SoCon),13,9-4,66,194,0.340
James Madison (CAA),15,14-1,72,211,0.341
Brown (Ivy League),10,4-6,53,155,0.342
Princeton (Ivy League),10,8-2,52,152,0.342
North Dakota (Big Sky),12,9-3,64,186,0.344
Presbyterian (Big South),11,2-9,42,121,0.347
N.C. Central (MEAC),12,9-3,63,181,0.348
Jackson St. (SWAC),11,3-8,49,140,0.350
Stony Brook (CAA),11,5-6,56,158,0.354
Montana St. (Big Sky),11,4-7,57,160,0.356
Illinois St. (MVFC),12,6-6,75,209,0.359
UAlbany (CAA),11,7-4,60,167,0.359
Liberty (Big South),11,6-5,58,160,0.363
Maine (CAA),11,6-5,60,165,0.364
Morehead St. (Pioneer),11,4-7,59,162,0.364
Alabama St. (SWAC),11,4-7,54,148,0.365
Nicholls (Southland),11,5-6,63,172,0.366
Sam Houston (Southland),13,12-1,82,223,0.368
Tennessee Tech (OVC),11,5-6,53,144,0.368
New Hampshire (CAA),13,8-5,73,198,0.369
VMI (SoCon),11,3-8,59,160,0.369
Central Conn. St. (NEC),11,2-9,57,154,0.370
Wagner (NEC),11,6-5,62,167,0.371
Bethune-Cookman (MEAC),10,4-6,52,140,0.371
Richmond (CAA),14,10-4,68,183,0.372
Lamar University (Southland),11,3-8,61,163,0.374
ETSU (SoCon),11,5-6,52,137,0.380
SFA (Southland),11,5-6,73,192,0.380
Howard (MEAC),11,2-9,51,134,0.381
Dayton (Pioneer),11,9-2,61,160,0.381
Drake (Pioneer),11,7-4,61,160,0.381
Georgetown (Patriot),11,3-8,63,165,0.382
Southern Utah (Big Sky),11,6-5,66,172,0.384
Lehigh (Patriot),12,9-3,62,161,0.385
Southeast Mo. St. (OVC),11,3-8,66,171,0.386
UNI (MVFC),11,5-6,63,163,0.387
Charleston So. (Big South),11,7-4,61,157,0.389
Holy Cross (Patriot),11,4-7,59,151,0.391
Jacksonville (Pioneer),10,5-5,54,138,0.391
Eastern Ky. (OVC),11,3-8,69,176,0.392
Norfolk St. (MEAC),11,4-7,59,150,0.393
Davidson (Pioneer),11,2-9,65,165,0.394
Tennessee St. (OVC),11,7-4,57,144,0.396
Texas Southern (SWAC),11,4-7,61,154,0.396
Lafayette (Patriot),11,2-9,56,141,0.397
Southeastern La. (Southland),11,7-4,66,166,0.398
Delaware St. (MEAC),11,0-11,59,148,0.399
Dartmouth (Ivy League),10,4-6,63,158,0.399
Eastern Ill. (OVC),11,6-5,65,163,0.399
Alabama A&M (SWAC),11,4-7,56,140,0.400
Indiana St. (MVFC),11,4-7,63,157,0.401
Northern Ariz. (Big Sky),11,5-6,74,184,0.402
Prairie View (SWAC),11,7-4,68,169,0.402
Fordham (Patriot),11,8-3,64,159,0.403
Hampton (MEAC),11,5-6,62,154,0.403
Southern U. (SWAC),11,8-3,60,149,0.403
Furman (SoCon),11,3-8,58,144,0.403
Sacramento St. (Big Sky),11,2-9,61,151,0.404
North Dakota St. (MVFC),14,12-2,80,198,0.404
Eastern Wash. (Big Sky),14,12-2,88,217,0.406
Mercer (SoCon),11,6-5,58,143,0.406
William & Mary (CAA),11,5-6,61,150,0.407
Houston Christian (Southland),11,4-7,66,162,0.407
Gardner-Webb (Big South),11,5-6,65,159,0.409
Yale (Ivy League),10,3-7,63,154,0.409
Butler (Pioneer),11,4-7,64,156,0.410
Bucknell (Patriot),11,4-7,64,155,0.413
Murray St. (OVC),11,4-7,72,174,0.414
Delaware (CAA),11,4-7,56,135,0.415
Bryant (NEC),11,5-6,74,178,0.416
Wofford (SoCon),14,10-4,81,194,0.418
Western Ill. (MVFC),11,6-5,67,160,0.419
Weber St. (Big Sky),12,7-5,80,190,0.421
Missouri St. (MVFC),11,4-7,70,166,0.422
Morgan St. (MEAC),11,3-8,66,156,0.423
Samford (SoCon),12,7-5,91,215,0.423
Valparaiso (Pioneer),11,4-7,63,147,0.429
Savannah St. (MEAC),10,3-7,64,149,0.430
Portland St. (Big Sky),11,3-8,63,145,0.434
South Dakota (MVFC),11,4-7,75,172,0.436
Elon (CAA),11,2-9,65,149,0.436
Marist (Pioneer),11,5-6,81,183,0.443
Florida A&M (MEAC),11,4-7,63,139,0.453
Northwestern St. (Southland),11,1-10,80,176,0.455
