Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Yale (Ivy League),10,3-7,29,13,7,8,28,0.966
Idaho St. (Big Sky),11,2-9,26,11,11,3,25,0.962
Dayton (Pioneer),11,9-2,45,24,9,9,42,0.933
Drake (Pioneer),11,7-4,49,11,27,7,45,0.918
ETSU (SoCon),11,5-6,31,10,7,11,28,0.903
Samford (SoCon),12,7-5,51,12,24,10,46,0.902
San Diego (Pioneer),12,10-2,60,25,21,8,54,0.900
Montana (Big Sky),11,6-5,50,13,20,12,45,0.900
Cal Poly (Big Sky),12,7-5,40,25,6,5,36,0.900
Valparaiso (Pioneer),11,4-7,30,12,11,4,27,0.900
Princeton (Ivy League),10,8-2,46,25,12,4,41,0.891
Gardner-Webb (Big South),11,5-6,35,18,4,9,31,0.886
South Dakota (MVFC),11,4-7,34,10,12,8,30,0.882
Prairie View (SWAC),11,7-4,34,17,8,5,30,0.882
Montana St. (Big Sky),11,4-7,34,18,4,8,30,0.882
Richmond (CAA),14,10-4,58,17,14,20,51,0.879
Butler (Pioneer),11,4-7,41,16,9,11,36,0.878
SFA (Southland),11,5-6,41,15,9,12,36,0.878
McNeese (Southland),11,6-5,47,15,16,10,41,0.872
Saint Francis (PA) (NEC),12,7-5,39,13,12,9,34,0.872
James Madison (CAA),15,14-1,93,44,24,13,81,0.871
North Dakota (Big Sky),12,9-3,46,15,13,12,40,0.870
Colgate (Patriot),10,5-5,38,15,8,10,33,0.868
Duquesne (NEC),11,8-3,45,14,16,9,39,0.867
Southern Ill. (MVFC),11,4-7,37,15,12,5,32,0.865
Jacksonville (Pioneer),10,5-5,36,24,1,6,31,0.861
Furman (SoCon),11,3-8,43,17,14,6,37,0.860
South Dakota St. (MVFC),13,9-4,50,16,19,8,43,0.860
Lehigh (Patriot),12,9-3,57,27,16,6,49,0.860
Alabama A&M (SWAC),11,4-7,35,16,3,11,30,0.857
Tennessee St. (OVC),11,7-4,41,12,16,7,35,0.854
Wagner (NEC),11,6-5,34,10,7,12,29,0.853
Georgetown (Patriot),11,3-8,20,7,4,6,17,0.850
N.C. Central (MEAC),12,9-3,40,16,8,10,34,0.850
Columbia (Ivy League),10,3-7,33,7,8,13,28,0.848
Southeastern La. (Southland),11,7-4,39,11,14,8,33,0.846
Western Ill. (MVFC),11,6-5,52,17,18,9,44,0.846
Norfolk St. (MEAC),11,4-7,26,8,4,10,22,0.846
Sam Houston (Southland),13,12-1,71,28,29,3,60,0.845
Southern Utah (Big Sky),11,6-5,32,12,12,3,27,0.844
Sacramento St. (Big Sky),11,2-9,38,15,12,5,32,0.842
Northern Colo. (Big Sky),11,6-5,38,13,15,4,32,0.842
Liberty (Big South),11,6-5,37,14,9,8,31,0.838
Penn (Ivy League),10,7-3,30,18,6,1,25,0.833
Mercer (SoCon),11,6-5,42,13,13,9,35,0.833
Jacksonville St. (OVC),12,10-2,47,24,4,11,39,0.830
Weber St. (Big Sky),12,7-5,41,14,14,6,34,0.829
North Dakota St. (MVFC),14,12-2,41,18,7,9,34,0.829
Tennessee Tech (OVC),11,5-6,35,13,9,7,29,0.829
Bryant (NEC),11,5-6,40,12,17,4,33,0.825
Fordham (Patriot),11,8-3,45,15,14,8,37,0.822
Chattanooga (SoCon),13,9-4,50,22,13,6,41,0.820
Harvard (Ivy League),10,7-3,44,15,12,9,36,0.818
Eastern Wash. (Big Sky),14,12-2,70,21,29,7,57,0.814
Illinois St. (MVFC),12,6-6,42,11,10,13,34,0.810
N.C. A&T (MEAC),12,9-3,52,17,16,9,42,0.808
Southern U. (SWAC),11,8-3,57,20,16,10,46,0.807
Holy Cross (Patriot),11,4-7,36,10,13,6,29,0.806
Sacred Heart (NEC),11,6-5,41,14,11,8,33,0.805
Grambling (SWAC),12,11-1,46,21,12,4,37,0.804
