Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
William & Mary (CAA),11,5-6,155,282,1696,7,6.01,10.94,154.2
Monmouth (Big South),11,4-7,147,243,1738,15,7.15,11.82,158.0
Charleston So. (Big South),11,7-4,169,300,1747,15,5.82,10.34,158.8
San Diego (Pioneer),12,10-2,149,362,1922,10,5.31,12.90,160.2
Florida A&M (MEAC),11,4-7,167,284,1790,15,6.30,10.72,162.7
Chattanooga (SoCon),13,9-4,193,345,2139,17,6.20,11.08,164.5
The Citadel (SoCon),12,10-2,169,295,2034,13,6.89,12.04,169.5
Richmond (CAA),14,10-4,192,359,2383,16,6.64,12.41,170.2
Towson (CAA),11,4-7,164,249,1875,18,7.53,11.43,170.5
Norfolk St. (MEAC),11,4-7,175,321,1882,14,5.86,10.75,171.1
Villanova (CAA),13,9-4,215,377,2238,10,5.94,10.41,172.2
Stony Brook (CAA),11,5-6,169,309,1904,13,6.16,11.27,173.1
Liberty (Big South),11,6-5,152,280,1908,12,6.81,12.55,173.5
Bethune-Cookman (MEAC),10,4-6,131,266,1746,12,6.56,13.33,174.6
Lafayette (Patriot),11,2-9,166,288,1934,17,6.72,11.65,175.8
N.C. Central (MEAC),12,9-3,175,330,2155,18,6.53,12.31,179.6
Furman (SoCon),11,3-8,142,235,1988,15,8.46,14.00,180.7
Hampton (MEAC),11,5-6,153,286,1996,14,6.98,13.05,181.5
Delaware (CAA),11,4-7,166,283,1997,15,7.06,12.03,181.5
ETSU (SoCon),11,5-6,171,263,2013,15,7.65,11.77,183.0
Morehead St. (Pioneer),11,4-7,153,316,2032,19,6.43,13.28,184.7
Wofford (SoCon),14,10-4,260,411,2596,23,6.32,9.98,185.4
Jacksonville St. (OVC),12,10-2,172,374,2227,14,5.95,12.95,185.6
Gardner-Webb (Big South),11,5-6,187,291,2052,14,7.05,10.97,186.5
UAlbany (CAA),11,7-4,178,320,2055,9,6.42,11.54,186.8
Jackson St. (SWAC),11,3-8,175,291,2068,16,7.11,11.82,188.0
Presbyterian (Big South),11,2-9,125,226,2073,15,9.17,16.58,188.5
Lamar University (Southland),11,3-8,155,290,2082,13,7.18,13.43,189.3
UNI (MVFC),11,5-6,182,316,2095,21,6.63,11.51,190.5
Duquesne (NEC),11,8-3,153,298,2096,17,7.03,13.70,190.5
Youngstown St. (MVFC),16,12-4,219,434,3057,26,7.04,13.96,191.1
Kennesaw St. (Big South),11,8-3,164,274,2107,14,7.69,12.85,191.5
Elon (CAA),11,2-9,176,288,2109,19,7.32,11.98,191.7
Fordham (Patriot),11,8-3,169,326,2121,8,6.51,12.55,192.8
Campbell (Pioneer),10,5-5,150,301,1931,11,6.42,12.87,193.1
Weber St. (Big Sky),12,7-5,199,357,2322,21,6.50,11.67,193.5
UT Martin (OVC),12,7-5,178,351,2329,17,6.64,13.08,194.1
Howard (MEAC),11,2-9,166,279,2157,18,7.73,12.99,196.1
