Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Duquesne (NEC),11,8-3,46,611,0,13.28
Princeton (Ivy League),10,8-2,22,317,0,14.41
Yale (Ivy League),10,3-7,21,341,0,16.24
Tennessee St. (OVC),11,7-4,42,685,0,16.31
UT Martin (OVC),12,7-5,47,769,0,16.36
Brown (Ivy League),10,4-6,20,332,0,16.60
Butler (Pioneer),11,4-7,45,750,0,16.67
Idaho St. (Big Sky),11,2-9,32,536,0,16.75
Eastern Ill. (OVC),11,6-5,43,727,1,16.91
Grambling (SWAC),12,11-1,73,1238,1,16.96
Monmouth (Big South),11,4-7,31,532,0,17.16
Bryant (NEC),11,5-6,42,728,0,17.33
Columbia (Ivy League),10,3-7,12,208,0,17.33
Penn (Ivy League),10,7-3,23,402,0,17.48
Charleston So. (Big South),11,7-4,55,965,0,17.55
Dayton (Pioneer),11,9-2,49,860,0,17.55
Portland St. (Big Sky),11,3-8,44,780,0,17.73
Towson (CAA),11,4-7,41,730,0,17.80
Jackson St. (SWAC),11,3-8,38,683,0,17.97
Southeastern La. (Southland),11,7-4,52,940,0,18.08
Maine (CAA),11,6-5,41,744,0,18.15
San Diego (Pioneer),12,10-2,54,981,0,18.17
Montana St. (Big Sky),11,4-7,36,656,0,18.22
UAlbany (CAA),11,7-4,37,677,0,18.30
Harvard (Ivy League),10,7-3,40,732,0,18.30
Davidson (Pioneer),11,2-9,29,531,1,18.31
ETSU (SoCon),11,5-6,32,586,0,18.31
Alabama St. (SWAC),11,4-7,42,770,1,18.33
Norfolk St. (MEAC),11,4-7,29,532,0,18.34
Northwestern St. (Southland),11,1-10,44,809,0,18.39
Jacksonville (Pioneer),10,5-5,54,993,1,18.39
Eastern Wash. (Big Sky),14,12-2,67,1233,0,18.40
North Dakota St. (MVFC),14,12-2,63,1173,0,18.62
Texas Southern (SWAC),11,4-7,41,770,0,18.78
Alabama A&M (SWAC),11,4-7,44,827,0,18.80
Sacred Heart (NEC),11,6-5,48,904,0,18.83
Fordham (Patriot),11,8-3,71,1339,0,18.86
Georgetown (Patriot),11,3-8,33,623,0,18.88
New Hampshire (CAA),13,8-5,61,1152,2,18.89
