Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Colgate (Patriot),10,5-5,292,694,2.38,5,69.4
Central Ark. (Southland),13,10-3,414,947,2.29,10,72.8
Princeton (Ivy League),10,8-2,327,801,2.45,8,80.1
Villanova (CAA),13,9-4,392,1139,2.91,11,87.6
Jacksonville St. (OVC),12,10-2,415,1072,2.58,12,89.3
North Dakota (Big Sky),12,9-3,372,1096,2.95,7,91.3
Harvard (Ivy League),10,7-3,302,983,3.25,8,98.3
Butler (Pioneer),11,4-7,353,1098,3.11,15,99.8
Stony Brook (CAA),11,5-6,413,1112,2.69,11,101.1
N.C. A&T (MEAC),12,9-3,413,1214,2.94,16,101.2
Wofford (SoCon),14,10-4,463,1425,3.08,8,101.8
San Diego (Pioneer),12,10-2,361,1276,3.53,9,106.3
North Dakota St. (MVFC),14,12-2,454,1490,3.28,9,106.4
McNeese (Southland),11,6-5,324,1231,3.80,16,111.9
Grambling (SWAC),12,11-1,417,1392,3.34,9,116.0
UNI (MVFC),11,5-6,399,1317,3.30,8,119.7
Sacred Heart (NEC),11,6-5,389,1324,3.40,16,120.4
Saint Francis (PA) (NEC),12,7-5,437,1454,3.33,10,121.2
Brown (Ivy League),10,4-6,380,1227,3.23,20,122.7
Duquesne (NEC),11,8-3,388,1359,3.50,16,123.5
Wagner (NEC),11,6-5,380,1369,3.60,11,124.5
Penn (Ivy League),10,7-3,342,1257,3.68,13,125.7
Illinois St. (MVFC),12,6-6,458,1522,3.32,9,126.8
UT Martin (OVC),12,7-5,424,1540,3.63,16,128.3
Chattanooga (SoCon),13,9-4,479,1672,3.49,15,128.6
Youngstown St. (MVFC),16,12-4,557,2062,3.70,12,128.9
Campbell (Pioneer),10,5-5,371,1290,3.48,17,129.0
James Madison (CAA),15,14-1,482,1950,4.05,25,130.0
Kennesaw St. (Big South),11,8-3,389,1433,3.68,12,130.3
Robert Morris (NEC),11,2-9,450,1449,3.22,12,131.7
Alabama St. (SWAC),11,4-7,365,1460,4.00,17,132.7
The Citadel (SoCon),12,10-2,385,1597,4.15,14,133.1
Dayton (Pioneer),11,9-2,379,1469,3.88,15,133.5
Bucknell (Patriot),11,4-7,376,1470,3.91,19,133.6
Cal Poly (Big Sky),12,7-5,354,1615,4.56,15,134.6
Charleston So. (Big South),11,7-4,413,1488,3.60,15,135.3
South Carolina St. (MEAC),11,5-6,423,1501,3.55,9,136.5
New Hampshire (CAA),13,8-5,473,1790,3.78,13,137.7
Southeast Mo. St. (OVC),11,3-8,414,1522,3.68,8,138.4
SFA (Southland),11,5-6,440,1544,3.51,19,140.4
Nicholls (Southland),11,5-6,420,1554,3.70,21,141.3
Montana St. (Big Sky),11,4-7,374,1605,4.29,16,145.9
Richmond (CAA),14,10-4,509,2055,4.04,24,146.8
Bryant (NEC),11,5-6,420,1619,3.85,17,147.2
Western Ill. (MVFC),11,6-5,389,1647,4.23,13,149.7
Yale (Ivy League),10,3-7,394,1506,3.82,15,150.6
Montana (Big Sky),11,6-5,425,1659,3.90,16,150.8
Columbia (Ivy League),10,3-7,379,1511,3.99,11,151.1
Mercer (SoCon),11,6-5,435,1663,3.82,22,151.2
Central Conn. St. (NEC),11,2-9,430,1683,3.91,20,153.0
Northern Ariz. (Big Sky),11,5-6,403,1687,4.19,21,153.4
Southern Utah (Big Sky),11,6-5,408,1694,4.15,14,154.0
