Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
North Dakota St. (MVFC),14,12-2,3,0,0,0.00
Kennesaw St. (Big South),11,8-3,14,18,0,1.29
McNeese (Southland),11,6-5,15,35,0,2.33
Eastern Ky. (OVC),11,3-8,14,35,0,2.50
Saint Francis (PA) (NEC),12,7-5,26,71,0,2.73
Butler (Pioneer),11,4-7,13,38,0,2.92
Robert Morris (NEC),11,2-9,21,67,0,3.19
Holy Cross (Patriot),11,4-7,11,37,0,3.36
San Diego (Pioneer),12,10-2,5,17,0,3.40
Davidson (Pioneer),11,2-9,23,87,0,3.78
UAlbany (CAA),11,7-4,27,103,0,3.81
Portland St. (Big Sky),11,3-8,7,28,0,4.00
Duquesne (NEC),11,8-3,18,77,0,4.28
Presbyterian (Big South),11,2-9,20,87,0,4.35
Montana St. (Big Sky),11,4-7,14,62,0,4.43
New Hampshire (CAA),13,8-5,16,71,0,4.44
Brown (Ivy League),10,4-6,18,81,0,4.50
UT Martin (OVC),12,7-5,10,45,0,4.50
Wofford (SoCon),14,10-4,23,104,0,4.52
Yale (Ivy League),10,3-7,18,82,0,4.56
Murray St. (OVC),11,4-7,19,88,0,4.63
Chattanooga (SoCon),13,9-4,20,95,0,4.75
Fordham (Patriot),11,8-3,9,44,0,4.89
Missouri St. (MVFC),11,4-7,19,95,0,5.00
Southern U. (SWAC),11,8-3,11,57,1,5.18
Weber St. (Big Sky),12,7-5,18,94,0,5.22
Central Ark. (Southland),13,10-3,15,79,1,5.27
Lamar University (Southland),11,3-8,25,134,0,5.36
Delaware (CAA),11,4-7,11,59,0,5.36
Sacred Heart (NEC),11,6-5,26,140,0,5.38
Youngstown St. (MVFC),16,12-4,21,118,0,5.62
VMI (SoCon),11,3-8,26,149,0,5.73
Drake (Pioneer),11,7-4,21,123,1,5.86
Southeast Mo. St. (OVC),11,3-8,21,126,0,6.00
North Dakota (Big Sky),12,9-3,26,160,1,6.15
Northern Colo. (Big Sky),11,6-5,16,99,0,6.19
Richmond (CAA),14,10-4,23,144,1,6.26
Samford (SoCon),12,7-5,13,82,0,6.31
Western Ill. (MVFC),11,6-5,16,101,0,6.31
James Madison (CAA),15,14-1,15,96,0,6.40
SFA (Southland),11,5-6,23,148,0,6.43
Morgan St. (MEAC),11,3-8,18,116,0,6.44
Nicholls (Southland),11,5-6,21,142,0,6.76
Bethune-Cookman (MEAC),10,4-6,17,117,1,6.88
Princeton (Ivy League),10,8-2,15,104,0,6.93
Sacramento St. (Big Sky),11,2-9,20,140,1,7.00
Campbell (Pioneer),10,5-5,19,134,0,7.05
Eastern Ill. (OVC),11,6-5,8,57,0,7.13
Towson (CAA),11,4-7,18,130,0,7.22
Villanova (CAA),13,9-4,22,161,0,7.32
Georgetown (Patriot),11,3-8,44,324,1,7.36
Jacksonville St. (OVC),12,10-2,27,199,1,7.37
Dartmouth (Ivy League),10,4-6,16,118,0,7.38
Monmouth (Big South),11,4-7,18,133,1,7.39
Marist (Pioneer),11,5-6,20,149,0,7.45
Liberty (Big South),11,6-5,23,172,1,7.48
Columbia (Ivy League),10,3-7,19,147,0,7.74
Bryant (NEC),11,5-6,16,125,1,7.81
The Citadel (SoCon),12,10-2,11,87,0,7.91
Idaho St. (Big Sky),11,2-9,25,198,1,7.92
Maine (CAA),11,6-5,23,185,1,8.04
South Dakota (MVFC),11,4-7,22,177,0,8.05
Northern Ariz. (Big Sky),11,5-6,20,164,0,8.20
Harvard (Ivy League),10,7-3,18,148,1,8.22
Eastern Wash. (Big Sky),14,12-2,12,102,0,8.50
Alabama St. (SWAC),11,4-7,22,193,1,8.77
Bucknell (Patriot),11,4-7,28,249,0,8.89
Mercer (SoCon),11,6-5,10,91,1,9.10
Florida A&M (MEAC),11,4-7,26,237,1,9.12
Austin Peay (OVC),11,0-11,25,228,0,9.12
Montana (Big Sky),11,6-5,24,225,1,9.38
Stony Brook (CAA),11,5-6,19,179,0,9.42
Grambling (SWAC),12,11-1,9,85,0,9.44
Rhode Island (CAA),11,2-9,19,180,0,9.47
Savannah St. (MEAC),10,3-7,28,266,2,9.50
Western Caro. (SoCon),11,2-9,24,228,0,9.50
South Dakota St. (MVFC),13,9-4,13,124,1,9.54
Northwestern St. (Southland),11,1-10,21,201,0,9.57
Sam Houston (Southland),13,12-1,21,204,2,9.71
Colgate (Patriot),10,5-5,16,157,0,9.81
Texas Southern (SWAC),11,4-7,20,198,1,9.90
ETSU (SoCon),11,5-6,21,210,0,10.00
Wagner (NEC),11,6-5,15,150,0,10.00
Illinois St. (MVFC),12,6-6,16,161,2,10.06
Cornell (Ivy League),10,4-6,15,152,1,10.13
Jacksonville (Pioneer),10,5-5,20,204,0,10.20
Southern Ill. (MVFC),11,4-7,20,208,1,10.40
Southeastern La. (Southland),11,7-4,17,180,0,10.59
South Carolina St. (MEAC),11,5-6,23,244,0,10.61
Lafayette (Patriot),11,2-9,36,382,0,10.61
Charleston So. (Big South),11,7-4,13,143,1,11.00
Norfolk St. (MEAC),11,4-7,21,231,3,11.00
Ark.-Pine Bluff (SWAC),11,1-10,26,286,0,11.00
Valparaiso (Pioneer),11,4-7,27,300,1,11.11
Stetson (Pioneer),11,4-7,32,356,0,11.13
Houston Christian (Southland),11,4-7,36,404,2,11.22
Alabama A&M (SWAC),11,4-7,24,270,0,11.25
Furman (SoCon),11,3-8,14,158,1,11.29
Penn (Ivy League),10,7-3,18,204,1,11.33
Southern Utah (Big Sky),11,6-5,24,279,0,11.63
Elon (CAA),11,2-9,17,200,1,11.76
Alcorn (SWAC),11,5-6,15,179,0,11.93
Tennessee St. (OVC),11,7-4,14,176,2,12.57
Howard (MEAC),11,2-9,16,204,2,12.75
Central Conn. St. (NEC),11,2-9,22,284,2,12.91
William & Mary (CAA),11,5-6,13,170,2,13.08
Prairie View (SWAC),11,7-4,8,107,1,13.38
Delaware St. (MEAC),11,0-11,26,348,1,13.38
N.C. Central (MEAC),12,9-3,22,306,1,13.91
Dayton (Pioneer),11,9-2,20,280,1,14.00
Tennessee Tech (OVC),11,5-6,16,228,1,14.25
Lehigh (Patriot),12,9-3,18,263,1,14.61
Morehead St. (Pioneer),11,4-7,30,444,3,14.80
Gardner-Webb (Big South),11,5-6,18,270,1,15.00
Mississippi Val. (SWAC),11,1-10,15,234,3,15.60
Jackson St. (SWAC),11,3-8,20,313,1,15.65
UC Davis (Big Sky),11,3-8,13,212,0,16.31
Hampton (MEAC),11,5-6,16,262,0,16.38
Indiana St. (MVFC),11,4-7,17,311,3,18.29
UNI (MVFC),11,5-6,14,265,1,18.93
N.C. A&T (MEAC),12,9-3,19,360,1,18.95
Cal Poly (Big Sky),12,7-5,9,190,1,21.11
Abilene Christian (Southland),11,2-9,18,184,0,10.22
UIW (Southland),11,3-8,30,387,2,12.90
