Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Grambling (SWAC),12,11-1,105,16,527,113,9.4
Stetson (Pioneer),11,4-7,79,46,346,102,9.3
N.C. A&T (MEAC),12,9-3,80,52,429,106,8.8
Central Ark. (Southland),13,10-3,93,42,497,114,8.8
Brown (Ivy League),10,4-6,65,41,325,86,8.6
N.C. Central (MEAC),12,9-3,68,66,334,101,8.4
Alcorn (SWAC),11,5-6,66,48,388,90,8.2
Jacksonville St. (OVC),12,10-2,64,67,373,98,8.1
Montana (Big Sky),11,6-5,57,64,364,89,8.1
South Carolina St. (MEAC),11,5-6,74,28,326,88,8.0
Saint Francis (PA) (NEC),12,7-5,71,44,398,93,7.8
Sam Houston (Southland),13,12-1,70,60,414,100,7.7
Jackson St. (SWAC),11,3-8,58,52,280,84,7.6
Columbia (Ivy League),10,3-7,59,34,237,76,7.6
Southern Utah (Big Sky),11,6-5,65,36,334,83,7.5
Samford (SoCon),12,7-5,67,46,313,90,7.5
Savannah St. (MEAC),10,3-7,61,28,284,75,7.5
Stony Brook (CAA),11,5-6,65,34,297,82,7.5
Bethune-Cookman (MEAC),10,4-6,54,40,222,74,7.4
Colgate (Patriot),10,5-5,59,30,321,74,7.4
SFA (Southland),11,5-6,59,44,318,81,7.4
The Citadel (SoCon),12,10-2,58,58,341,87,7.3
Northern Ariz. (Big Sky),11,5-6,60,38,328,79,7.2
Charleston So. (Big South),11,7-4,60,36,312,78,7.1
Morehead St. (Pioneer),11,4-7,46,60,256,76,6.9
Sacred Heart (NEC),11,6-5,51,48,293,75,6.8
Wofford (SoCon),14,10-4,78,34,356,95,6.8
Youngstown St. (MVFC),16,12-4,95,26,454,108,6.8
UT Martin (OVC),12,7-5,52,58,296,81,6.8
UC Davis (Big Sky),11,3-8,61,26,294,74,6.7
Davidson (Pioneer),11,2-9,63,22,323,74,6.7
Prairie View (SWAC),11,7-4,58,32,333,74,6.7
North Dakota St. (MVFC),14,12-2,71,44,399,93,6.6
Morgan St. (MEAC),11,3-8,58,30,286,73,6.6
Monmouth (Big South),11,4-7,53,40,234,73,6.6
Alabama St. (SWAC),11,4-7,51,44,232,73,6.6
North Dakota (Big Sky),12,9-3,58,42,311,79,6.6
Robert Morris (NEC),11,2-9,51,42,321,72,6.5
Villanova (CAA),13,9-4,70,30,379,85,6.5
Chattanooga (SoCon),13,9-4,71,26,352,84,6.5
Florida A&M (MEAC),11,4-7,65,12,312,71,6.5
Fordham (Patriot),11,8-3,62,18,306,71,6.5
Princeton (Ivy League),10,8-2,45,38,262,64,6.4
Houston Christian (Southland),11,4-7,49,42,293,70,6.4
Alabama A&M (SWAC),11,4-7,46,48,280,70,6.4
Eastern Ky. (OVC),11,3-8,49,40,275,69,6.3
San Diego (Pioneer),12,10-2,65,20,326,75,6.3
Norfolk St. (MEAC),11,4-7,49,38,256,68,6.2
Murray St. (OVC),11,4-7,50,36,205,68,6.2
UNI (MVFC),11,5-6,60,16,254,68,6.2
Southeastern La. (Southland),11,7-4,55,26,256,68,6.2
Southern U. (SWAC),11,8-3,49,38,246,68,6.2
Southern Ill. (MVFC),11,4-7,56,24,218,68,6.2
Weber St. (Big Sky),12,7-5,63,22,239,74,6.2
Campbell (Pioneer),10,5-5,44,34,259,61,6.1
Bucknell (Patriot),11,4-7,51,32,273,67,6.1
Tennessee St. (OVC),11,7-4,46,42,232,67,6.1
Wagner (NEC),11,6-5,49,36,256,67,6.1
Butler (Pioneer),11,4-7,45,42,271,66,6.0
Dayton (Pioneer),11,9-2,54,24,275,66,6.0
Eastern Ill. (OVC),11,6-5,52,26,252,65,5.9
Towson (CAA),11,4-7,54,22,249,65,5.9
Mercer (SoCon),11,6-5,50,30,254,65,5.9
Nicholls (Southland),11,5-6,43,44,221,65,5.9
New Hampshire (CAA),13,8-5,56,40,273,76,5.8
Sacramento St. (Big Sky),11,2-9,43,42,194,64,5.8
Delaware (CAA),11,4-7,57,14,237,64,5.8
McNeese (Southland),11,6-5,51,26,227,64,5.8
Texas Southern (SWAC),11,4-7,47,34,266,64,5.8
Kennesaw St. (Big South),11,8-3,56,14,221,63,5.7
Southeast Mo. St. (OVC),11,3-8,48,30,255,63,5.7
Maine (CAA),11,6-5,46,34,203,63,5.7
Cal Poly (Big Sky),12,7-5,56,24,197,68,5.7
South Dakota (MVFC),11,4-7,52,20,218,62,5.6
Holy Cross (Patriot),11,4-7,56,12,223,62,5.6
Illinois St. (MVFC),12,6-6,58,18,261,67,5.6
Eastern Wash. (Big Sky),14,12-2,61,34,307,78,5.6
Duquesne (NEC),11,8-3,43,36,297,61,5.5
Indiana St. (MVFC),11,4-7,44,34,224,61,5.5
Rhode Island (CAA),11,2-9,47,28,181,61,5.5
Hampton (MEAC),11,5-6,39,42,238,60,5.5
Yale (Ivy League),10,3-7,42,24,179,54,5.4
Delaware St. (MEAC),11,0-11,44,30,238,59,5.4
Central Conn. St. (NEC),11,2-9,39,40,231,59,5.4
Lafayette (Patriot),11,2-9,43,30,225,58,5.3
Northern Colo. (Big Sky),11,6-5,41,34,199,58,5.3
Tennessee Tech (OVC),11,5-6,43,29,183,58,5.2
Idaho St. (Big Sky),11,2-9,37,40,225,57,5.2
Montana St. (Big Sky),11,4-7,49,16,226,57,5.2
Marist (Pioneer),11,5-6,50,14,204,57,5.2
VMI (SoCon),11,3-8,45,24,209,57,5.2
ETSU (SoCon),11,5-6,42,30,187,57,5.2
Western Ill. (MVFC),11,6-5,45,22,201,56,5.1
Missouri St. (MVFC),11,4-7,40,32,233,56,5.1
Drake (Pioneer),11,7-4,43,26,183,56,5.1
Lehigh (Patriot),12,9-3,54,14,290,61,5.1
Bryant (NEC),11,5-6,40,30,227,55,5.0
Liberty (Big South),11,6-5,44,22,170,55,5.0
Georgetown (Patriot),11,3-8,41,26,217,54,4.9
Northwestern St. (Southland),11,1-10,40,28,129,54,4.9
Portland St. (Big Sky),11,3-8,46,16,203,54,4.9
South Dakota St. (MVFC),13,9-4,47,32,232,63,4.8
UAlbany (CAA),11,7-4,39,28,189,53,4.8
Penn (Ivy League),10,7-3,39,18,156,48,4.8
Richmond (CAA),14,10-4,46,42,266,67,4.8
Gardner-Webb (Big South),11,5-6,36,32,182,52,4.7
Austin Peay (OVC),11,0-11,33,38,174,52,4.7
Harvard (Ivy League),10,7-3,39,16,188,47,4.7
Valparaiso (Pioneer),11,4-7,34,34,184,51,4.6
Howard (MEAC),11,2-9,43,16,209,51,4.6
Ark.-Pine Bluff (SWAC),11,1-10,37,28,182,51,4.6
Furman (SoCon),11,3-8,33,32,155,49,4.5
Jacksonville (Pioneer),10,5-5,37,14,190,44,4.4
Elon (CAA),11,2-9,27,42,172,48,4.4
Dartmouth (Ivy League),10,4-6,33,20,155,43,4.3
Mississippi Val. (SWAC),11,1-10,35,24,228,47,4.3
James Madison (CAA),15,14-1,46,36,274,64,4.3
Lamar University (Southland),11,3-8,32,29,159,47,4.2
Cornell (Ivy League),10,4-6,32,18,127,41,4.1
Western Caro. (SoCon),11,2-9,35,10,156,40,3.6
William & Mary (CAA),11,5-6,33,12,127,39,3.5
Presbyterian (Big South),11,2-9,32,8,139,36,3.3
UIW (Southland),11,3-8,52,24,250,64,5.8
Abilene Christian (Southland),11,2-9,44,18,168,53,4.8
