Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Harvard (Ivy League),10,7-3,52,97,21,170
Duquesne (NEC),11,8-3,69,84,19,172
Princeton (Ivy League),10,8-2,61,101,10,172
Colgate (Patriot),10,5-5,42,119,11,172
Bethune-Cookman (MEAC),10,4-6,86,70,18,174
San Diego (Pioneer),12,10-2,77,80,17,174
The Citadel (SoCon),12,10-2,92,74,11,177
Charleston So. (Big South),11,7-4,80,80,17,177
Columbia (Ivy League),10,3-7,69,85,23,177
Stony Brook (CAA),11,5-6,68,91,18,177
Campbell (Pioneer),10,5-5,65,82,32,179
Jacksonville St. (OVC),12,10-2,61,83,36,180
UNI (MVFC),11,5-6,74,87,22,183
Montana (Big Sky),11,6-5,79,81,26,186
Brown (Ivy League),10,4-6,73,105,10,188
Hampton (MEAC),11,5-6,81,86,22,189
Kennesaw St. (Big South),11,8-3,81,91,18,190
Villanova (CAA),13,9-4,61,110,20,191
Sacred Heart (NEC),11,6-5,57,109,25,191
McNeese (Southland),11,6-5,56,112,24,192
Liberty (Big South),11,6-5,101,81,10,192
Robert Morris (NEC),11,2-9,65,105,24,194
Furman (SoCon),11,3-8,104,81,12,197
Wagner (NEC),11,6-5,71,102,24,197
Towson (CAA),11,4-7,95,90,13,198
Delaware (CAA),11,4-7,99,90,10,199
Jacksonville (Pioneer),10,5-5,91,92,18,201
Stetson (Pioneer),11,4-7,76,98,27,201
Fordham (Patriot),11,8-3,103,87,12,202
William & Mary (CAA),11,5-6,118,78,8,204
UAlbany (CAA),11,7-4,103,87,15,205
Chattanooga (SoCon),13,9-4,95,87,23,205
Maine (CAA),11,6-5,92,102,12,206
Penn (Ivy League),10,7-3,77,121,9,207
Grambling (SWAC),12,11-1,83,103,21,207
UT Martin (OVC),12,7-5,88,99,21,208
Presbyterian (Big South),11,2-9,122,78,8,208
Dartmouth (Ivy League),10,4-6,88,106,15,209
Eastern Ill. (OVC),11,6-5,85,96,28,209
North Dakota (Big Sky),12,9-3,66,129,15,210
Southern U. (SWAC),11,8-3,109,94,8,211
Nicholls (Southland),11,5-6,83,113,18,214
Bucknell (Patriot),11,4-7,88,120,6,214
South Carolina St. (MEAC),11,5-6,93,101,20,214
Bryant (NEC),11,5-6,86,105,23,214
Norfolk St. (MEAC),11,4-7,100,97,18,215
N.C. A&T (MEAC),12,9-3,68,126,22,216
N.C. Central (MEAC),12,9-3,112,88,16,216
Butler (Pioneer),11,4-7,65,132,20,217
Dayton (Pioneer),11,9-2,84,117,16,217
Alcorn (SWAC),11,5-6,107,95,16,218
Texas Southern (SWAC),11,4-7,83,117,19,219
Howard (MEAC),11,2-9,116,88,15,219
Northern Ariz. (Big Sky),11,5-6,87,117,16,220
Gardner-Webb (Big South),11,5-6,117,94,10,221
Southeast Mo. St. (OVC),11,3-8,72,127,22,221
Monmouth (Big South),11,4-7,136,73,12,222
ETSU (SoCon),11,5-6,116,86,20,222
Jackson St. (SWAC),11,3-8,105,89,28,222
Savannah St. (MEAC),10,3-7,110,96,16,222
Missouri St. (MVFC),11,4-7,88,124,10,222
Alabama St. (SWAC),11,4-7,82,118,22,222
Lamar University (Southland),11,3-8,121,95,7,223
Illinois St. (MVFC),12,6-6,89,116,20,225
Wofford (SoCon),14,10-4,87,119,19,225
Saint Francis (PA) (NEC),12,7-5,82,106,37,225
Montana St. (Big Sky),11,4-7,75,135,15,225
Yale (Ivy League),10,3-7,89,122,14,225
Morehead St. (Pioneer),11,4-7,123,85,17,225
Tennessee Tech (OVC),11,5-6,88,122,16,226
Richmond (CAA),14,10-4,105,112,10,227
Davidson (Pioneer),11,2-9,98,118,13,229
VMI (SoCon),11,3-8,108,110,11,229
Southern Ill. (MVFC),11,4-7,92,108,29,229
Morgan St. (MEAC),11,3-8,107,101,22,230
Georgetown (Patriot),11,3-8,97,114,18,230
Mercer (SoCon),11,6-5,95,116,20,231
Western Ill. (MVFC),11,6-5,82,136,13,231
Tennessee St. (OVC),11,7-4,107,103,22,232
Eastern Ky. (OVC),11,3-8,111,92,29,232
Florida A&M (MEAC),11,4-7,126,93,14,233
Drake (Pioneer),11,7-4,95,113,25,233
Rhode Island (CAA),11,2-9,123,108,2,233
Holy Cross (Patriot),11,4-7,97,121,15,233
Prairie View (SWAC),11,7-4,107,105,22,234
Indiana St. (MVFC),11,4-7,104,114,16,234
Central Conn. St. (NEC),11,2-9,87,126,21,234
Lafayette (Patriot),11,2-9,134,90,11,235
Alabama A&M (SWAC),11,4-7,115,108,12,235
North Dakota St. (MVFC),14,12-2,93,126,16,235
Weber St. (Big Sky),12,7-5,113,105,18,236
Central Ark. (Southland),13,10-3,67,137,32,236
Elon (CAA),11,2-9,131,93,15,239
Marist (Pioneer),11,5-6,117,104,19,240
Southeastern La. (Southland),11,7-4,99,113,30,242
UC Davis (Big Sky),11,3-8,110,112,21,243
Mississippi Val. (SWAC),11,1-10,113,109,21,243
South Dakota (MVFC),11,4-7,119,116,11,246
Cornell (Ivy League),10,4-6,110,119,17,246
Houston Christian (Southland),11,4-7,99,120,28,247
Valparaiso (Pioneer),11,4-7,116,110,22,248
SFA (Southland),11,5-6,81,145,24,250
New Hampshire (CAA),13,8-5,90,141,19,250
Cal Poly (Big Sky),12,7-5,84,147,19,250
Southern Utah (Big Sky),11,6-5,98,135,18,251
Portland St. (Big Sky),11,3-8,123,101,27,251
Delaware St. (MEAC),11,0-11,144,92,17,253
Sacramento St. (Big Sky),11,2-9,135,105,15,255
Lehigh (Patriot),12,9-3,138,107,14,259
Samford (SoCon),12,7-5,136,102,23,261
Youngstown St. (MVFC),16,12-4,111,126,25,262
Idaho St. (Big Sky),11,2-9,123,126,16,265
Northwestern St. (Southland),11,1-10,111,137,20,268
Austin Peay (OVC),11,0-11,133,122,16,271
South Dakota St. (MVFC),13,9-4,115,140,18,273
Northern Colo. (Big Sky),11,6-5,135,116,25,276
James Madison (CAA),15,14-1,106,148,27,281
Western Caro. (SoCon),11,2-9,165,95,22,282
Murray St. (OVC),11,4-7,118,139,26,283
Ark.-Pine Bluff (SWAC),11,1-10,123,143,19,285
Sam Houston (Southland),13,12-1,124,155,24,303
Eastern Wash. (Big Sky),14,12-2,138,149,24,311
UIW (Southland),11,3-8,94,122,26,242
Abilene Christian (Southland),11,2-9,106,137,20,263
