Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Sam Houston (Southland),13,12-1,993,7115,7.17,89,547.3
Eastern Wash. (Big Sky),14,12-2,1062,7414,6.98,78,529.6
James Madison (CAA),15,14-1,1099,7612,6.93,84,507.5
Fordham (Patriot),11,8-3,826,5480,6.63,56,498.2
Grambling (SWAC),12,11-1,848,5810,6.85,59,484.2
Lehigh (Patriot),12,9-3,905,5806,6.42,63,483.8
Montana (Big Sky),11,6-5,880,5304,6.03,53,482.2
Kennesaw St. (Big South),11,8-3,782,5275,6.75,58,479.5
Northern Ariz. (Big Sky),11,5-6,835,5230,6.26,45,475.5
Southern U. (SWAC),11,8-3,794,5191,6.54,54,471.9
Cal Poly (Big Sky),12,7-5,876,5656,6.46,56,471.3
Southern Ill. (MVFC),11,4-7,893,5172,5.79,42,470.2
Portland St. (Big Sky),11,3-8,769,4996,6.50,48,454.2
Samford (SoCon),12,7-5,868,5354,6.17,51,446.2
Morehead St. (Pioneer),11,4-7,847,4903,5.79,46,445.7
McNeese (Southland),11,6-5,848,4854,5.72,41,441.3
San Diego (Pioneer),12,10-2,864,5290,6.12,55,440.8
SFA (Southland),11,5-6,942,4819,5.12,40,438.1
South Dakota St. (MVFC),13,9-4,852,5688,6.68,52,437.5
Jacksonville St. (OVC),12,10-2,876,5209,5.95,45,434.1
Duquesne (NEC),11,8-3,799,4719,5.91,40,429.0
Jacksonville (Pioneer),10,5-5,683,4247,6.22,40,424.7
Central Ark. (Southland),13,10-3,1043,5517,5.29,48,424.4
Youngstown St. (MVFC),16,12-4,1138,6766,5.95,52,422.9
Northern Colo. (Big Sky),11,6-5,714,4596,6.44,50,417.8
Alcorn (SWAC),11,5-6,738,4590,6.22,43,417.3
The Citadel (SoCon),12,10-2,904,4998,5.53,37,416.5
Princeton (Ivy League),10,8-2,803,4155,5.17,46,415.5
Tennessee St. (OVC),11,7-4,693,4566,6.59,42,415.1
Chattanooga (SoCon),13,9-4,873,5363,6.14,55,412.5
Colgate (Patriot),10,5-5,674,4110,6.10,37,411.0
Western Ill. (MVFC),11,6-5,799,4520,5.66,40,410.9
Richmond (CAA),14,10-4,938,5739,6.12,45,409.9
Charleston So. (Big South),11,7-4,677,4504,6.65,48,409.5
Campbell (Pioneer),10,5-5,731,4088,5.59,36,408.8
Dartmouth (Ivy League),10,4-6,752,4086,5.43,25,408.6
North Dakota St. (MVFC),14,12-2,890,5711,6.42,48,407.9
Eastern Ill. (OVC),11,6-5,811,4453,5.49,38,404.8
N.C. A&T (MEAC),12,9-3,801,4831,6.03,53,402.6
Sacred Heart (NEC),11,6-5,819,4411,5.39,36,401.0
Eastern Ky. (OVC),11,3-8,810,4390,5.42,32,399.1
Furman (SoCon),11,3-8,735,4382,5.96,40,398.4
Southeastern La. (Southland),11,7-4,728,4373,6.01,37,397.5
Penn (Ivy League),10,7-3,676,3968,5.87,37,396.8
UC Davis (Big Sky),11,3-8,745,4328,5.81,36,393.5
Prairie View (SWAC),11,7-4,726,4319,5.95,45,392.6
Harvard (Ivy League),10,7-3,779,3909,5.02,34,390.9
Nicholls (Southland),11,5-6,831,4286,5.16,41,389.6
Mercer (SoCon),11,6-5,812,4282,5.27,35,389.3
Drake (Pioneer),11,7-4,804,4271,5.31,39,388.3
Weber St. (Big Sky),12,7-5,855,4655,5.44,40,387.9
Western Caro. (SoCon),11,2-9,720,4252,5.91,31,386.5
North Dakota (Big Sky),12,9-3,839,4634,5.52,39,386.2
Illinois St. (MVFC),12,6-6,806,4625,5.74,36,385.4
South Dakota (MVFC),11,4-7,839,4236,5.05,41,385.1
Cornell (Ivy League),10,4-6,695,3849,5.54,30,384.9
Dayton (Pioneer),11,9-2,719,4233,5.89,43,384.8
N.C. Central (MEAC),12,9-3,762,4614,6.06,42,384.5
Southern Utah (Big Sky),11,6-5,781,4229,5.41,42,384.5
UT Martin (OVC),12,7-5,830,4611,5.56,43,384.3
Marist (Pioneer),11,5-6,749,4216,5.63,33,383.3
Gardner-Webb (Big South),11,5-6,726,4198,5.78,33,381.6
Murray St. (OVC),11,4-7,822,4193,5.10,33,381.2
Alabama St. (SWAC),11,4-7,781,4192,5.37,38,381.1
New Hampshire (CAA),13,8-5,956,4929,5.16,43,379.2
Villanova (CAA),13,9-4,895,4924,5.50,40,378.8
Butler (Pioneer),11,4-7,749,4161,5.56,32,378.3
Wagner (NEC),11,6-5,711,4130,5.81,33,375.5
Sacramento St. (Big Sky),11,2-9,823,4107,4.99,33,373.4
Monmouth (Big South),11,4-7,753,4079,5.42,37,370.8
Towson (CAA),11,4-7,762,4056,5.32,25,368.7
Montana St. (Big Sky),11,4-7,732,4047,5.53,36,367.9
Idaho St. (Big Sky),11,2-9,784,4047,5.16,36,367.9
Northwestern St. (Southland),11,1-10,694,4046,5.83,31,367.8
Austin Peay (OVC),11,0-11,763,4042,5.30,32,367.5
Indiana St. (MVFC),11,4-7,830,4039,4.87,31,367.2
Alabama A&M (SWAC),11,4-7,808,4033,4.99,29,366.6
UNI (MVFC),11,5-6,774,3975,5.14,33,361.4
Holy Cross (Patriot),11,4-7,780,3952,5.07,31,359.3
Central Conn. St. (NEC),11,2-9,777,3944,5.08,27,358.5
Tennessee Tech (OVC),11,5-6,735,3941,5.36,33,358.3
Maine (CAA),11,6-5,709,3934,5.55,29,357.6
Houston Christian (Southland),11,4-7,810,3882,4.79,22,352.9
Southeast Mo. St. (OVC),11,3-8,777,3836,4.94,24,348.7
Liberty (Big South),11,6-5,772,3834,4.97,34,348.5
VMI (SoCon),11,3-8,784,3813,4.86,30,346.6
Hampton (MEAC),11,5-6,724,3806,5.26,26,346.0
Saint Francis (PA) (NEC),12,7-5,729,4141,5.68,37,345.1
Wofford (SoCon),14,10-4,908,4802,5.29,40,343.0
William & Mary (CAA),11,5-6,721,3772,5.23,31,342.9
Bryant (NEC),11,5-6,706,3710,5.25,40,337.3
Lafayette (Patriot),11,2-9,764,3701,4.84,26,336.5
Bethune-Cookman (MEAC),10,4-6,654,3355,5.13,32,335.5
Howard (MEAC),11,2-9,766,3687,4.81,27,335.2
Bucknell (Patriot),11,4-7,800,3601,4.50,31,327.4
Columbia (Ivy League),10,3-7,741,3270,4.41,20,327.0
Delaware (CAA),11,4-7,667,3568,5.35,29,324.4
Texas Southern (SWAC),11,4-7,699,3556,5.09,26,323.3
Lamar University (Southland),11,3-8,779,3553,4.56,26,323.0
Missouri St. (MVFC),11,4-7,724,3535,4.88,30,321.4
Brown (Ivy League),10,4-6,733,3151,4.30,25,315.1
Ark.-Pine Bluff (SWAC),11,1-10,719,3410,4.74,18,310.0
Jackson St. (SWAC),11,3-8,729,3394,4.66,20,308.5
Stetson (Pioneer),11,4-7,743,3384,4.55,27,307.6
Yale (Ivy League),10,3-7,715,3032,4.24,23,303.2
Valparaiso (Pioneer),11,4-7,739,3303,4.47,30,300.3
Florida A&M (MEAC),11,4-7,700,3280,4.69,24,298.2
ETSU (SoCon),11,5-6,725,3250,4.48,20,295.5
Delaware St. (MEAC),11,0-11,709,3204,4.52,21,291.3
South Carolina St. (MEAC),11,5-6,750,3204,4.27,29,291.3
UAlbany (CAA),11,7-4,646,3192,4.94,27,290.2
Davidson (Pioneer),11,2-9,694,3191,4.60,22,290.1
Norfolk St. (MEAC),11,4-7,676,3085,4.56,19,280.5
Morgan St. (MEAC),11,3-8,750,3073,4.10,23,279.4
Elon (CAA),11,2-9,671,3048,4.54,12,277.1
Rhode Island (CAA),11,2-9,678,3009,4.44,21,273.5
Stony Brook (CAA),11,5-6,671,2884,4.30,20,262.2
Mississippi Val. (SWAC),11,1-10,716,2730,3.81,21,248.2
Presbyterian (Big South),11,2-9,682,2656,3.89,10,241.5
Savannah St. (MEAC),10,3-7,579,2268,3.92,17,226.8
Georgetown (Patriot),11,3-8,671,2479,3.69,17,225.4
Robert Morris (NEC),11,2-9,613,1670,2.72,8,151.8
Abilene Christian (Southland),11,2-9,822,4308,5.24,35,391.6
UIW (Southland),11,3-8,786,3964,5.04,39,360.4
