Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Kansas (Big 12),12,8-4,2,-6,0,-3.00
Louisiana (Sun Belt),12,6-6,7,-9,0,-1.29
LSU (SEC),12,9-3,2,-1,0,-0.50
Georgia (SEC),13,12-1,0,0,0,0.00
West Virginia (Big 12),12,8-4,12,0,0,0.00
Tennessee (SEC),12,8-4,7,5,0,0.71
Miami (OH) (MAC),13,11-2,20,26,0,1.30
Northwestern (Big Ten),12,7-5,12,19,0,1.58
Akron (MAC),12,2-10,14,25,0,1.79
Washington (Pac-12),13,13-0,6,11,0,1.83
FIU (CUSA),12,4-8,14,26,0,1.86
South Alabama (Sun Belt),12,6-6,5,11,0,2.20
Air Force (Mountain West),12,8-4,8,19,0,2.38
Oklahoma St. (Big 12),13,9-4,16,38,0,2.38
Duke (ACC),12,7-5,18,54,0,3.00
Liberty (CUSA),13,13-0,7,24,0,3.43
NIU (MAC),12,6-6,8,29,0,3.62
South Carolina (SEC),12,5-7,11,41,0,3.73
San Diego St. (Mountain West),12,4-8,13,50,0,3.85
North Carolina (ACC),12,8-4,8,31,0,3.88
New Mexico St. (CUSA),14,10-4,5,21,0,4.20
Oregon St. (Pac-12),12,8-4,13,56,0,4.31
Wake Forest (ACC),12,4-8,16,71,0,4.44
Cincinnati (Big 12),12,3-9,16,72,0,4.50
Navy (AAC),12,5-7,27,124,0,4.59
Wisconsin (Big Ten),12,7-5,12,56,0,4.67
Oklahoma (Big 12),12,10-2,16,75,1,4.69
Penn St. (Big Ten),12,10-2,18,85,0,4.72
North Texas (AAC),12,5-7,4,19,0,4.75
App State (Sun Belt),13,8-5,13,63,0,4.85
Houston (Big 12),12,4-8,11,55,1,5.00
Minnesota (Big Ten),12,5-7,11,55,0,5.00
Southern California (Pac-12),12,7-5,6,30,0,5.00
Clemson (ACC),12,8-4,18,94,0,5.22
Auburn (SEC),12,6-6,14,74,0,5.29
UCLA (Pac-12),12,7-5,15,81,0,5.40
Florida St. (ACC),13,13-0,11,62,0,5.64
Troy (Sun Belt),13,11-2,11,62,0,5.64
Nevada (Mountain West),12,2-10,19,111,0,5.84
Texas (Big 12),13,12-1,13,76,0,5.85
ULM (Sun Belt),12,2-10,18,106,0,5.89
