Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
North Texas (AAC),12,5-7,5,56,0,11.20
Louisiana Tech (CUSA),12,3-9,6,70,0,11.67
San Jose St. (Mountain West),12,7-5,28,371,1,13.25
Arizona (Pac-12),12,9-3,9,130,0,14.44
Ole Miss (SEC),12,10-2,11,160,0,14.55
Florida (SEC),12,5-7,15,226,0,15.07
Liberty (CUSA),13,13-0,36,547,0,15.19
Rutgers (Big Ten),12,6-6,12,186,0,15.50
Iowa (Big Ten),13,10-3,7,109,0,15.57
Washington (Pac-12),13,13-0,32,504,0,15.75
Toledo (MAC),13,11-2,49,774,0,15.80
Oregon (Pac-12),13,11-2,26,418,0,16.08
NIU (MAC),12,6-6,43,695,0,16.16
Air Force (Mountain West),12,8-4,23,373,0,16.22
Alabama (SEC),13,12-1,25,407,0,16.28
Rice (AAC),12,6-6,16,261,0,16.31
Western Ky. (CUSA),12,7-5,15,245,0,16.33
Georgia (SEC),13,12-1,18,295,0,16.39
Arizona St. (Pac-12),12,3-9,15,246,0,16.40
UTEP (CUSA),12,3-9,21,347,0,16.52
Louisiana (Sun Belt),12,6-6,40,665,0,16.62
Michigan (Big Ten),13,13-0,16,267,0,16.69
Oklahoma St. (Big 12),13,9-4,18,303,0,16.83
Middle Tenn. (CUSA),12,4-8,33,556,0,16.85
Navy (AAC),12,5-7,24,406,0,16.92
Northwestern (Big Ten),12,7-5,39,660,0,16.92
Akron (MAC),12,2-10,30,517,0,17.23
Marshall (Sun Belt),12,6-6,18,312,0,17.33
Eastern Mich. (MAC),12,6-6,35,607,0,17.34
Pittsburgh (ACC),12,3-9,9,158,0,17.56
Ohio (MAC),12,9-3,41,720,0,17.56
UNLV (Mountain West),13,9-4,41,720,0,17.56
Army West Point (FBS Independent),12,6-6,10,176,0,17.60
Oregon St. (Pac-12),12,8-4,21,372,0,17.71
Penn St. (Big Ten),12,10-2,15,266,0,17.73
Boston College (ACC),12,6-6,31,554,0,17.87
Ohio St. (Big Ten),12,11-1,14,251,0,17.93
Oklahoma (Big 12),12,10-2,23,413,0,17.96
Nevada (Mountain West),12,2-10,13,236,0,18.15
East Carolina (AAC),12,2-10,22,400,0,18.18
Nebraska (Big Ten),12,5-7,16,291,0,18.19
Western Mich. (MAC),12,4-8,28,511,0,18.25
Temple (AAC),12,3-9,20,366,0,18.30
New Mexico (Mountain West),12,4-8,29,536,0,18.48
Bowling Green (MAC),12,7-5,43,801,0,18.63
Syracuse (ACC),12,6-6,4,75,0,18.75
South Fla. (AAC),12,6-6,33,619,0,18.76
ULM (Sun Belt),12,2-10,17,319,0,18.76
Iowa St. (Big 12),12,7-5,30,563,0,18.77
Stanford (Pac-12),12,3-9,10,188,0,18.80
Tulane (AAC),13,11-2,24,452,0,18.83
App State (Sun Belt),13,8-5,32,604,1,18.88
Baylor (Big 12),12,3-9,28,529,0,18.89
South Carolina (SEC),12,5-7,11,208,0,18.91
Missouri (SEC),12,10-2,25,476,0,19.04
Illinois (Big Ten),12,5-7,28,536,0,19.14
Miami (OH) (MAC),13,11-2,14,268,0,19.14
Kansas (Big 12),12,8-4,11,211,0,19.18
BYU (Big 12),12,5-7,17,327,0,19.24
South Alabama (Sun Belt),12,6-6,29,558,1,19.24
Kansas St. (Big 12),12,8-4,36,697,0,19.36
Arkansas St. (Sun Belt),12,6-6,33,645,0,19.55
California (Pac-12),12,6-6,42,822,0,19.57
Georgia St. (Sun Belt),12,6-6,21,415,0,19.76
Texas (Big 12),13,12-1,31,614,0,19.81
Ga. Southern (Sun Belt),12,6-6,17,339,1,19.94
New Mexico St. (CUSA),14,10-4,23,459,0,19.96
Cincinnati (Big 12),12,3-9,25,501,0,20.04
SMU (AAC),13,11-2,31,622,0,20.06
LSU (SEC),12,9-3,31,623,0,20.10
Duke (ACC),12,7-5,26,525,1,20.19
Central Mich. (MAC),12,5-7,23,465,0,20.22
Memphis (AAC),12,9-3,42,853,0,20.31
Wisconsin (Big Ten),12,7-5,23,470,0,20.43
UAB (AAC),12,4-8,43,880,0,20.47
Notre Dame (FBS Independent),12,9-3,19,395,0,20.79
Utah St. (Mountain West),12,6-6,23,479,0,20.83
Troy (Sun Belt),13,11-2,25,521,0,20.84
Kent St. (MAC),12,1-11,25,523,1,20.92
Charlotte (AAC),12,3-9,17,356,0,20.94
Texas Tech (Big 12),12,6-6,20,420,1,21.00
Tennessee (SEC),12,8-4,12,254,0,21.17
UTSA (AAC),12,8-4,24,508,0,21.17
Wake Forest (ACC),12,4-8,16,339,0,21.19
Wyoming (Mountain West),12,8-4,18,383,0,21.28
