Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Western Mich. (MAC),12,4-8,2,10,0.200
Tennessee (SEC),12,8-4,5,22,0.227
Oklahoma St. (Big 12),13,9-4,6,25,0.240
Memphis (AAC),12,9-3,9,30,0.300
Florida (SEC),12,5-7,4,13,0.308
Arizona (Pac-12),12,9-3,6,19,0.316
Michigan (Big Ten),13,13-0,9,28,0.321
East Carolina (AAC),12,2-10,6,18,0.333
Wisconsin (Big Ten),12,7-5,7,21,0.333
Troy (Sun Belt),13,11-2,10,29,0.345
Alabama (SEC),13,12-1,9,25,0.360
BYU (Big 12),12,5-7,8,22,0.364
Eastern Mich. (MAC),12,6-6,12,33,0.364
Texas A&M (SEC),12,7-5,6,16,0.375
Boise St. (Mountain West),13,8-5,8,21,0.381
Miami (FL) (ACC),12,7-5,5,13,0.385
Rice (AAC),12,6-6,10,26,0.385
TCU (Big 12),12,5-7,12,31,0.387
UCLA (Pac-12),12,7-5,7,18,0.389
Nebraska (Big Ten),12,5-7,9,23,0.391
Ole Miss (SEC),12,10-2,11,27,0.407
Louisville (ACC),13,10-3,10,24,0.417
App State (Sun Belt),13,8-5,8,19,0.421
Florida St. (ACC),13,13-0,12,28,0.429
Ga. Southern (Sun Belt),12,6-6,6,14,0.429
Liberty (CUSA),13,13-0,15,35,0.429
Notre Dame (FBS Independent),12,9-3,9,21,0.429
Syracuse (ACC),12,6-6,12,28,0.429
Tulane (AAC),13,11-2,15,35,0.429
Washington (Pac-12),13,13-0,15,35,0.429
Army West Point (FBS Independent),12,6-6,11,25,0.440
Duke (ACC),12,7-5,11,25,0.440
Toledo (MAC),13,11-2,11,25,0.440
Marshall (Sun Belt),12,6-6,12,27,0.444
South Alabama (Sun Belt),12,6-6,8,18,0.444
Miami (OH) (MAC),13,11-2,13,29,0.448
Ohio St. (Big Ten),12,11-1,13,29,0.448
Hawaii (Mountain West),13,5-8,9,20,0.450
Clemson (ACC),12,8-4,10,22,0.455
Purdue (Big Ten),12,4-8,5,11,0.455
Utah (Pac-12),12,8-4,10,22,0.455
Kansas St. (Big 12),12,8-4,16,35,0.457
Ohio (MAC),12,9-3,12,26,0.462
Texas (Big 12),13,12-1,12,26,0.462
LSU (SEC),12,9-3,13,28,0.464
Bowling Green (MAC),12,7-5,14,30,0.467
Massachusetts (FBS Independent),12,3-9,7,15,0.467
Texas St. (Sun Belt),12,7-5,15,32,0.469
NC State (ACC),12,9-3,8,17,0.471
Penn St. (Big Ten),12,10-2,8,17,0.471
Utah St. (Mountain West),12,6-6,8,17,0.471
Coastal Carolina (Sun Belt),12,7-5,11,23,0.478
