Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Louisville (ACC),13,10-3,29,8,8,4,20,0.690
Notre Dame (FBS Independent),12,9-3,34,9,5,10,24,0.706
Michigan (Big Ten),13,13-0,21,6,3,6,15,0.714
New Mexico St. (CUSA),14,10-4,56,18,10,12,40,0.714
Texas (Big 12),13,12-1,35,5,11,9,25,0.714
Marshall (Sun Belt),12,6-6,46,9,10,14,33,0.717
Navy (AAC),12,5-7,32,10,10,3,23,0.719
Rice (AAC),12,6-6,44,18,7,7,32,0.727
Rutgers (Big Ten),12,6-6,42,14,11,6,31,0.738
Pittsburgh (ACC),12,3-9,43,16,10,6,32,0.744
Arizona (Pac-12),12,9-3,47,18,8,9,35,0.745
Iowa (Big Ten),13,10-3,28,4,7,10,21,0.750
Duke (ACC),12,7-5,41,12,7,12,31,0.756
Iowa St. (Big 12),12,7-5,37,11,9,8,28,0.757
Ohio (MAC),12,9-3,29,7,6,9,22,0.759
Ohio St. (Big Ten),12,11-1,25,4,7,8,19,0.760
East Carolina (AAC),12,2-10,42,11,9,12,32,0.762
Army West Point (FBS Independent),12,6-6,34,11,5,10,26,0.765
Syracuse (ACC),12,6-6,47,11,10,15,36,0.766
South Alabama (Sun Belt),12,6-6,30,9,5,9,23,0.767
Eastern Mich. (MAC),12,6-6,52,18,9,13,40,0.769
Wake Forest (ACC),12,4-8,39,10,10,10,30,0.769
Toledo (MAC),13,11-2,44,15,7,12,34,0.773
Old Dominion (Sun Belt),12,6-6,49,12,14,12,38,0.776
Colorado (Pac-12),12,4-8,54,21,14,7,42,0.778
Miami (OH) (MAC),13,11-2,36,10,8,10,28,0.778
Auburn (SEC),12,6-6,41,13,8,11,32,0.780
SMU (AAC),13,11-2,32,9,10,6,25,0.781
Wisconsin (Big Ten),12,7-5,32,8,11,6,25,0.781
Georgia St. (Sun Belt),12,6-6,46,13,14,9,36,0.783
Florida St. (ACC),13,13-0,37,11,5,13,29,0.784
North Carolina (ACC),12,8-4,51,17,13,10,40,0.784
Northwestern (Big Ten),12,7-5,43,16,11,7,34,0.791
Utah (Pac-12),12,8-4,29,11,6,6,23,0.793
Oklahoma (Big 12),12,10-2,39,10,11,10,31,0.795
UConn (FBS Independent),12,3-9,44,18,7,10,35,0.795
Baylor (Big 12),12,3-9,45,17,11,8,36,0.800
UCLA (Pac-12),12,7-5,35,2,11,15,28,0.800
UCF (Big 12),12,6-6,51,21,7,13,41,0.804
Coastal Carolina (Sun Belt),12,7-5,46,14,13,10,37,0.804
South Carolina (SEC),12,5-7,46,17,11,9,37,0.804
Kansas St. (Big 12),12,8-4,31,8,5,12,25,0.806
Texas A&M (SEC),12,7-5,31,6,10,9,25,0.806
Louisiana (Sun Belt),12,6-6,52,19,14,9,42,0.808
Hawaii (Mountain West),13,5-8,47,16,11,11,38,0.809
Liberty (CUSA),13,13-0,42,10,17,7,34,0.810
Western Ky. (CUSA),12,7-5,42,16,10,8,34,0.810
Boise St. (Mountain West),13,8-5,43,20,8,7,35,0.814
Arizona St. (Pac-12),12,3-9,54,12,17,15,44,0.815
Clemson (ACC),12,8-4,27,10,5,7,22,0.815
Stanford (Pac-12),12,3-9,54,22,19,3,44,0.815
Alabama (SEC),13,12-1,38,13,7,11,31,0.816
Nebraska (Big Ten),12,5-7,38,8,8,15,31,0.816
Troy (Sun Belt),13,11-2,38,11,9,11,31,0.816
Houston (Big 12),12,4-8,49,25,9,6,40,0.816
Bowling Green (MAC),12,7-5,33,12,9,6,27,0.818
FIU (CUSA),12,4-8,44,11,12,13,36,0.818
App State (Sun Belt),13,8-5,50,21,9,11,41,0.820
Ball St. (MAC),12,4-8,39,11,10,11,32,0.821
Missouri (SEC),12,10-2,39,6,15,11,32,0.821
Michigan St. (Big Ten),12,4-8,51,13,19,10,42,0.824
Utah St. (Mountain West),12,6-6,57,22,15,10,47,0.825
BYU (Big 12),12,5-7,46,15,11,12,38,0.826
Memphis (AAC),12,9-3,46,16,13,9,38,0.826
Maryland (Big Ten),12,7-5,47,13,13,13,39,0.830
NC State (ACC),12,9-3,30,7,11,7,25,0.833
Texas Tech (Big 12),12,6-6,48,15,10,15,40,0.833
Fla. Atlantic (AAC),12,4-8,43,12,15,9,36,0.837
Oregon St. (Pac-12),12,8-4,37,12,12,7,31,0.838
Nevada (Mountain West),12,2-10,44,16,11,10,37,0.841
South Fla. (AAC),12,6-6,44,19,14,4,37,0.841
Washington (Pac-12),13,13-0,44,18,13,6,37,0.841
Ole Miss (SEC),12,10-2,38,16,8,8,32,0.842
West Virginia (Big 12),12,8-4,38,12,12,8,32,0.842
Wyoming (Mountain West),12,8-4,45,10,15,13,38,0.844
Air Force (Mountain West),12,8-4,26,8,11,3,22,0.846
Arkansas St. (Sun Belt),12,6-6,52,18,14,12,44,0.846
Massachusetts (FBS Independent),12,3-9,46,19,11,9,39,0.848
Middle Tenn. (CUSA),12,4-8,46,19,11,9,39,0.848
UNLV (Mountain West),13,9-4,46,17,9,13,39,0.848
Oklahoma St. (Big 12),13,9-4,33,14,9,5,28,0.848
Illinois (Big Ten),12,5-7,53,17,17,11,45,0.849
Temple (AAC),12,3-9,53,20,15,10,45,0.849
Texas St. (Sun Belt),12,7-5,53,20,17,8,45,0.849
Oregon (Pac-12),13,11-2,40,10,12,12,34,0.850
UTSA (AAC),12,8-4,40,10,12,12,34,0.850
Charlotte (AAC),12,3-9,47,15,9,16,40,0.851
UAB (AAC),12,4-8,61,25,16,11,52,0.852
Virginia (ACC),12,3-9,41,18,9,8,35,0.854
Tulsa (AAC),12,4-8,48,18,13,10,41,0.854
ULM (Sun Belt),12,2-10,55,18,16,13,47,0.855
Ga. Southern (Sun Belt),12,6-6,51,23,13,8,44,0.863
Miami (FL) (ACC),12,7-5,44,12,11,15,38,0.864
Fresno St. (Mountain West),12,8-4,37,10,12,10,32,0.865
Purdue (Big Ten),12,4-8,45,16,12,11,39,0.867
TCU (Big 12),12,5-7,45,18,8,13,39,0.867
Cincinnati (Big 12),12,3-9,46,16,14,10,40,0.870
Western Mich. (MAC),12,4-8,54,21,13,13,47,0.870
Tulane (AAC),13,11-2,39,10,12,12,34,0.872
Southern Miss. (Sun Belt),12,3-9,47,20,13,8,41,0.872
California (Pac-12),12,6-6,56,21,19,9,49,0.875
Florida (SEC),12,5-7,40,13,10,12,35,0.875
Kent St. (MAC),12,1-11,48,27,10,5,42,0.875
North Texas (AAC),12,5-7,48,25,10,7,42,0.875
Tennessee (SEC),12,8-4,40,11,12,12,35,0.875
NIU (MAC),12,6-6,41,19,6,11,36,0.878
Indiana (Big Ten),12,3-9,45,14,14,12,40,0.889
