Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Utah (Pac-12),12,8-4,408:33,34:03
Liberty (CUSA),13,13-0,438:15,33:43
Ohio (MAC),12,9-3,401:01,33:25
Georgia (SEC),13,12-1,433:07,33:19
West Virginia (Big 12),12,8-4,399:36,33:18
Southern Miss. (Sun Belt),12,3-9,398:19,33:12
Clemson (ACC),12,8-4,398:13,33:11
Florida (SEC),12,5-7,397:13,33:06
Penn St. (Big Ten),12,10-2,396:28,33:02
Air Force (Mountain West),12,8-4,396:08,33:01
Michigan (Big Ten),13,13-0,426:36,32:49
NC State (ACC),12,9-3,392:41,32:43
San Diego St. (Mountain West),12,4-8,391:57,32:40
New Mexico (Mountain West),12,4-8,390:28,32:32
Army West Point (FBS Independent),12,6-6,388:19,32:22
Charlotte (AAC),12,3-9,387:42,32:19
Rice (AAC),12,6-6,387:39,32:18
Miami (FL) (ACC),12,7-5,385:53,32:09
Cincinnati (Big 12),12,3-9,383:37,31:58
Kansas St. (Big 12),12,8-4,383:20,31:57
Louisville (ACC),13,10-3,414:26,31:53
Ball St. (MAC),12,4-8,382:12,31:51
Texas (Big 12),13,12-1,413:24,31:48
Minnesota (Big Ten),12,5-7,381:00,31:45
Texas A&M (SEC),12,7-5,380:40,31:43
Baylor (Big 12),12,3-9,380:24,31:42
Tulane (AAC),13,11-2,411:56,31:41
Oregon St. (Pac-12),12,8-4,379:12,31:36
Rutgers (Big Ten),12,6-6,378:45,31:34
Ga. Southern (Sun Belt),12,6-6,378:04,31:30
UTEP (CUSA),12,3-9,377:06,31:26
Virginia (ACC),12,3-9,376:55,31:25
New Mexico St. (CUSA),14,10-4,439:41,31:24
Coastal Carolina (Sun Belt),12,7-5,376:30,31:22
Stanford (Pac-12),12,3-9,375:26,31:17
UConn (FBS Independent),12,3-9,375:10,31:16
Boise St. (Mountain West),13,8-5,405:49,31:13
Boston College (ACC),12,6-6,374:23,31:12
San Jose St. (Mountain West),12,7-5,373:42,31:09
Troy (Sun Belt),13,11-2,403:46,31:04
Virginia Tech (ACC),12,6-6,372:04,31:00
Navy (AAC),12,5-7,370:58,30:55
Nebraska (Big Ten),12,5-7,370:45,30:54
Memphis (AAC),12,9-3,370:25,30:52
NIU (MAC),12,6-6,369:58,30:50
App State (Sun Belt),13,8-5,400:45,30:50
Bowling Green (MAC),12,7-5,369:08,30:46
Arkansas (SEC),12,4-8,368:48,30:44
Oregon (Pac-12),13,11-2,399:20,30:43
Alabama (SEC),13,12-1,397:56,30:37
