Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
UCLA (Pac-12),12,7-5,359,835,2.33,3,69.6
Penn St. (Big Ten),12,10-2,387,836,2.16,9,69.7
Texas (Big 12),13,12-1,366,1051,2.87,7,80.8
Utah (Pac-12),12,8-4,314,1011,3.22,13,84.2
Michigan (Big Ten),13,13-0,387,1126,2.91,7,86.6
Nebraska (Big Ten),12,5-7,376,1115,2.97,9,92.9
Tulane (AAC),13,11-2,395,1216,3.08,11,93.5
Ohio (MAC),12,9-3,345,1152,3.34,8,96.0
Air Force (Mountain West),12,8-4,369,1155,3.13,11,96.2
Miami (FL) (ACC),12,7-5,367,1165,3.17,15,97.1
Oregon (Pac-12),13,11-2,373,1268,3.40,10,97.5
Louisville (ACC),13,10-3,400,1325,3.31,13,101.9
Iowa (Big Ten),13,10-3,444,1333,3.00,4,102.5
Troy (Sun Belt),13,11-2,434,1346,3.10,12,103.5
Oregon St. (Pac-12),12,8-4,365,1249,3.42,12,104.1
NC State (ACC),12,9-3,339,1257,3.71,11,104.8
Texas A&M (SEC),12,7-5,392,1280,3.27,7,106.7
SMU (AAC),13,11-2,458,1445,3.16,11,111.2
Arizona (Pac-12),12,9-3,388,1336,3.44,18,111.3
Ball St. (MAC),12,4-8,375,1339,3.57,15,111.6
Liberty (CUSA),13,13-0,375,1451,3.87,12,111.6
Ohio St. (Big Ten),12,11-1,399,1350,3.38,5,112.5
Tennessee (SEC),12,8-4,427,1365,3.20,13,113.8
Kentucky (SEC),12,7-5,411,1367,3.33,15,113.9
Clemson (ACC),12,8-4,373,1398,3.75,15,116.5
South Alabama (Sun Belt),12,6-6,428,1401,3.27,10,116.8
Georgia (SEC),13,12-1,396,1528,3.86,13,117.5
East Carolina (AAC),12,2-10,436,1466,3.36,13,122.2
Boise St. (Mountain West),13,8-5,415,1607,3.87,21,123.6
Alabama (SEC),13,12-1,438,1619,3.70,14,124.5
Missouri (SEC),12,10-2,388,1500,3.87,8,125.0
Notre Dame (FBS Independent),12,9-3,421,1545,3.67,14,128.8
Miami (OH) (MAC),13,11-2,468,1674,3.58,11,128.8
Navy (AAC),12,5-7,423,1546,3.65,12,128.8
Maryland (Big Ten),12,7-5,445,1555,3.49,13,129.6
Iowa St. (Big 12),12,7-5,424,1579,3.72,11,131.6
Arizona St. (Pac-12),12,3-9,381,1602,4.20,16,133.5
Washington (Pac-12),13,13-0,408,1739,4.26,18,133.8
California (Pac-12),12,6-6,419,1609,3.84,22,134.1
Florida St. (ACC),13,13-0,462,1759,3.81,12,135.3
Bowling Green (MAC),12,7-5,425,1646,3.87,14,137.2
UTSA (AAC),12,8-4,440,1652,3.75,14,137.7
Rutgers (Big Ten),12,6-6,412,1653,4.01,14,137.8
Wisconsin (Big Ten),12,7-5,432,1659,3.84,11,138.2
Kansas St. (Big 12),12,8-4,370,1682,4.55,13,140.2
Purdue (Big Ten),12,4-8,431,1687,3.91,22,140.6
West Virginia (Big 12),12,8-4,398,1732,4.35,15,144.3
Wyoming (Mountain West),12,8-4,434,1735,4.00,11,144.6
Georgia St. (Sun Belt),12,6-6,410,1738,4.24,17,144.8
New Mexico St. (CUSA),14,10-4,462,2036,4.41,21,145.4
Mississippi St. (SEC),12,5-7,449,1751,3.90,14,145.9
Middle Tenn. (CUSA),12,4-8,436,1753,4.02,20,146.1
Duke (ACC),12,7-5,447,1756,3.93,14,146.3
Syracuse (ACC),12,6-6,456,1765,3.87,15,147.1
Toledo (MAC),13,11-2,485,1913,3.94,17,147.2
Old Dominion (Sun Belt),12,6-6,494,1769,3.58,13,147.4
UConn (FBS Independent),12,3-9,420,1772,4.22,22,147.7
Akron (MAC),12,2-10,443,1773,4.00,23,147.8
Oklahoma (Big 12),12,10-2,435,1773,4.08,13,147.8
Illinois (Big Ten),12,5-7,459,1790,3.90,19,149.2
Fla. Atlantic (AAC),12,4-8,477,1791,3.75,12,149.2
Virginia Tech (ACC),12,6-6,426,1791,4.20,20,149.2
South Carolina (SEC),12,5-7,462,1793,3.88,19,149.4
Pittsburgh (ACC),12,3-9,493,1802,3.66,20,150.2
Washington St. (Pac-12),12,5-7,425,1810,4.26,26,150.8
Michigan St. (Big Ten),12,4-8,440,1812,4.12,14,151.0
Ole Miss (SEC),12,10-2,468,1823,3.90,19,151.9
NIU (MAC),12,6-6,433,1828,4.22,20,152.3
Rice (AAC),12,6-6,442,1842,4.17,19,153.5
South Fla. (AAC),12,6-6,419,1848,4.41,26,154.0
Wake Forest (ACC),12,4-8,440,1852,4.21,13,154.3
Arkansas (SEC),12,4-8,437,1853,4.24,13,154.4
Minnesota (Big Ten),12,5-7,393,1856,4.72,17,154.7
TCU (Big 12),12,5-7,467,1856,3.97,21,154.7
Ga. Southern (Sun Belt),12,6-6,408,1866,4.57,26,155.5
Florida (SEC),12,5-7,386,1867,4.84,21,155.6
Indiana (Big Ten),12,3-9,448,1875,4.19,18,156.2
Texas St. (Sun Belt),12,7-5,458,1882,4.11,24,156.8
Marshall (Sun Belt),12,6-6,426,1887,4.43,17,157.2
Western Mich. (MAC),12,4-8,412,1905,4.62,22,158.8
Auburn (SEC),12,6-6,431,1913,4.44,14,159.4
Northwestern (Big Ten),12,7-5,453,1914,4.23,19,159.5
Central Mich. (MAC),12,5-7,411,1918,4.67,24,159.8
Louisiana (Sun Belt),12,6-6,501,1931,3.85,21,160.9
Charlotte (AAC),12,3-9,429,1938,4.52,19,161.5
North Carolina (ACC),12,8-4,474,1957,4.13,20,163.1
UNLV (Mountain West),13,9-4,492,2123,4.32,22,163.3
Stanford (Pac-12),12,3-9,420,1964,4.68,29,163.7
LSU (SEC),12,9-3,428,1965,4.59,23,163.8
Tulsa (AAC),12,4-8,423,1978,4.68,24,164.8
San Diego St. (Mountain West),12,4-8,402,1989,4.95,21,165.8
Colorado St. (Mountain West),12,5-7,485,1995,4.11,18,166.2
Kansas (Big 12),12,8-4,448,2005,4.48,24,167.1
Texas Tech (Big 12),12,6-6,448,2012,4.49,18,167.7
Fresno St. (Mountain West),12,8-4,464,2018,4.35,15,168.2
Memphis (AAC),12,9-3,426,2018,4.74,21,168.2
Coastal Carolina (Sun Belt),12,7-5,437,2022,4.63,14,168.5
Houston (Big 12),12,4-8,467,2023,4.33,27,168.6
ULM (Sun Belt),12,2-10,490,2051,4.19,21,170.9
Hawaii (Mountain West),13,5-8,481,2222,4.62,26,170.9
New Mexico (Mountain West),12,4-8,408,2066,5.06,25,172.2
San Jose St. (Mountain West),12,7-5,446,2075,4.65,23,172.9
Oklahoma St. (Big 12),13,9-4,487,2262,4.64,21,174.0
Vanderbilt (SEC),12,2-10,413,2104,5.09,23,175.3
Kent St. (MAC),12,1-11,460,2113,4.59,31,176.1
Army West Point (FBS Independent),12,6-6,433,2115,4.88,15,176.2
Colorado (Pac-12),12,4-8,451,2117,4.69,24,176.4
Cincinnati (Big 12),12,3-9,397,2123,5.35,24,176.9
BYU (Big 12),12,5-7,439,2132,4.86,18,177.7
Eastern Mich. (MAC),12,6-6,476,2132,4.48,20,177.7
App State (Sun Belt),13,8-5,460,2315,5.03,27,178.1
Southern Miss. (Sun Belt),12,3-9,424,2145,5.06,28,178.8
Buffalo (MAC),12,3-9,433,2159,4.99,19,179.9
Southern California (Pac-12),12,7-5,461,2204,4.78,21,183.7
Arkansas St. (Sun Belt),12,6-6,463,2206,4.76,21,183.8
Virginia (ACC),12,3-9,434,2214,5.10,27,184.5
Baylor (Big 12),12,3-9,440,2219,5.04,27,184.9
UCF (Big 12),12,6-6,463,2242,4.84,24,186.8
Nevada (Mountain West),12,2-10,423,2253,5.33,23,187.8
Western Ky. (CUSA),12,7-5,478,2274,4.76,21,189.5
FIU (CUSA),12,4-8,487,2290,4.70,17,190.8
Boston College (ACC),12,6-6,431,2325,5.39,29,193.8
UAB (AAC),12,4-8,457,2365,5.18,31,197.1
Temple (AAC),12,3-9,513,2380,4.64,25,198.3
Utah St. (Mountain West),12,6-6,499,2389,4.79,28,199.1
UTEP (CUSA),12,3-9,452,2426,5.37,28,202.2
Massachusetts (FBS Independent),12,3-9,468,2650,5.66,30,220.8
Georgia Tech (ACC),12,6-6,501,2708,5.41,28,225.7
