Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Penn St. (Big Ten),12,10-2,55,79,17,151
Michigan (Big Ten),13,13-0,67,88,10,165
Ohio (MAC),12,9-3,62,87,21,170
Clemson (ACC),12,8-4,70,84,19,173
Air Force (Mountain West),12,8-4,71,91,13,175
Utah (Pac-12),12,8-4,52,114,15,181
Ohio St. (Big Ten),12,11-1,75,90,19,184
Texas A&M (SEC),12,7-5,66,102,17,185
Notre Dame (FBS Independent),12,9-3,81,89,27,197
NC State (ACC),12,9-3,65,116,18,199
Nebraska (Big Ten),12,5-7,66,117,16,199
South Alabama (Sun Belt),12,6-6,75,101,24,200
Louisville (ACC),13,10-3,77,106,20,203
Iowa (Big Ten),13,10-3,80,111,14,205
Virginia Tech (ACC),12,6-6,91,93,21,205
Miami (FL) (ACC),12,7-5,71,112,23,206
Auburn (SEC),12,6-6,100,98,10,208
Kansas St. (Big 12),12,8-4,73,119,16,208
UCLA (Pac-12),12,7-5,60,125,23,208
East Carolina (AAC),12,2-10,74,113,25,212
Florida (SEC),12,5-7,84,110,18,212
Alabama (SEC),13,12-1,90,103,20,213
Florida St. (ACC),13,13-0,93,92,28,213
Georgia (SEC),13,12-1,90,107,16,213
SMU (AAC),13,11-2,78,114,21,213
Akron (MAC),12,2-10,94,95,26,215
Buffalo (MAC),12,3-9,99,103,13,215
NIU (MAC),12,6-6,105,92,18,215
Navy (AAC),12,5-7,84,114,17,215
Wisconsin (Big Ten),12,7-5,89,110,16,215
Ball St. (MAC),12,4-8,78,114,24,216
Rutgers (Big Ten),12,6-6,109,89,19,217
Mississippi St. (SEC),12,5-7,98,103,19,220
Army West Point (FBS Independent),12,6-6,102,103,16,221
Marshall (Sun Belt),12,6-6,85,113,23,221
Missouri (SEC),12,10-2,85,114,23,222
Minnesota (Big Ten),12,5-7,93,115,15,223
Texas (Big 12),13,12-1,66,139,18,223
Wake Forest (ACC),12,4-8,91,119,14,224
Boston College (ACC),12,6-6,98,106,21,225
Arkansas (SEC),12,4-8,100,103,23,226
Northwestern (Big Ten),12,7-5,109,104,13,226
Bowling Green (MAC),12,7-5,107,102,18,227
Troy (Sun Belt),13,11-2,90,120,18,228
Charlotte (AAC),12,3-9,100,103,26,229
UTEP (CUSA),12,3-9,115,91,24,230
Arizona (Pac-12),12,9-3,80,124,28,232
Miami (OH) (MAC),13,11-2,97,113,23,233
San Jose St. (Mountain West),12,7-5,115,108,10,233
Tennessee (SEC),12,8-4,78,122,33,233
UTSA (AAC),12,8-4,91,125,17,233
Oregon St. (Pac-12),12,8-4,89,123,24,236
Rice (AAC),12,6-6,89,123,24,236
Kent St. (MAC),12,1-11,105,109,23,237
Southern Miss. (Sun Belt),12,3-9,101,123,13,237
Cincinnati (Big 12),12,3-9,109,106,23,238
Iowa St. (Big 12),12,7-5,93,120,25,238
Oregon (Pac-12),13,11-2,77,133,28,238
Toledo (MAC),13,11-2,106,106,26,238
West Virginia (Big 12),12,8-4,99,127,12,238
Purdue (Big Ten),12,4-8,86,125,28,239
Pittsburgh (ACC),12,3-9,101,109,30,240
Baylor (Big 12),12,3-9,104,129,8,241
Boise St. (Mountain West),13,8-5,86,140,15,241
Kentucky (SEC),12,7-5,88,135,18,241
Washington St. (Pac-12),12,5-7,96,122,23,241
Central Mich. (MAC),12,5-7,101,120,21,242
Memphis (AAC),12,9-3,97,125,20,242
Coastal Carolina (Sun Belt),12,7-5,113,110,20,243
Oklahoma (Big 12),12,10-2,91,129,23,243
Tulane (AAC),13,11-2,78,145,20,243
Ga. Southern (Sun Belt),12,6-6,99,129,16,244
Kansas (Big 12),12,8-4,104,122,18,244
Ole Miss (SEC),12,10-2,100,122,22,244
Western Mich. (MAC),12,4-8,102,116,26,244
Wyoming (Mountain West),12,8-4,99,132,13,244
Duke (ACC),12,7-5,106,126,13,245
California (Pac-12),12,6-6,89,146,12,247
Maryland (Big Ten),12,7-5,107,115,26,248
Louisiana Tech (CUSA),12,3-9,133,87,29,249
New Mexico (Mountain West),12,4-8,105,110,34,249
Arizona St. (Pac-12),12,3-9,91,140,19,250
Indiana (Big Ten),12,3-9,108,123,21,252
LSU (SEC),12,9-3,109,130,13,252
Louisiana (Sun Belt),12,6-6,125,108,19,252
San Diego St. (Mountain West),12,4-8,113,121,18,252
Nevada (Mountain West),12,2-10,108,124,21,253
TCU (Big 12),12,5-7,102,124,27,253
Texas Tech (Big 12),12,6-6,105,127,21,253
Tulsa (AAC),12,4-8,96,142,15,253
