Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Michigan (Big Ten),13,13-0,38,342,26.31
Air Force (Mountain West),12,8-4,39,322,26.83
Minnesota (Big Ten),12,5-7,36,344,28.67
Baylor (Big 12),12,3-9,49,347,28.92
Iowa (Big Ten),13,10-3,46,392,30.15
Boise St. (Mountain West),13,8-5,48,423,32.54
Fla. Atlantic (AAC),12,4-8,41,400,33.33
Wyoming (Mountain West),12,8-4,49,428,35.67
Army West Point (FBS Independent),12,6-6,48,440,36.67
Temple (AAC),12,3-9,54,440,36.67
Western Ky. (CUSA),12,7-5,54,453,37.75
Fresno St. (Mountain West),12,8-4,51,457,38.08
Wake Forest (ACC),12,4-8,49,466,38.83
SMU (AAC),13,11-2,58,514,39.54
Oklahoma St. (Big 12),13,9-4,65,531,40.85
NIU (MAC),12,6-6,55,492,41.00
Miami (OH) (MAC),13,11-2,64,537,41.31
Buffalo (MAC),12,3-9,58,499,41.58
Georgia (SEC),13,12-1,57,551,42.38
Vanderbilt (SEC),12,2-10,59,510,42.50
Utah (Pac-12),12,8-4,62,511,42.58
Kansas St. (Big 12),12,8-4,57,513,42.75
Nebraska (Big Ten),12,5-7,61,513,42.75
Penn St. (Big Ten),12,10-2,59,513,42.75
App State (Sun Belt),13,8-5,60,557,42.85
BYU (Big 12),12,5-7,64,516,43.00
Clemson (ACC),12,8-4,58,518,43.17
Tulsa (AAC),12,4-8,61,519,43.25
Ohio St. (Big Ten),12,11-1,66,522,43.50
Kansas (Big 12),12,8-4,55,524,43.67
Northwestern (Big Ten),12,7-5,65,524,43.67
California (Pac-12),12,6-6,65,528,44.00
San Diego St. (Mountain West),12,4-8,59,528,44.00
Rutgers (Big Ten),12,6-6,60,529,44.08
West Virginia (Big 12),12,8-4,58,532,44.33
Auburn (SEC),12,6-6,67,534,44.50
Memphis (AAC),12,9-3,53,536,44.67
Ball St. (MAC),12,4-8,62,542,45.17
Tulane (AAC),13,11-2,65,589,45.31
Duke (ACC),12,7-5,67,545,45.42
Georgia Tech (ACC),12,6-6,62,547,45.58
Iowa St. (Big 12),12,7-5,60,550,45.83
Troy (Sun Belt),13,11-2,68,597,45.92
Navy (AAC),12,5-7,68,552,46.00
San Jose St. (Mountain West),12,7-5,66,553,46.08
Kent St. (MAC),12,1-11,65,554,46.17
North Texas (AAC),12,5-7,57,559,46.58
Texas A&M (SEC),12,7-5,75,571,47.58
Wisconsin (Big Ten),12,7-5,66,575,47.92
Southern Miss. (Sun Belt),12,3-9,75,578,48.17
Rice (AAC),12,6-6,67,580,48.33
NC State (ACC),12,9-3,72,585,48.75
Louisville (ACC),13,10-3,74,637,49.00
Houston (Big 12),12,4-8,68,590,49.17
Alabama (SEC),13,12-1,75,640,49.23
Florida (SEC),12,5-7,79,595,49.58
Washington St. (Pac-12),12,5-7,73,596,49.67
UCF (Big 12),12,6-6,72,597,49.75
Ga. Southern (Sun Belt),12,6-6,70,603,50.25
UTSA (AAC),12,8-4,68,606,50.50
FIU (CUSA),12,4-8,70,607,50.58
Indiana (Big Ten),12,3-9,65,607,50.58
Notre Dame (FBS Independent),12,9-3,66,608,50.67
Louisiana (Sun Belt),12,6-6,75,610,50.83
Ohio (MAC),12,9-3,67,613,51.08
Texas (Big 12),13,12-1,82,665,51.15
Kentucky (SEC),12,7-5,75,616,51.33
Arizona St. (Pac-12),12,3-9,68,617,51.42
Coastal Carolina (Sun Belt),12,7-5,63,623,51.92
LSU (SEC),12,9-3,74,627,52.25
Cincinnati (Big 12),12,3-9,68,631,52.58
Oregon St. (Pac-12),12,8-4,70,631,52.58
Texas Tech (Big 12),12,6-6,67,634,52.83
Georgia St. (Sun Belt),12,6-6,72,641,53.42
TCU (Big 12),12,5-7,74,643,53.58
ULM (Sun Belt),12,2-10,71,643,53.58
Arizona (Pac-12),12,9-3,78,649,54.08
Maryland (Big Ten),12,7-5,65,655,54.58
East Carolina (AAC),12,2-10,70,658,54.83
UConn (FBS Independent),12,3-9,74,660,55.00
Virginia (ACC),12,3-9,78,663,55.25
Arkansas (SEC),12,4-8,76,665,55.42
South Carolina (SEC),12,5-7,86,666,55.50
UCLA (Pac-12),12,7-5,80,666,55.50
Missouri (SEC),12,10-2,86,669,55.75
Middle Tenn. (CUSA),12,4-8,81,675,56.25
UAB (AAC),12,4-8,80,675,56.25
Purdue (Big Ten),12,4-8,72,676,56.33
Hawaii (Mountain West),13,5-8,80,733,56.38
Boston College (ACC),12,6-6,79,677,56.42
Mississippi St. (SEC),12,5-7,75,682,56.83
Oklahoma (Big 12),12,10-2,80,684,57.00
Florida St. (ACC),13,13-0,82,748,57.54
Central Mich. (MAC),12,5-7,80,697,58.08
Marshall (Sun Belt),12,6-6,76,697,58.08
Nevada (Mountain West),12,2-10,81,702,58.50
South Alabama (Sun Belt),12,6-6,81,702,58.50
Miami (FL) (ACC),12,7-5,74,706,58.83
UNLV (Mountain West),13,9-4,87,766,58.92
Stanford (Pac-12),12,3-9,77,709,59.08
Old Dominion (Sun Belt),12,6-6,74,710,59.17
Charlotte (AAC),12,3-9,85,712,59.33
Virginia Tech (ACC),12,6-6,77,717,59.75
Akron (MAC),12,2-10,83,721,60.08
UTEP (CUSA),12,3-9,84,721,60.08
Michigan St. (Big Ten),12,4-8,84,728,60.67
Ole Miss (SEC),12,10-2,89,742,61.83
Arkansas St. (Sun Belt),12,6-6,74,744,62.00
Eastern Mich. (MAC),12,6-6,77,745,62.08
Toledo (MAC),13,11-2,88,810,62.31
Louisiana Tech (CUSA),12,3-9,82,748,62.33
Illinois (Big Ten),12,5-7,79,749,62.42
New Mexico St. (CUSA),14,10-4,90,876,62.57
Syracuse (ACC),12,6-6,88,751,62.58
Western Mich. (MAC),12,4-8,86,752,62.67
Bowling Green (MAC),12,7-5,85,761,63.42
Liberty (CUSA),13,13-0,82,826,63.54
Oregon (Pac-12),13,11-2,91,828,63.69
South Fla. (AAC),12,6-6,88,768,64.00
Texas St. (Sun Belt),12,7-5,84,771,64.25
Pittsburgh (ACC),12,3-9,94,773,64.42
North Carolina (ACC),12,8-4,85,802,66.83
Colorado St. (Mountain West),12,5-7,92,838,69.83
Massachusetts (FBS Independent),12,3-9,96,851,70.92
Tennessee (SEC),12,8-4,98,853,71.08
Colorado (Pac-12),12,4-8,107,854,71.17
Southern California (Pac-12),12,7-5,95,857,71.42
Washington (Pac-12),13,13-0,102,960,73.85
Utah St. (Mountain West),12,6-6,93,891,74.25
New Mexico (Mountain West),12,4-8,119,1076,89.67
Sam Houston (CUSA),12,3-9,61,506,42.17
James Madison (Sun Belt),12,11-1,69,511,42.58
Jacksonville St. (CUSA),12,8-4,61,544,45.33
