Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Texas St. (Sun Belt),12,7-5,79,46,445,102,8.5
Penn St. (Big Ten),12,10-2,79,44,451,101,8.4
UCLA (Pac-12),12,7-5,83,32,400,99,8.2
Texas A&M (SEC),12,7-5,72,48,368,96,8.0
Tennessee (SEC),12,8-4,75,36,369,93,7.8
Troy (Sun Belt),13,11-2,67,62,448,98,7.5
UTSA (AAC),12,8-4,72,36,387,90,7.5
Clemson (ACC),12,8-4,74,30,329,89,7.4
Florida St. (ACC),13,13-0,74,44,441,96,7.4
Oklahoma (Big 12),12,10-2,60,56,267,88,7.3
South Fla. (AAC),12,6-6,64,48,305,88,7.3
Virginia Tech (ACC),12,6-6,63,50,358,88,7.3
SMU (AAC),13,11-2,77,36,376,95,7.3
Fla. Atlantic (AAC),12,4-8,69,36,304,87,7.2
Ohio (MAC),12,9-3,57,60,314,87,7.2
Colorado St. (Mountain West),12,5-7,61,50,344,86,7.2
East Carolina (AAC),12,2-10,56,56,287,84,7.0
Ga. Southern (Sun Belt),12,6-6,58,50,294,83,6.9
Miami (FL) (ACC),12,7-5,66,34,352,83,6.9
Pittsburgh (ACC),12,3-9,69,28,354,83,6.9
Marshall (Sun Belt),12,6-6,57,48,318,81,6.8
Southern California (Pac-12),12,7-5,68,26,351,81,6.8
Arkansas St. (Sun Belt),12,6-6,56,48,266,80,6.7
Missouri (SEC),12,10-2,61,34,369,78,6.5
Ole Miss (SEC),12,10-2,60,34,355,77,6.4
Louisville (ACC),13,10-3,59,48,352,83,6.4
Duke (ACC),12,7-5,49,54,284,76,6.3
Nebraska (Big Ten),12,5-7,47,58,326,76,6.3
South Alabama (Sun Belt),12,6-6,53,46,252,76,6.3
Alabama (SEC),13,12-1,58,48,365,82,6.3
App State (Sun Belt),13,8-5,60,44,348,82,6.3
Texas (Big 12),13,12-1,67,30,325,82,6.3
Tulane (AAC),13,11-2,72,20,346,82,6.3
Arkansas (SEC),12,4-8,55,40,305,75,6.2
Wisconsin (Big Ten),12,7-5,60,30,303,75,6.2
Boise St. (Mountain West),13,8-5,64,34,316,81,6.2
Oklahoma St. (Big 12),13,9-4,63,34,264,80,6.2
Georgia St. (Sun Belt),12,6-6,49,48,274,73,6.1
Kansas St. (Big 12),12,8-4,62,22,287,73,6.1
Kentucky (SEC),12,7-5,61,24,316,73,6.1
Syracuse (ACC),12,6-6,53,40,278,73,6.1
ULM (Sun Belt),12,2-10,53,40,261,73,6.1
West Virginia (Big 12),12,8-4,49,48,275,73,6.1
Akron (MAC),12,2-10,49,46,282,72,6.0
FIU (CUSA),12,4-8,57,30,227,72,6.0
Indiana (Big Ten),12,3-9,60,24,266,72,6.0
Old Dominion (Sun Belt),12,6-6,42,60,304,72,6.0
Oregon St. (Pac-12),12,8-4,58,28,361,72,6.0
Auburn (SEC),12,6-6,59,24,279,71,5.9
Buffalo (MAC),12,3-9,54,34,233,71,5.9
NC State (ACC),12,9-3,46,50,331,71,5.9
Purdue (Big Ten),12,4-8,58,26,340,71,5.9
Utah St. (Mountain West),12,6-6,51,40,230,71,5.9
Liberty (CUSA),13,13-0,53,46,253,76,5.8
Kansas (Big 12),12,8-4,58,24,271,70,5.8
Middle Tenn. (CUSA),12,4-8,56,28,262,70,5.8
North Carolina (ACC),12,8-4,56,28,306,70,5.8
UConn (FBS Independent),12,3-9,59,22,244,70,5.8
Wake Forest (ACC),12,4-8,51,38,238,70,5.8
Arizona (Pac-12),12,9-3,57,24,335,69,5.8
Ball St. (MAC),12,4-8,52,34,263,69,5.8
Utah (Pac-12),12,8-4,55,28,352,69,5.8
Cincinnati (Big 12),12,3-9,51,34,230,68,5.7
Michigan (Big Ten),13,13-0,56,34,338,73,5.6
Michigan St. (Big Ten),12,4-8,50,34,277,67,5.6
Mississippi St. (SEC),12,5-7,47,40,290,67,5.6
Notre Dame (FBS Independent),12,9-3,56,22,325,67,5.6
Temple (AAC),12,3-9,52,30,233,67,5.6
Toledo (MAC),13,11-2,43,58,310,72,5.5
Houston (Big 12),12,4-8,55,22,253,66,5.5
LSU (SEC),12,9-3,47,38,260,66,5.5
Louisiana Tech (CUSA),12,3-9,41,50,224,66,5.5
Memphis (AAC),12,9-3,53,26,248,66,5.5
TCU (Big 12),12,5-7,56,20,254,66,5.5
Vanderbilt (SEC),12,2-10,51,30,250,66,5.5
Miami (OH) (MAC),13,11-2,56,30,321,71,5.5
Arizona St. (Pac-12),12,3-9,46,38,316,65,5.4
Colorado (Pac-12),12,4-8,52,26,230,65,5.4
Fresno St. (Mountain West),12,8-4,48,34,209,65,5.4
UCF (Big 12),12,6-6,53,24,303,65,5.4
Bowling Green (MAC),12,7-5,49,30,354,64,5.3
Navy (AAC),12,5-7,50,28,242,64,5.3
Ohio St. (Big Ten),12,11-1,47,34,237,64,5.3
San Jose St. (Mountain West),12,7-5,47,34,246,64,5.3
Tulsa (AAC),12,4-8,37,54,217,64,5.3
Iowa (Big Ten),13,10-3,57,24,247,69,5.3
UNLV (Mountain West),13,9-4,51,36,305,69,5.3
Iowa St. (Big 12),12,7-5,48,30,226,63,5.2
Louisiana (Sun Belt),12,6-6,50,26,280,63,5.2
Western Mich. (MAC),12,4-8,54,18,269,63,5.2
Georgia (SEC),13,12-1,58,20,293,68,5.2
Hawaii (Mountain West),13,5-8,53,30,262,68,5.2
Charlotte (AAC),12,3-9,48,28,224,62,5.2
Maryland (Big Ten),12,7-5,55,14,263,62,5.2
Rice (AAC),12,6-6,48,28,257,62,5.2
Washington St. (Pac-12),12,5-7,47,30,262,62,5.2
Oregon (Pac-12),13,11-2,55,24,357,67,5.2
New Mexico St. (CUSA),14,10-4,53,38,305,72,5.1
