Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
LSU (SEC),12,9-3,120,68,0.567
Georgia (SEC),13,12-1,157,86,0.548
Oregon (Pac-12),13,11-2,144,73,0.507
Liberty (CUSA),13,13-0,145,73,0.503
UNLV (Mountain West),13,9-4,195,98,0.503
UCF (Big 12),12,6-6,152,76,0.500
Arizona (Pac-12),12,9-3,147,73,0.497
Kansas St. (Big 12),12,8-4,174,86,0.494
Oklahoma (Big 12),12,10-2,162,80,0.494
North Carolina (ACC),12,8-4,173,85,0.491
Washington (Pac-12),13,13-0,147,71,0.483
Kansas (Big 12),12,8-4,133,64,0.481
UTSA (AAC),12,8-4,179,85,0.475
Alabama (SEC),13,12-1,169,79,0.467
Michigan (Big Ten),13,13-0,152,71,0.467
TCU (Big 12),12,5-7,176,82,0.466
Fresno St. (Mountain West),12,8-4,174,81,0.466
Boise St. (Mountain West),13,8-5,170,79,0.465
Ohio St. (Big Ten),12,11-1,151,70,0.464
San Jose St. (Mountain West),12,7-5,142,65,0.458
Ga. Southern (Sun Belt),12,6-6,173,79,0.457
Air Force (Mountain West),12,8-4,154,70,0.455
Toledo (MAC),13,11-2,165,75,0.455
UCLA (Pac-12),12,7-5,182,82,0.451
Memphis (AAC),12,9-3,158,71,0.449
Texas St. (Sun Belt),12,7-5,167,75,0.449
Tulsa (AAC),12,4-8,195,87,0.446
Georgia St. (Sun Belt),12,6-6,175,78,0.446
Wisconsin (Big Ten),12,7-5,184,82,0.446
Missouri (SEC),12,10-2,153,68,0.444
Maryland (Big Ten),12,7-5,160,71,0.444
New Mexico St. (CUSA),14,10-4,157,69,0.439
Texas A&M (SEC),12,7-5,164,72,0.439
Ohio (MAC),12,9-3,169,74,0.438
Georgia Tech (ACC),12,6-6,154,67,0.435
Coastal Carolina (Sun Belt),12,7-5,157,68,0.433
South Alabama (Sun Belt),12,6-6,164,71,0.433
Tennessee (SEC),12,8-4,162,70,0.432
Notre Dame (FBS Independent),12,9-3,132,57,0.432
App State (Sun Belt),13,8-5,175,75,0.429
Syracuse (ACC),12,6-6,160,68,0.425
Washington St. (Pac-12),12,5-7,160,68,0.425
SMU (AAC),13,11-2,179,76,0.425
North Texas (AAC),12,5-7,173,73,0.422
Southern California (Pac-12),12,7-5,133,56,0.421
Cincinnati (Big 12),12,3-9,176,74,0.420
Utah (Pac-12),12,8-4,181,76,0.420
Louisiana (Sun Belt),12,6-6,151,63,0.417
Miami (FL) (ACC),12,7-5,151,63,0.417
Troy (Sun Belt),13,11-2,178,74,0.416
NIU (MAC),12,6-6,157,65,0.414
New Mexico (Mountain West),12,4-8,145,60,0.414
Northwestern (Big Ten),12,7-5,174,72,0.414
Clemson (ACC),12,8-4,182,75,0.412
Colorado St. (Mountain West),12,5-7,175,72,0.411
Boston College (ACC),12,6-6,180,74,0.411
Western Ky. (CUSA),12,7-5,173,71,0.410
Penn St. (Big Ten),12,10-2,169,69,0.408
West Virginia (Big 12),12,8-4,161,65,0.404
Oregon St. (Pac-12),12,8-4,139,56,0.403
UAB (AAC),12,4-8,159,64,0.403
Middle Tenn. (CUSA),12,4-8,181,72,0.398
California (Pac-12),12,6-6,177,70,0.395
NC State (ACC),12,9-3,172,68,0.395
Colorado (Pac-12),12,4-8,174,68,0.391
Rice (AAC),12,6-6,146,57,0.390
Tulane (AAC),13,11-2,175,68,0.389
Texas Tech (Big 12),12,6-6,176,68,0.386
Texas (Big 12),13,12-1,174,67,0.385
Arkansas (SEC),12,4-8,175,67,0.383
Temple (AAC),12,3-9,173,66,0.382
Kentucky (SEC),12,7-5,126,48,0.381
South Fla. (AAC),12,6-6,192,73,0.380
Southern Miss. (Sun Belt),12,3-9,187,71,0.380
Nebraska (Big Ten),12,5-7,153,58,0.379
Oklahoma St. (Big 12),13,9-4,190,72,0.379
Iowa St. (Big 12),12,7-5,161,61,0.379
Army West Point (FBS Independent),12,6-6,156,59,0.378
Ball St. (MAC),12,4-8,167,63,0.377
Florida St. (ACC),13,13-0,170,64,0.376
Indiana (Big Ten),12,3-9,168,63,0.375
Hawaii (Mountain West),13,5-8,183,68,0.372
Ole Miss (SEC),12,10-2,157,58,0.369
Florida (SEC),12,5-7,149,55,0.369
Miami (OH) (MAC),13,11-2,155,57,0.368
Massachusetts (FBS Independent),12,3-9,150,55,0.367
Houston (Big 12),12,4-8,156,57,0.365
Rutgers (Big Ten),12,6-6,156,57,0.365
Utah St. (Mountain West),12,6-6,170,62,0.365
Duke (ACC),12,7-5,151,55,0.364
Louisville (ACC),13,10-3,162,59,0.364
Wyoming (Mountain West),12,8-4,138,50,0.362
Baylor (Big 12),12,3-9,177,64,0.362
Stanford (Pac-12),12,3-9,183,66,0.361
Virginia (ACC),12,3-9,183,66,0.361
Illinois (Big Ten),12,5-7,161,58,0.360
Old Dominion (Sun Belt),12,6-6,173,62,0.358
Purdue (Big Ten),12,4-8,176,63,0.358
Western Mich. (MAC),12,4-8,179,64,0.358
UConn (FBS Independent),12,3-9,166,59,0.355
San Diego St. (Mountain West),12,4-8,173,61,0.353
Eastern Mich. (MAC),12,6-6,162,57,0.352
Minnesota (Big Ten),12,5-7,164,57,0.348
Buffalo (MAC),12,3-9,183,63,0.344
Central Mich. (MAC),12,5-7,166,57,0.343
Arkansas St. (Sun Belt),12,6-6,155,53,0.342
Wake Forest (ACC),12,4-8,161,55,0.342
Fla. Atlantic (AAC),12,4-8,168,57,0.339
Auburn (SEC),12,6-6,148,50,0.338
South Carolina (SEC),12,5-7,160,54,0.338
Bowling Green (MAC),12,7-5,143,48,0.336
Virginia Tech (ACC),12,6-6,161,54,0.335
Akron (MAC),12,2-10,170,57,0.335
Vanderbilt (SEC),12,2-10,157,52,0.331
UTEP (CUSA),12,3-9,159,52,0.327
ULM (Sun Belt),12,2-10,173,56,0.324
Arizona St. (Pac-12),12,3-9,170,54,0.318
Pittsburgh (ACC),12,3-9,148,47,0.318
Marshall (Sun Belt),12,6-6,161,51,0.317
Michigan St. (Big Ten),12,4-8,162,50,0.309
East Carolina (AAC),12,2-10,175,54,0.309
Mississippi St. (SEC),12,5-7,159,49,0.308
Iowa (Big Ten),13,10-3,189,58,0.307
Louisiana Tech (CUSA),12,3-9,154,47,0.305
Nevada (Mountain West),12,2-10,171,52,0.304
Kent St. (MAC),12,1-11,171,51,0.298
Navy (AAC),12,5-7,173,50,0.289
BYU (Big 12),12,5-7,158,45,0.285
FIU (CUSA),12,4-8,169,48,0.284
Charlotte (AAC),12,3-9,169,40,0.237
Jacksonville St. (CUSA),12,8-4,181,68,0.376
James Madison (Sun Belt),12,11-1,152,56,0.368
Sam Houston (CUSA),12,3-9,182,65,0.357
