Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Liberty (CUSA),13,13-0,642,3938,6.13,39,302.9
Air Force (Mountain West),12,8-4,658,3309,5.03,33,275.8
West Virginia (Big 12),12,8-4,535,2812,5.26,31,234.3
UCF (Big 12),12,6-6,495,2798,5.65,28,233.2
Cincinnati (Big 12),12,3-9,517,2605,5.04,14,217.1
Boise St. (Mountain West),13,8-5,523,2793,5.34,32,214.8
LSU (SEC),12,9-3,405,2562,6.33,32,213.5
Kansas (Big 12),12,8-4,460,2536,5.51,31,211.3
Army West Point (FBS Independent),12,6-6,574,2496,4.35,19,208.0
Toledo (MAC),13,11-2,505,2636,5.22,30,202.8
New Mexico St. (CUSA),14,10-4,490,2838,5.79,21,202.7
Tennessee (SEC),12,8-4,435,2431,5.59,20,202.6
Kansas St. (Big 12),12,8-4,493,2396,4.86,30,199.7
Auburn (SEC),12,6-6,478,2381,4.98,21,198.4
Georgia Tech (ACC),12,6-6,439,2365,5.39,22,197.1
North Carolina (ACC),12,8-4,457,2365,5.18,28,197.1
Navy (AAC),12,5-7,548,2335,4.26,16,194.6
Boston College (ACC),12,6-6,506,2322,4.59,22,193.5
New Mexico (Mountain West),12,4-8,440,2312,5.25,26,192.7
North Texas (AAC),12,5-7,449,2294,5.11,19,191.2
UCLA (Pac-12),12,7-5,491,2293,4.67,19,191.1
Texas St. (Sun Belt),12,7-5,487,2279,4.68,29,189.9
Texas (Big 12),13,12-1,499,2458,4.93,26,189.1
Penn St. (Big Ten),12,10-2,487,2240,4.60,26,186.7
Utah St. (Mountain West),12,6-6,464,2239,4.83,17,186.6
Utah (Pac-12),12,8-4,511,2235,4.37,18,186.2
San Jose St. (Mountain West),12,7-5,404,2234,5.53,30,186.2
Syracuse (ACC),12,6-6,488,2220,4.55,20,185.0
South Fla. (AAC),12,6-6,536,2216,4.13,22,184.7
Oregon (Pac-12),13,11-2,408,2390,5.86,32,183.8
