Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Penn St. (Big Ten),12,10-2,12,12,24,5,1,6,18,1.50
Michigan (Big Ten),13,13-0,8,16,24,2,5,7,17,1.31
San Jose St. (Mountain West),12,7-5,9,12,21,4,4,8,13,1.08
Florida St. (ACC),13,13-0,7,10,17,3,2,5,12,0.92
Navy (AAC),12,5-7,14,10,24,8,5,13,11,0.92
Oklahoma (Big 12),12,10-2,6,19,25,8,6,14,11,0.92
Fresno St. (Mountain West),12,8-4,6,16,22,1,11,12,10,0.83
Kansas St. (Big 12),12,8-4,10,12,22,2,10,12,10,0.83
NC State (ACC),12,9-3,7,17,24,3,11,14,10,0.83
Northwestern (Big Ten),12,7-5,8,11,19,1,8,9,10,0.83
Wyoming (Mountain West),12,8-4,11,10,21,5,6,11,10,0.83
Colorado (Pac-12),12,4-8,10,10,20,7,4,11,9,0.75
Missouri (SEC),12,10-2,9,9,18,2,7,9,9,0.75
Ole Miss (SEC),12,10-2,4,12,16,1,6,7,9,0.75
Liberty (CUSA),13,13-0,4,21,25,11,5,16,9,0.69
Oregon (Pac-12),13,11-2,5,11,16,2,5,7,9,0.69
Bowling Green (MAC),12,7-5,11,16,27,5,14,19,8,0.67
Iowa St. (Big 12),12,7-5,3,16,19,3,8,11,8,0.67
Alabama (SEC),13,12-1,6,12,18,4,6,10,8,0.62
Tulane (AAC),13,11-2,8,17,25,10,7,17,8,0.62
North Carolina (ACC),12,8-4,9,12,21,5,9,14,7,0.58
Oregon St. (Pac-12),12,8-4,7,12,19,5,7,12,7,0.58
Western Ky. (CUSA),12,7-5,11,14,25,6,12,18,7,0.58
Texas (Big 12),13,12-1,7,16,23,7,9,16,7,0.54
UNLV (Mountain West),13,9-4,10,14,24,7,10,17,7,0.54
LSU (SEC),12,9-3,3,10,13,3,4,7,6,0.50
Notre Dame (FBS Independent),12,9-3,8,15,23,8,9,17,6,0.50
Memphis (AAC),12,9-3,9,11,20,5,10,15,5,0.42
Ohio (MAC),12,9-3,6,12,18,4,9,13,5,0.42
Utah (Pac-12),12,8-4,7,8,15,1,9,10,5,0.42
Coastal Carolina (Sun Belt),12,7-5,7,14,21,8,9,17,4,0.33
Rutgers (Big Ten),12,6-6,9,8,17,5,8,13,4,0.33
South Carolina (SEC),12,5-7,7,10,17,5,8,13,4,0.33
Western Mich. (MAC),12,4-8,8,9,17,4,9,13,4,0.33
Troy (Sun Belt),13,11-2,12,9,21,12,5,17,4,0.31
Clemson (ACC),12,8-4,10,14,24,13,8,21,3,0.25
Eastern Mich. (MAC),12,6-6,11,7,18,5,10,15,3,0.25
Georgia Tech (ACC),12,6-6,10,13,23,4,16,20,3,0.25
Minnesota (Big Ten),12,5-7,7,12,19,6,10,16,3,0.25
Tennessee (SEC),12,8-4,5,10,15,7,5,12,3,0.25
App State (Sun Belt),13,8-5,7,15,22,10,9,19,3,0.23
SMU (AAC),13,11-2,5,11,16,5,8,13,3,0.23
Arkansas St. (Sun Belt),12,6-6,8,6,14,4,8,12,2,0.17
California (Pac-12),12,6-6,15,11,26,11,13,24,2,0.17
Georgia St. (Sun Belt),12,6-6,6,10,16,7,7,14,2,0.17
Kansas (Big 12),12,8-4,4,12,16,6,8,14,2,0.17
Southern Miss. (Sun Belt),12,3-9,8,9,17,7,8,15,2,0.17
Louisville (ACC),13,10-3,7,12,19,5,12,17,2,0.15
Oklahoma St. (Big 12),13,9-4,9,12,21,5,14,19,2,0.15
Auburn (SEC),12,6-6,6,11,17,5,11,16,1,0.08
BYU (Big 12),12,5-7,6,14,20,10,9,19,1,0.08
Baylor (Big 12),12,3-9,9,7,16,8,7,15,1,0.08
Buffalo (MAC),12,3-9,8,11,19,7,11,18,1,0.08
Duke (ACC),12,7-5,5,9,14,6,7,13,1,0.08
Fla. Atlantic (AAC),12,4-8,8,10,18,2,15,17,1,0.08
Kentucky (SEC),12,7-5,7,10,17,6,10,16,1,0.08
San Diego St. (Mountain West),12,4-8,6,12,18,7,10,17,1,0.08
Syracuse (ACC),12,6-6,12,9,21,7,13,20,1,0.08
UAB (AAC),12,4-8,11,10,21,7,13,20,1,0.08
UCLA (Pac-12),12,7-5,9,14,23,8,14,22,1,0.08
ULM (Sun Belt),12,2-10,8,11,19,5,13,18,1,0.08
Washington (Pac-12),13,13-0,2,16,18,7,10,17,1,0.08
Arizona (Pac-12),12,9-3,7,6,13,3,10,13,0,0.00
Maryland (Big Ten),12,7-5,5,15,20,8,12,20,0,0.00
Miami (OH) (MAC),13,11-2,4,10,14,7,7,14,0,0.00
