Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Washington (Pac-12),13,13-0,484,320,10,4470,9.24,13.97,35,343.8
Oregon (Pac-12),13,11-2,472,364,5,4456,9.44,12.24,44,342.8
Washington St. (Pac-12),12,5-7,510,340,9,4042,7.93,11.89,27,336.8
LSU (SEC),12,9-3,366,255,4,4011,10.96,15.73,41,334.2
Southern California (Pac-12),12,7-5,428,291,5,3957,9.25,13.60,31,329.8
Oklahoma (Big 12),12,10-2,408,284,6,3862,9.47,13.60,32,321.8
TCU (Big 12),12,5-7,503,319,15,3746,7.45,11.74,27,312.2
North Carolina (ACC),12,8-4,433,274,9,3682,8.50,13.44,25,306.8
Colorado St. (Mountain West),12,5-7,501,311,18,3678,7.34,11.83,24,306.5
Georgia (SEC),13,12-1,428,308,7,3973,9.28,12.90,25,305.6
North Texas (AAC),12,5-7,462,284,9,3656,7.91,12.87,33,304.7
Arizona (Pac-12),12,9-3,426,308,10,3654,8.58,11.86,34,304.5
Memphis (AAC),12,9-3,447,297,10,3620,8.10,12.19,29,301.7
Ga. Southern (Sun Belt),12,6-6,535,344,17,3579,6.69,10.40,24,298.2
Colorado (Pac-12),12,4-8,474,323,4,3536,7.46,10.95,29,294.7
UAB (AAC),12,4-8,427,306,13,3467,8.12,11.33,22,288.9
Western Ky. (CUSA),12,7-5,483,300,12,3455,7.15,11.52,33,287.9
Texas (Big 12),13,12-1,432,293,9,3729,8.63,12.73,24,286.8
SMU (AAC),13,11-2,417,250,8,3706,8.89,14.82,32,285.1
Maryland (Big Ten),12,7-5,451,297,12,3418,7.58,11.51,25,284.8
Ohio St. (Big Ten),12,11-1,376,245,7,3392,9.02,13.84,26,282.7
Texas St. (Sun Belt),12,7-5,400,272,9,3370,8.42,12.39,24,280.8
App State (Sun Belt),13,8-5,440,282,9,3619,8.22,12.83,34,278.4
South Carolina (SEC),12,5-7,412,283,8,3336,8.10,11.79,21,278.0
Temple (AAC),12,3-9,508,283,16,3320,6.54,11.73,23,276.7
Ole Miss (SEC),12,10-2,353,230,6,3319,9.40,14.43,23,276.6
Hawaii (Mountain West),13,5-8,537,337,15,3593,6.69,10.66,27,276.4
Fresno St. (Mountain West),12,8-4,478,306,11,3289,6.88,10.75,26,274.1
Missouri (SEC),12,10-2,360,237,7,3282,9.12,13.85,22,273.5
South Fla. (AAC),12,6-6,417,265,11,3248,7.79,12.26,24,270.7
Troy (Sun Belt),13,11-2,419,258,5,3483,8.31,13.50,29,267.9
Coastal Carolina (Sun Belt),12,7-5,377,253,9,3202,8.49,12.66,21,266.8
Middle Tenn. (CUSA),12,4-8,438,295,13,3192,7.29,10.82,23,266.0
South Alabama (Sun Belt),12,6-6,392,268,10,3179,8.11,11.86,24,264.9
Illinois (Big Ten),12,5-7,415,261,13,3175,7.65,12.16,23,264.6
Miami (FL) (ACC),12,7-5,405,263,13,3173,7.83,12.06,22,264.4
Oklahoma St. (Big 12),13,9-4,520,309,14,3435,6.61,11.12,16,264.2
Rice (AAC),12,6-6,405,255,11,3170,7.83,12.43,28,264.2
Baylor (Big 12),12,3-9,442,263,7,3156,7.14,12.00,15,263.0
Texas A&M (SEC),12,7-5,391,253,9,3148,8.05,12.44,24,262.3
Louisiana Tech (CUSA),12,3-9,423,269,11,3131,7.40,11.64,16,260.9
Utah St. (Mountain West),12,6-6,404,250,18,3117,7.72,12.47,33,259.8
Florida St. (ACC),13,13-0,406,250,2,3373,8.31,13.49,25,259.5
Florida (SEC),12,5-7,390,282,5,3111,7.98,11.03,20,259.2
UCF (Big 12),12,6-6,333,212,10,3109,9.34,14.67,22,259.1
Tennessee (SEC),12,8-4,390,250,5,3011,7.72,12.04,21,250.9
Virginia (ACC),12,3-9,396,248,14,3010,7.60,12.14,19,250.8
UTSA (AAC),12,8-4,415,268,12,2997,7.22,11.18,23,249.8
Notre Dame (FBS Independent),12,9-3,332,212,9,2973,8.95,14.02,28,247.8
Kansas St. (Big 12),12,8-4,395,244,10,2957,7.49,12.12,28,246.4
Oregon St. (Pac-12),12,8-4,352,205,7,2953,8.39,14.40,25,246.1
Louisville (ACC),13,10-3,383,245,12,3172,8.28,12.95,22,244.0
Houston (Big 12),12,4-8,408,261,13,2898,7.10,11.10,24,241.5
UNLV (Mountain West),13,9-4,369,227,10,3058,8.29,13.47,14,235.2
Stanford (Pac-12),12,3-9,425,233,10,2796,6.58,12.00,11,233.0
Georgia Tech (ACC),12,6-6,366,224,16,2784,7.61,12.43,26,232.0
FIU (CUSA),12,4-8,383,220,12,2752,7.19,12.51,12,229.3
Boise St. (Mountain West),13,8-5,351,204,12,2981,8.49,14.61,20,229.3
UCLA (Pac-12),12,7-5,382,218,14,2749,7.20,12.61,21,229.1
Alabama (SEC),13,12-1,302,192,6,2970,9.83,15.47,23,228.5
Iowa St. (Big 12),12,7-5,341,219,8,2739,8.03,12.51,20,228.2
Clemson (ACC),12,8-4,433,272,8,2705,6.25,9.94,20,225.4
New Mexico St. (CUSA),14,10-4,368,224,9,3148,8.55,14.05,28,224.9
Arkansas St. (Sun Belt),12,6-6,340,192,8,2688,7.91,14.00,15,224.0
Vanderbilt (SEC),12,2-10,390,217,12,2684,6.88,12.37,23,223.7
Marshall (Sun Belt),12,6-6,392,253,17,2682,6.84,10.60,12,223.5
Toledo (MAC),13,11-2,343,218,9,2905,8.47,13.33,26,223.5
Kansas (Big 12),12,8-4,283,181,8,2672,9.44,14.76,18,222.7
Tulane (AAC),13,11-2,347,216,7,2891,8.33,13.38,25,222.4
Louisiana (Sun Belt),12,6-6,340,225,9,2662,7.83,11.83,23,221.8
Texas Tech (Big 12),12,6-6,426,257,17,2653,6.23,10.32,21,221.1
San Jose St. (Mountain West),12,7-5,345,214,4,2638,7.65,12.33,20,219.8
Michigan (Big Ten),13,13-0,315,233,5,2844,9.03,12.21,21,218.8
New Mexico (Mountain West),12,4-8,353,198,10,2615,7.41,13.21,17,217.9
UTEP (CUSA),12,3-9,330,178,12,2612,7.92,14.67,13,217.7
Pittsburgh (ACC),12,3-9,360,192,12,2592,7.20,13.50,17,216.0
Fla. Atlantic (AAC),12,4-8,412,265,15,2586,6.28,9.76,19,215.5
California (Pac-12),12,6-6,401,236,13,2575,6.42,10.91,21,214.6
Massachusetts (FBS Independent),12,3-9,348,212,11,2569,7.38,12.12,14,214.1
Indiana (Big Ten),12,3-9,367,215,10,2553,6.96,11.87,18,212.8
Liberty (CUSA),13,13-0,279,163,5,2756,9.88,16.91,31,212.0
Purdue (Big Ten),12,4-8,392,234,10,2534,6.46,10.83,15,211.2
Western Mich. (MAC),12,4-8,393,247,9,2534,6.45,10.26,13,211.2
Virginia Tech (ACC),12,6-6,336,192,5,2531,7.53,13.18,21,210.9
Ohio (MAC),12,9-3,367,228,9,2527,6.89,11.08,15,210.6
Arizona St. (Pac-12),12,3-9,440,243,14,2524,5.74,10.39,8,210.3
Cincinnati (Big 12),12,3-9,360,218,11,2508,6.97,11.50,21,209.0
Wisconsin (Big Ten),12,7-5,429,254,5,2484,5.79,9.78,11,207.0
BYU (Big 12),12,5-7,396,220,9,2465,6.22,11.20,17,205.4
Tulsa (AAC),12,4-8,334,190,19,2456,7.35,12.93,20,204.7
Penn St. (Big Ten),12,10-2,373,226,1,2452,6.57,10.85,27,204.3
West Virginia (Big 12),12,8-4,308,166,7,2446,7.94,14.73,17,203.8
Kentucky (SEC),12,7-5,347,195,10,2445,7.05,12.54,23,203.8
Georgia St. (Sun Belt),12,6-6,345,230,7,2411,6.99,10.48,17,200.9
Old Dominion (Sun Belt),12,6-6,339,191,10,2409,7.11,12.61,19,200.8
Northwestern (Big Ten),12,7-5,350,217,8,2401,6.86,11.06,18,200.1
Michigan St. (Big Ten),12,4-8,379,221,13,2398,6.33,10.85,14,199.8
Akron (MAC),12,2-10,425,258,15,2371,5.58,9.19,10,197.6
Wake Forest (ACC),12,4-8,321,194,11,2368,7.38,12.21,14,197.3
NC State (ACC),12,9-3,350,210,11,2357,6.73,11.22,19,196.4
Southern Miss. (Sun Belt),12,3-9,363,188,8,2288,6.30,12.17,15,190.7
UConn (FBS Independent),12,3-9,381,219,7,2284,5.99,10.43,12,190.3
Boston College (ACC),12,6-6,343,193,13,2270,6.62,11.76,15,189.2
Arkansas (SEC),12,4-8,323,207,8,2250,6.97,10.87,22,187.5
NIU (MAC),12,6-6,336,192,7,2235,6.65,11.64,13,186.2
Bowling Green (MAC),12,7-5,320,193,14,2228,6.96,11.54,16,185.7
Buffalo (MAC),12,3-9,394,212,11,2222,5.64,10.48,14,185.2
Central Mich. (MAC),12,5-7,325,183,11,2216,6.82,12.11,15,184.7
Mississippi St. (SEC),12,5-7,348,201,10,2182,6.27,10.86,15,181.8
Duke (ACC),12,7-5,328,181,7,2168,6.61,11.98,14,180.7
Nevada (Mountain West),12,2-10,345,191,12,2102,6.09,11.01,6,175.2
ULM (Sun Belt),12,2-10,345,177,13,2098,6.08,11.85,15,174.8
Miami (OH) (MAC),13,11-2,283,159,7,2272,8.03,14.29,16,174.8
Syracuse (ACC),12,6-6,292,182,13,2084,7.14,11.45,17,173.7
Utah (Pac-12),12,8-4,314,180,9,2083,6.63,11.57,15,173.6
San Diego St. (Mountain West),12,4-8,319,202,10,2061,6.46,10.20,10,171.8
Charlotte (AAC),12,3-9,328,186,16,2013,6.14,10.82,7,167.8
Wyoming (Mountain West),12,8-4,277,168,6,2007,7.25,11.95,20,167.2
Kent St. (MAC),12,1-11,305,160,6,1974,6.47,12.34,11,164.5
East Carolina (AAC),12,2-10,388,208,14,1967,5.07,9.46,7,163.9
Eastern Mich. (MAC),12,6-6,328,185,10,1903,5.80,10.29,10,158.6
Auburn (SEC),12,6-6,275,168,11,1885,6.85,11.22,17,157.1
Minnesota (Big Ten),12,5-7,296,156,10,1838,6.21,11.78,14,153.2
Rutgers (Big Ten),12,6-6,279,135,8,1704,6.11,12.62,10,142.0
Ball St. (MAC),12,4-8,304,180,9,1639,5.39,9.11,9,136.6
Nebraska (Big Ten),12,5-7,261,136,16,1631,6.25,11.99,10,135.9
Iowa (Big Ten),13,10-3,323,161,9,1601,4.96,9.94,9,123.2
Navy (AAC),12,5-7,199,102,5,1268,6.37,12.43,10,105.7
Army West Point (FBS Independent),12,6-6,164,83,11,1234,7.52,14.87,7,102.8
Air Force (Mountain West),12,8-4,100,52,6,1060,10.60,20.38,6,88.3
James Madison (Sun Belt),12,11-1,395,268,10,3445,8.72,12.85,33,287.1
Sam Houston (CUSA),12,3-9,448,282,12,2670,5.96,9.47,15,222.5
Jacksonville St. (CUSA),12,8-4,315,162,9,1987,6.31,12.27,11,165.6
