Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Missouri (SEC),12,10-2,55,21,13,20,54,0.982
Oregon St. (Pac-12),12,8-4,42,19,14,8,41,0.976
Colorado (Pac-12),12,4-8,38,11,17,9,37,0.974
Penn St. (Big Ten),12,10-2,61,25,22,11,58,0.951
Western Ky. (CUSA),12,7-5,35,10,17,6,33,0.943
Minnesota (Big Ten),12,5-7,34,10,9,13,32,0.941
Alabama (SEC),13,12-1,50,25,10,12,47,0.940
Troy (Sun Belt),13,11-2,50,14,18,15,47,0.940
Iowa St. (Big 12),12,7-5,31,10,9,10,29,0.935
SMU (AAC),13,11-2,56,24,14,14,52,0.929
UNLV (Mountain West),13,9-4,55,30,5,16,51,0.927
Fresno St. (Mountain West),12,8-4,41,11,15,12,38,0.927
Arizona (Pac-12),12,9-3,54,12,25,13,50,0.926
New Mexico (Mountain West),12,4-8,39,19,9,8,36,0.923
Miami (OH) (MAC),13,11-2,50,18,8,20,46,0.920
Arkansas (SEC),12,4-8,37,6,17,11,34,0.919
Florida (SEC),12,5-7,48,17,15,12,44,0.917
Illinois (Big Ten),12,5-7,36,10,15,8,33,0.917
South Alabama (Sun Belt),12,6-6,43,21,12,6,39,0.907
Arizona St. (Pac-12),12,3-9,32,17,2,10,29,0.906
App State (Sun Belt),13,8-5,53,18,17,13,48,0.906
Georgia (SEC),13,12-1,73,33,15,18,66,0.904
Kansas St. (Big 12),12,8-4,61,28,20,7,55,0.902
LSU (SEC),12,9-3,61,28,17,10,55,0.902
Memphis (AAC),12,9-3,59,27,19,7,53,0.898
North Texas (AAC),12,5-7,49,11,21,12,44,0.898
Louisiana Tech (CUSA),12,3-9,39,14,11,10,35,0.897
South Carolina (SEC),12,5-7,39,14,12,9,35,0.897
Northwestern (Big Ten),12,7-5,38,12,11,11,34,0.895
Notre Dame (FBS Independent),12,9-3,47,20,14,8,42,0.894
North Carolina (ACC),12,8-4,56,24,11,15,50,0.893
Southern California (Pac-12),12,7-5,55,26,16,7,49,0.891
Toledo (MAC),13,11-2,55,25,17,7,49,0.891
Oklahoma (Big 12),12,10-2,64,28,16,13,57,0.891
Rice (AAC),12,6-6,45,17,17,6,40,0.889
Tulsa (AAC),12,4-8,45,11,15,14,40,0.889
Stanford (Pac-12),12,3-9,35,15,3,13,31,0.886
Utah St. (Mountain West),12,6-6,43,10,16,12,38,0.884
Michigan (Big Ten),13,13-0,59,30,12,10,52,0.881
Oregon (Pac-12),13,11-2,67,26,25,8,59,0.881
Michigan St. (Big Ten),12,4-8,25,6,10,6,22,0.880
Pittsburgh (ACC),12,3-9,25,8,8,6,22,0.880
Boise St. (Mountain West),13,8-5,49,26,7,10,43,0.878
Oklahoma St. (Big 12),13,9-4,57,22,11,17,50,0.877
Ole Miss (SEC),12,10-2,55,24,12,12,48,0.873
Florida St. (ACC),13,13-0,54,21,12,14,47,0.870
Kansas (Big 12),12,8-4,46,21,10,9,40,0.870
Auburn (SEC),12,6-6,38,16,9,8,33,0.868
Boston College (ACC),12,6-6,38,19,9,5,33,0.868
Virginia Tech (ACC),12,6-6,45,12,10,17,39,0.867
Eastern Mich. (MAC),12,6-6,37,16,6,10,32,0.865
Wyoming (Mountain West),12,8-4,37,12,13,7,32,0.865
Bowling Green (MAC),12,7-5,44,19,9,10,38,0.864
New Mexico St. (CUSA),14,10-4,51,15,16,13,44,0.863
Ohio St. (Big Ten),12,11-1,50,14,18,11,43,0.860
Texas A&M (SEC),12,7-5,57,20,14,15,49,0.860
Texas St. (Sun Belt),12,7-5,57,23,15,11,49,0.860
Washington (Pac-12),13,13-0,64,25,20,10,55,0.859
Wisconsin (Big Ten),12,7-5,42,19,8,9,36,0.857
NIU (MAC),12,6-6,34,12,6,11,29,0.853
Ga. Southern (Sun Belt),12,6-6,54,13,14,19,46,0.852
Duke (ACC),12,7-5,40,16,10,8,34,0.850
Rutgers (Big Ten),12,6-6,40,17,8,9,34,0.850
UTSA (AAC),12,8-4,46,20,11,8,39,0.848
Kent St. (MAC),12,1-11,26,6,4,12,22,0.846
Georgia Tech (ACC),12,6-6,45,14,14,10,38,0.844
Ohio (MAC),12,9-3,45,14,10,14,38,0.844
Texas Tech (Big 12),12,6-6,45,15,14,9,38,0.844
NC State (ACC),12,9-3,44,15,13,9,37,0.841
Ball St. (MAC),12,4-8,37,12,7,12,31,0.838
Central Mich. (MAC),12,5-7,37,18,9,4,31,0.838
Southern Miss. (Sun Belt),12,3-9,43,11,10,15,36,0.837
Maryland (Big Ten),12,7-5,49,17,15,9,41,0.837
Miami (FL) (ACC),12,7-5,49,15,13,13,41,0.837
Tennessee (SEC),12,8-4,49,14,10,17,41,0.837
Massachusetts (FBS Independent),12,3-9,30,12,5,8,25,0.833
West Virginia (Big 12),12,8-4,54,28,6,11,45,0.833
Liberty (CUSA),13,13-0,64,33,14,6,53,0.828
Iowa (Big Ten),13,10-3,34,8,6,14,28,0.824
East Carolina (AAC),12,2-10,33,11,6,10,27,0.818
Indiana (Big Ten),12,3-9,33,11,10,6,27,0.818
San Jose St. (Mountain West),12,7-5,54,24,10,10,44,0.815
Air Force (Mountain West),12,8-4,43,26,2,7,35,0.814
BYU (Big 12),12,5-7,37,13,10,7,30,0.811
Middle Tenn. (CUSA),12,4-8,37,10,10,10,30,0.811
Louisville (ACC),13,10-3,47,17,10,11,38,0.809
Utah (Pac-12),12,8-4,47,13,11,14,38,0.809
California (Pac-12),12,6-6,51,20,13,8,41,0.804
Kentucky (SEC),12,7-5,40,10,17,5,32,0.800
Louisiana (Sun Belt),12,6-6,50,16,13,11,40,0.800
Nevada (Mountain West),12,2-10,35,14,2,12,28,0.800
Texas (Big 12),13,12-1,55,16,11,17,44,0.800
UTEP (CUSA),12,3-9,35,15,4,9,28,0.800
Colorado St. (Mountain West),12,5-7,39,8,13,10,31,0.795
Mississippi St. (SEC),12,5-7,39,10,10,11,31,0.795
Western Mich. (MAC),12,4-8,39,18,7,6,31,0.795
Akron (MAC),12,2-10,29,10,5,8,23,0.793
UCF (Big 12),12,6-6,48,22,9,7,38,0.792
Virginia (ACC),12,3-9,43,12,10,12,34,0.791
Army West Point (FBS Independent),12,6-6,33,16,3,7,26,0.788
San Diego St. (Mountain West),12,4-8,37,13,6,10,29,0.784
UConn (FBS Independent),12,3-9,32,11,6,8,25,0.781
Arkansas St. (Sun Belt),12,6-6,41,14,8,10,32,0.780
Syracuse (ACC),12,6-6,41,14,10,8,32,0.780
FIU (CUSA),12,4-8,36,13,8,7,28,0.778
Wake Forest (ACC),12,4-8,45,12,9,14,35,0.778
Houston (Big 12),12,4-8,35,8,13,6,27,0.771
Cincinnati (Big 12),12,3-9,43,12,10,11,33,0.767
Vanderbilt (SEC),12,2-10,34,9,13,4,26,0.765
Georgia St. (Sun Belt),12,6-6,42,15,10,7,32,0.762
Washington St. (Pac-12),12,5-7,50,17,15,6,38,0.760
Tulane (AAC),13,11-2,54,15,13,13,41,0.759
Fla. Atlantic (AAC),12,4-8,41,14,11,6,31,0.756
Hawaii (Mountain West),13,5-8,45,6,19,9,34,0.756
Marshall (Sun Belt),12,6-6,40,14,7,9,30,0.750
Coastal Carolina (Sun Belt),12,7-5,51,15,8,15,38,0.745
Baylor (Big 12),12,3-9,47,13,9,13,35,0.745
South Fla. (AAC),12,6-6,53,19,15,5,39,0.736
UAB (AAC),12,4-8,52,20,8,10,38,0.731
TCU (Big 12),12,5-7,51,13,17,7,37,0.725
Purdue (Big Ten),12,4-8,43,19,6,6,31,0.721
Charlotte (AAC),12,3-9,35,13,4,8,25,0.714
Clemson (ACC),12,8-4,56,16,15,9,40,0.714
Buffalo (MAC),12,3-9,38,15,10,2,27,0.711
Old Dominion (Sun Belt),12,6-6,31,6,8,8,22,0.710
Temple (AAC),12,3-9,36,6,15,4,25,0.694
Navy (AAC),12,5-7,29,9,5,6,20,0.690
Nebraska (Big Ten),12,5-7,29,10,4,6,20,0.690
ULM (Sun Belt),12,2-10,37,5,10,8,23,0.622
UCLA (Pac-12),12,7-5,55,13,14,7,34,0.618
Sam Houston (CUSA),12,3-9,32,9,11,8,28,0.875
James Madison (Sun Belt),12,11-1,56,16,16,15,47,0.839
Jacksonville St. (CUSA),12,8-4,47,25,5,8,38,0.809
