Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
LSU (SEC),12,9-3,771,6573,8.53,73,547.8
Oregon (Pac-12),13,11-2,880,6846,7.78,76,526.6
Liberty (CUSA),13,13-0,921,6694,7.27,70,514.9
North Carolina (ACC),12,8-4,890,6047,6.79,53,503.9
Oklahoma (Big 12),12,10-2,895,6029,6.74,63,502.4
North Texas (AAC),12,5-7,911,5950,6.53,52,495.8
UCF (Big 12),12,6-6,828,5907,7.13,50,492.2
Georgia (SEC),13,12-1,882,6278,7.12,60,482.9
Texas (Big 12),13,12-1,931,6187,6.65,50,475.9
Texas St. (Sun Belt),12,7-5,887,5649,6.37,53,470.8
Southern California (Pac-12),12,7-5,771,5636,7.31,64,469.7
Washington (Pac-12),13,13-0,844,6098,7.23,61,469.1
TCU (Big 12),12,5-7,909,5600,6.16,46,466.7
SMU (AAC),13,11-2,941,6051,6.43,60,465.5
Ole Miss (SEC),12,10-2,841,5465,6.50,51,455.4
South Fla. (AAC),12,6-6,953,5464,5.73,46,455.3
Tennessee (SEC),12,8-4,825,5442,6.60,41,453.5
Arizona (Pac-12),12,9-3,798,5441,6.82,50,453.4
Memphis (AAC),12,9-3,844,5430,6.43,59,452.5
App State (Sun Belt),13,8-5,933,5850,6.27,56,450.0
UAB (AAC),12,4-8,853,5400,6.33,46,450.0
Utah St. (Mountain West),12,6-6,868,5356,6.17,50,446.3
Kansas St. (Big 12),12,8-4,888,5353,6.03,58,446.1
Boise St. (Mountain West),13,8-5,874,5774,6.61,52,444.2
Missouri (SEC),12,10-2,803,5315,6.62,46,442.9
Miami (FL) (ACC),12,7-5,813,5294,6.51,44,441.2
West Virginia (Big 12),12,8-4,843,5258,6.24,48,438.2
Kansas (Big 12),12,8-4,743,5208,7.01,49,434.0
Notre Dame (FBS Independent),12,9-3,741,5151,6.95,54,429.2
Georgia Tech (ACC),12,6-6,805,5149,6.40,48,429.1
New Mexico St. (CUSA),14,10-4,858,5986,6.98,49,427.6
Oregon St. (Pac-12),12,8-4,781,5123,6.56,51,426.9
Troy (Sun Belt),13,11-2,879,5542,6.30,47,426.3
Toledo (MAC),13,11-2,848,5541,6.53,56,426.2
Cincinnati (Big 12),12,3-9,877,5113,5.83,35,426.1
Ohio St. (Big Ten),12,11-1,774,5100,6.59,46,425.0
South Alabama (Sun Belt),12,6-6,824,5095,6.18,48,424.6
UTSA (AAC),12,8-4,890,5095,5.72,47,424.6
Coastal Carolina (Sun Belt),12,7-5,802,5075,6.33,38,422.9
Ga. Southern (Sun Belt),12,6-6,891,5070,5.69,39,422.5
Washington St. (Pac-12),12,5-7,852,5060,5.94,44,421.7
Oklahoma St. (Big 12),13,9-4,940,5475,5.82,43,421.2
UCLA (Pac-12),12,7-5,873,5042,5.78,40,420.2
Louisville (ACC),13,10-3,871,5451,6.26,49,419.3
Florida St. (ACC),13,13-0,843,5412,6.42,57,416.3
UNLV (Mountain West),13,9-4,883,5392,6.11,51,414.8
New Mexico (Mountain West),12,4-8,793,4927,6.21,43,410.6
Florida (SEC),12,5-7,811,4909,6.05,41,409.1
San Jose St. (Mountain West),12,7-5,749,4872,6.50,50,406.0
Clemson (ACC),12,8-4,918,4868,5.30,40,405.7
Louisiana (Sun Belt),12,6-6,774,4854,6.27,47,404.5
Texas A&M (SEC),12,7-5,822,4845,5.89,45,403.8
Alabama (SEC),13,12-1,820,5215,6.36,53,401.2
Colorado St. (Mountain West),12,5-7,833,4784,5.74,34,398.7
Western Ky. (CUSA),12,7-5,805,4752,5.90,45,396.0
California (Pac-12),12,6-6,866,4748,5.48,46,395.7
Maryland (Big Ten),12,7-5,800,4725,5.91,44,393.8
Middle Tenn. (CUSA),12,4-8,822,4693,5.71,36,391.1
Illinois (Big Ten),12,5-7,811,4692,5.79,35,391.0
