Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
LSU (SEC),12,9-3,74,73,1,0,12,1,557,46.4
Oregon (Pac-12),13,11-2,77,69,5,0,11,0,574,44.2
Oklahoma (Big 12),12,10-2,68,66,0,0,14,1,518,43.2
Southern California (Pac-12),12,7-5,68,60,2,0,10,0,502,41.8
Liberty (CUSA),13,13-0,72,71,0,0,9,0,530,40.8
SMU (AAC),13,11-2,66,64,1,0,20,0,528,40.6
Memphis (AAC),12,9-3,62,58,2,0,12,0,476,39.7
Notre Dame (FBS Independent),12,9-3,60,59,1,0,14,0,469,39.1
Georgia (SEC),13,12-1,62,62,0,0,21,1,499,38.4
Kansas St. (Big 12),12,8-4,60,53,3,1,11,0,452,37.8
Washington (Pac-12),13,13-0,64,59,2,0,13,2,490,37.7
Penn St. (Big Ten),12,10-2,56,52,1,0,18,1,446,37.2
Florida St. (ACC),13,13-0,60,59,1,0,18,0,481,37.0
Michigan (Big Ten),13,13-0,61,59,0,0,16,2,477,36.7
North Carolina (ACC),12,8-4,54,50,1,0,21,0,439,36.6
Texas (Big 12),13,12-1,55,52,1,1,28,0,468,36.2
Texas St. (Sun Belt),12,7-5,56,52,1,0,14,0,432,36.0
Alabama (SEC),13,12-1,56,54,2,0,20,1,456,35.1
Ole Miss (SEC),12,10-2,53,48,2,0,16,0,418,34.8
App State (Sun Belt),13,8-5,58,53,0,0,17,0,452,34.8
North Texas (AAC),12,5-7,52,46,4,0,16,0,414,34.5
Arizona (Pac-12),12,9-3,51,50,1,0,16,0,412,34.3
UNLV (Mountain West),13,9-4,53,53,0,0,25,0,446,34.3
Texas A&M (SEC),12,7-5,48,47,0,0,23,0,410,34.2
Missouri (SEC),12,10-2,48,43,3,0,24,0,409,34.1
Utah St. (Mountain West),12,6-6,53,46,3,0,13,0,409,34.1
Oregon St. (Pac-12),12,8-4,53,49,0,0,13,0,406,33.8
Toledo (MAC),13,11-2,58,51,4,0,10,0,437,33.6
Kansas (Big 12),12,8-4,54,46,0,0,11,0,403,33.6
San Jose St. (Mountain West),12,7-5,53,52,0,0,10,0,400,33.3
