Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Michigan (Big Ten),13,13-0,14,12,0,0,9,0,123,9.5
Ohio St. (Big Ten),12,11-1,13,12,0,0,14,0,132,11.0
Penn St. (Big Ten),12,10-2,16,13,2,0,8,0,137,11.4
Iowa (Big Ten),13,10-3,15,14,1,0,22,0,172,13.2
Ohio (MAC),12,9-3,21,20,0,0,13,0,185,15.4
Florida St. (ACC),13,13-0,23,19,0,0,16,1,207,15.9
Miami (OH) (MAC),13,11-2,24,16,4,0,14,0,210,16.2
Notre Dame (FBS Independent),12,9-3,22,22,0,0,15,0,199,16.6
Georgia (SEC),13,12-1,26,22,1,0,12,0,216,16.6
Troy (Sun Belt),13,11-2,26,25,0,0,14,0,223,17.2
Oregon (Pac-12),13,11-2,26,20,2,0,15,0,225,17.3
SMU (AAC),13,11-2,29,26,1,0,8,0,226,17.4
Texas (Big 12),13,12-1,26,22,1,0,16,0,228,17.5
Air Force (Mountain West),12,8-4,27,23,0,0,10,0,215,17.9
UCLA (Pac-12),12,7-5,23,22,0,0,19,0,217,18.1
Nebraska (Big Ten),12,5-7,24,20,2,0,17,0,219,18.2
Alabama (SEC),13,12-1,28,27,1,0,14,0,239,18.4
Wisconsin (Big Ten),12,7-5,28,27,0,0,10,1,227,18.9
Tulane (AAC),13,11-2,28,25,1,0,17,0,246,18.9
Louisville (ACC),13,10-3,32,31,0,0,11,0,256,19.7
Duke (ACC),12,7-5,26,23,2,0,18,0,237,19.8
Utah (Pac-12),12,8-4,30,26,1,0,9,1,237,19.8
Clemson (ACC),12,8-4,29,25,2,0,12,0,239,19.9
NC State (ACC),12,9-3,30,27,1,0,11,0,242,20.2
Toledo (MAC),13,11-2,32,26,1,0,16,0,268,20.6
Arizona (Pac-12),12,9-3,31,26,4,0,10,0,250,20.8
Rutgers (Big Ten),12,6-6,32,30,0,0,10,0,252,21.0
Army West Point (FBS Independent),12,6-6,31,25,2,0,12,1,253,21.1
Kansas St. (Big 12),12,8-4,30,26,0,0,16,0,254,21.2
NIU (MAC),12,6-6,31,30,0,0,12,1,254,21.2
Texas A&M (SEC),12,7-5,30,27,1,0,15,1,256,21.3
Oregon St. (Pac-12),12,8-4,32,28,2,1,10,1,258,21.5
Iowa St. (Big 12),12,7-5,31,24,2,1,14,1,260,21.7
New Mexico St. (CUSA),14,10-4,38,32,3,0,13,0,305,21.8
Ole Miss (SEC),12,10-2,33,32,1,0,10,0,262,21.8
Auburn (SEC),12,6-6,32,30,1,0,13,0,263,21.9
South Alabama (Sun Belt),12,6-6,33,30,1,0,11,0,263,21.9
Tennessee (SEC),12,8-4,30,27,0,0,19,0,264,22.0
Miami (FL) (ACC),12,7-5,31,26,1,0,17,0,265,22.1
Liberty (CUSA),13,13-0,38,30,2,0,9,0,289,22.2
Oklahoma (Big 12),12,10-2,31,23,2,0,18,0,267,22.2
Missouri (SEC),12,10-2,31,30,1,0,16,1,268,22.3
East Carolina (AAC),12,2-10,33,29,0,0,14,0,269,22.4
Navy (AAC),12,5-7,35,34,1,1,7,0,269,22.4
Wyoming (Mountain West),12,8-4,31,25,2,0,20,0,275,22.9
Maryland (Big Ten),12,7-5,32,29,0,0,18,2,279,23.2
Bowling Green (MAC),12,7-5,36,31,1,0,11,0,282,23.5
Washington (Pac-12),13,13-0,40,33,2,0,10,0,307,23.6
Syracuse (ACC),12,6-6,33,29,1,0,18,1,285,23.8
Northwestern (Big Ten),12,7-5,35,30,2,0,14,0,286,23.8
Eastern Mich. (MAC),12,6-6,34,32,1,1,14,3,288,24.0
Virginia Tech (ACC),12,6-6,38,35,2,0,8,0,291,24.2
Boise St. (Mountain West),13,8-5,39,35,0,0,16,0,317,24.4
