Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Ohio St. (Big Ten),12,11-1,187,358,1769,8,4.94,9.46,147.4
Michigan (Big Ten),13,13-0,186,341,1984,7,5.82,10.67,152.6
Penn St. (Big Ten),12,10-2,173,299,1843,7,6.16,10.65,153.6
Notre Dame (FBS Independent),12,9-3,178,344,1850,7,5.38,10.39,154.2
Clemson (ACC),12,8-4,196,373,1946,11,5.22,9.93,162.2
NIU (MAC),12,6-6,184,322,1975,11,6.13,10.73,164.6
Ohio (MAC),12,9-3,202,330,2021,12,6.12,10.00,168.4
Florida St. (ACC),13,13-0,181,387,2215,8,5.72,12.24,170.4
Iowa (Big Ten),13,10-3,253,452,2239,10,4.95,8.85,172.2
Virginia Tech (ACC),12,6-6,195,320,2075,16,6.48,10.64,172.9
Rutgers (Big Ten),12,6-6,203,342,2111,15,6.17,10.40,175.9
Georgia (SEC),13,12-1,224,399,2310,13,5.79,10.31,177.7
Air Force (Mountain West),12,8-4,196,317,2172,15,6.85,11.08,181.0
San Jose St. (Mountain West),12,7-5,199,326,2180,16,6.69,10.95,181.7
Toledo (MAC),13,11-2,198,383,2378,12,6.21,12.01,182.9
UTEP (CUSA),12,3-9,177,313,2216,16,7.08,12.52,184.7
Louisiana Tech (CUSA),12,3-9,173,317,2224,18,7.02,12.86,185.3
Buffalo (MAC),12,3-9,207,327,2246,18,6.87,10.85,187.2
Akron (MAC),12,2-10,186,333,2247,19,6.75,12.08,187.2
Army West Point (FBS Independent),12,6-6,190,310,2255,16,7.27,11.87,187.9
Texas A&M (SEC),12,7-5,182,315,2260,17,7.17,12.42,188.3
SMU (AAC),13,11-2,236,410,2449,17,5.97,10.38,188.4
Alabama (SEC),13,12-1,228,386,2454,14,6.36,10.76,188.8
Northwestern (Big Ten),12,7-5,223,344,2305,15,6.70,10.34,192.1
Bowling Green (MAC),12,7-5,194,324,2312,19,7.14,11.92,192.7
Wisconsin (Big Ten),12,7-5,223,372,2321,16,6.24,10.41,193.4
Miami (OH) (MAC),13,11-2,231,392,2563,12,6.54,11.10,197.2
Boston College (ACC),12,6-6,170,286,2372,18,8.29,13.95,197.7
Auburn (SEC),12,6-6,202,333,2420,17,7.27,11.98,201.7
Arkansas (SEC),12,4-8,192,318,2433,23,7.65,12.67,202.8
Troy (Sun Belt),13,11-2,253,406,2638,13,6.50,10.43,202.9
Ball St. (MAC),12,4-8,215,357,2451,17,6.87,11.40,204.2
Mississippi St. (SEC),12,5-7,231,340,2456,21,7.22,10.63,204.7
Eastern Mich. (MAC),12,6-6,205,351,2462,13,7.01,12.01,205.2
Louisville (ACC),13,10-3,208,383,2670,16,6.97,12.84,205.4
UCF (Big 12),12,6-6,203,353,2470,11,7.00,12.17,205.8
