Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Alabama (SEC),13,12-1,5,6,0.833
Minnesota (Big Ten),12,5-7,13,16,0.812
Boise St. (Mountain West),13,8-5,8,10,0.800
Georgia (SEC),13,12-1,8,10,0.800
Penn St. (Big Ten),12,10-2,19,24,0.792
Michigan (Big Ten),13,13-0,15,19,0.789
Boston College (ACC),12,6-6,28,37,0.757
Oregon (Pac-12),13,11-2,17,23,0.739
Washington (Pac-12),13,13-0,11,15,0.733
Oklahoma (Big 12),12,10-2,13,18,0.722
Central Mich. (MAC),12,5-7,16,23,0.696
Fresno St. (Mountain West),12,8-4,9,13,0.692
New Mexico St. (CUSA),14,10-4,11,16,0.688
Ole Miss (SEC),12,10-2,22,33,0.667
Rice (AAC),12,6-6,16,24,0.667
Maryland (Big Ten),12,7-5,12,18,0.667
Arizona (Pac-12),12,9-3,10,15,0.667
Colorado (Pac-12),12,4-8,10,15,0.667
Iowa St. (Big 12),12,7-5,10,15,0.667
Missouri (SEC),12,10-2,8,12,0.667
App State (Sun Belt),13,8-5,17,26,0.654
South Alabama (Sun Belt),12,6-6,17,26,0.654
Air Force (Mountain West),12,8-4,15,23,0.652
Memphis (AAC),12,9-3,15,23,0.652
Texas St. (Sun Belt),12,7-5,20,31,0.645
New Mexico (Mountain West),12,4-8,9,14,0.643
Texas (Big 12),13,12-1,19,30,0.633
Duke (ACC),12,7-5,12,19,0.632
Texas Tech (Big 12),12,6-6,22,35,0.629
Rutgers (Big Ten),12,6-6,15,24,0.625
SMU (AAC),13,11-2,15,24,0.625
Virginia Tech (ACC),12,6-6,15,24,0.625
Arkansas (SEC),12,4-8,10,16,0.625
Eastern Mich. (MAC),12,6-6,10,16,0.625
Wyoming (Mountain West),12,8-4,5,8,0.625
Utah St. (Mountain West),12,6-6,18,29,0.621
Navy (AAC),12,5-7,16,26,0.615
NC State (ACC),12,9-3,8,13,0.615
Ga. Southern (Sun Belt),12,6-6,11,18,0.611
North Texas (AAC),12,5-7,21,35,0.600
UTSA (AAC),12,8-4,15,25,0.600
Western Ky. (CUSA),12,7-5,15,25,0.600
Toledo (MAC),13,11-2,12,20,0.600
UCF (Big 12),12,6-6,12,20,0.600
Virginia (ACC),12,3-9,12,20,0.600
Notre Dame (FBS Independent),12,9-3,9,15,0.600
Oregon St. (Pac-12),12,8-4,16,27,0.593
Bowling Green (MAC),12,7-5,13,22,0.591
Army West Point (FBS Independent),12,6-6,20,34,0.588
Southern California (Pac-12),12,7-5,10,17,0.588
Tulane (AAC),13,11-2,17,29,0.586
California (Pac-12),12,6-6,18,31,0.581
Texas A&M (SEC),12,7-5,11,19,0.579
San Diego St. (Mountain West),12,4-8,13,23,0.565
Illinois (Big Ten),12,5-7,14,25,0.560
Ball St. (MAC),12,4-8,10,18,0.556
Miami (FL) (ACC),12,7-5,10,18,0.556
Liberty (CUSA),13,13-0,11,20,0.550
Louisiana (Sun Belt),12,6-6,11,20,0.550
Charlotte (AAC),12,3-9,19,35,0.543
Ohio (MAC),12,9-3,8,15,0.533
West Virginia (Big 12),12,8-4,18,34,0.529
Ohio St. (Big Ten),12,11-1,9,17,0.529
Syracuse (ACC),12,6-6,9,17,0.529
Oklahoma St. (Big 12),13,9-4,10,19,0.526
Louisville (ACC),13,10-3,11,21,0.524
Troy (Sun Belt),13,11-2,14,27,0.519
Temple (AAC),12,3-9,23,45,0.511
Hawaii (Mountain West),13,5-8,16,32,0.500
TCU (Big 12),12,5-7,16,32,0.500
Louisiana Tech (CUSA),12,3-9,15,30,0.500
BYU (Big 12),12,5-7,13,26,0.500
Georgia Tech (ACC),12,6-6,11,22,0.500
Auburn (SEC),12,6-6,10,20,0.500
Kansas St. (Big 12),12,8-4,10,20,0.500
Michigan St. (Big Ten),12,4-8,10,20,0.500
Pittsburgh (ACC),12,3-9,10,20,0.500
Nebraska (Big Ten),12,5-7,8,16,0.500
Iowa (Big Ten),13,10-3,5,10,0.500
Western Mich. (MAC),12,4-8,19,39,0.487
FIU (CUSA),12,4-8,16,33,0.485
UAB (AAC),12,4-8,13,27,0.481
Clemson (ACC),12,8-4,12,25,0.480
Arizona St. (Pac-12),12,3-9,18,38,0.474
Florida St. (ACC),13,13-0,9,19,0.474
Georgia St. (Sun Belt),12,6-6,9,19,0.474
North Carolina (ACC),12,8-4,8,17,0.471
UTEP (CUSA),12,3-9,14,30,0.467
Kent St. (MAC),12,1-11,12,26,0.462
Washington St. (Pac-12),12,5-7,12,26,0.462
Baylor (Big 12),12,3-9,22,48,0.458
Middle Tenn. (CUSA),12,4-8,10,22,0.455
Cincinnati (Big 12),12,3-9,14,31,0.452
UCLA (Pac-12),12,7-5,13,29,0.448
Utah (Pac-12),12,8-4,12,27,0.444
NIU (MAC),12,6-6,8,18,0.444
UNLV (Mountain West),13,9-4,8,18,0.444
Tulsa (AAC),12,4-8,7,16,0.438
Nevada (Mountain West),12,2-10,10,23,0.435
LSU (SEC),12,9-3,6,14,0.429
Southern Miss. (Sun Belt),12,3-9,11,26,0.423
Colorado St. (Mountain West),12,5-7,8,19,0.421
Wake Forest (ACC),12,4-8,8,19,0.421
Mississippi St. (SEC),12,5-7,10,24,0.417
South Fla. (AAC),12,6-6,18,44,0.409
Florida (SEC),12,5-7,9,22,0.409
Purdue (Big Ten),12,4-8,11,28,0.393
Fla. Atlantic (AAC),12,4-8,13,34,0.382
UConn (FBS Independent),12,3-9,8,21,0.381
South Carolina (SEC),12,5-7,9,24,0.375
Indiana (Big Ten),12,3-9,10,27,0.370
Arkansas St. (Sun Belt),12,6-6,7,19,0.368
Buffalo (MAC),12,3-9,15,41,0.366
Coastal Carolina (Sun Belt),12,7-5,8,22,0.364
Kansas (Big 12),12,8-4,6,17,0.353
San Jose St. (Mountain West),12,7-5,6,17,0.353
Akron (MAC),12,2-10,8,23,0.348
East Carolina (AAC),12,2-10,9,26,0.346
ULM (Sun Belt),12,2-10,9,26,0.346
Stanford (Pac-12),12,3-9,9,27,0.333
Miami (OH) (MAC),13,11-2,4,12,0.333
Tennessee (SEC),12,8-4,5,16,0.312
Vanderbilt (SEC),12,2-10,8,27,0.296
Wisconsin (Big Ten),12,7-5,5,18,0.278
Old Dominion (Sun Belt),12,6-6,7,26,0.269
Marshall (Sun Belt),12,6-6,6,23,0.261
Houston (Big 12),12,4-8,7,27,0.259
Northwestern (Big Ten),12,7-5,3,12,0.250
Massachusetts (FBS Independent),12,3-9,3,13,0.231
Kentucky (SEC),12,7-5,2,10,0.200
Sam Houston (CUSA),12,3-9,13,22,0.591
James Madison (Sun Belt),12,11-1,7,15,0.467
Jacksonville St. (CUSA),12,8-4,9,21,0.429
