Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Oregon (Pac-12),13,11-2,5,31,0.38
Liberty (CUSA),13,13-0,9,65,0.69
West Virginia (Big 12),12,8-4,9,53,0.75
Western Ky. (CUSA),12,7-5,9,59,0.75
Toledo (MAC),13,11-2,11,108,0.85
Washington (Pac-12),13,13-0,11,74,0.85
Air Force (Mountain West),12,8-4,11,52,0.92
Georgia (SEC),13,12-1,12,73,0.92
Iowa St. (Big 12),12,7-5,12,65,1.00
Oklahoma St. (Big 12),13,9-4,13,91,1.00
UConn (FBS Independent),12,3-9,12,93,1.00
Boise St. (Mountain West),13,8-5,14,76,1.08
SMU (AAC),13,11-2,15,100,1.15
Army West Point (FBS Independent),12,6-6,14,79,1.17
Colorado St. (Mountain West),12,5-7,14,90,1.17
Miami (FL) (ACC),12,7-5,14,100,1.17
Notre Dame (FBS Independent),12,9-3,14,106,1.17
Rutgers (Big Ten),12,6-6,14,86,1.17
Duke (ACC),12,7-5,15,81,1.25
Georgia St. (Sun Belt),12,6-6,15,101,1.25
Georgia Tech (ACC),12,6-6,15,93,1.25
Kansas (Big 12),12,8-4,15,122,1.25
Ohio (MAC),12,9-3,15,96,1.25
Oregon St. (Pac-12),12,8-4,15,98,1.25
Penn St. (Big Ten),12,10-2,15,122,1.25
Buffalo (MAC),12,3-9,16,77,1.33
Coastal Carolina (Sun Belt),12,7-5,16,113,1.33
NIU (MAC),12,6-6,16,94,1.33
Michigan (Big Ten),13,13-0,18,149,1.38
Kansas St. (Big 12),12,8-4,17,117,1.42
Oklahoma (Big 12),12,10-2,17,97,1.42
Temple (AAC),12,3-9,17,126,1.42
New Mexico St. (CUSA),14,10-4,20,122,1.43
UNLV (Mountain West),13,9-4,19,108,1.46
California (Pac-12),12,6-6,18,158,1.50
Tennessee (SEC),12,8-4,18,122,1.50
Wisconsin (Big Ten),12,7-5,18,119,1.50
App State (Sun Belt),13,8-5,20,102,1.54
BYU (Big 12),12,5-7,19,139,1.58
Boston College (ACC),12,6-6,19,127,1.58
Memphis (AAC),12,9-3,19,88,1.58
New Mexico (Mountain West),12,4-8,19,119,1.58
Ohio St. (Big Ten),12,11-1,19,121,1.58
San Jose St. (Mountain West),12,7-5,19,124,1.58
TCU (Big 12),12,5-7,19,104,1.58
Clemson (ACC),12,8-4,20,171,1.67
Kentucky (SEC),12,7-5,20,146,1.67
Missouri (SEC),12,10-2,20,124,1.67
Utah (Pac-12),12,8-4,20,157,1.67
Arizona (Pac-12),12,9-3,21,122,1.75
Minnesota (Big Ten),12,5-7,21,126,1.75
Miami (OH) (MAC),13,11-2,23,136,1.77
Troy (Sun Belt),13,11-2,23,182,1.77
LSU (SEC),12,9-3,22,96,1.83
UCF (Big 12),12,6-6,22,165,1.83
Florida St. (ACC),13,13-0,24,183,1.85
Louisiana (Sun Belt),12,6-6,23,153,1.92
NC State (ACC),12,9-3,23,153,1.92
Pittsburgh (ACC),12,3-9,23,205,1.92
Texas Tech (Big 12),12,6-6,23,170,1.92
UTSA (AAC),12,8-4,23,165,1.92
Virginia Tech (ACC),12,6-6,23,158,1.92
Navy (AAC),12,5-7,24,126,2.00
Purdue (Big Ten),12,4-8,24,178,2.00
San Diego St. (Mountain West),12,4-8,24,144,2.00
Texas (Big 12),13,12-1,26,156,2.00
Tulane (AAC),13,11-2,27,156,2.08
Bowling Green (MAC),12,7-5,25,187,2.08
Indiana (Big Ten),12,3-9,25,197,2.08
Louisiana Tech (CUSA),12,3-9,25,158,2.08
Michigan St. (Big Ten),12,4-8,25,195,2.08
Rice (AAC),12,6-6,25,184,2.08
Wyoming (Mountain West),12,8-4,25,153,2.08
Iowa (Big Ten),13,10-3,28,207,2.15
Ball St. (MAC),12,4-8,26,174,2.17
Central Mich. (MAC),12,5-7,26,168,2.17
Maryland (Big Ten),12,7-5,26,217,2.17
Massachusetts (FBS Independent),12,3-9,26,190,2.17
Mississippi St. (SEC),12,5-7,26,158,2.17
Ole Miss (SEC),12,10-2,26,173,2.17
Tulsa (AAC),12,4-8,26,182,2.17
Louisville (ACC),13,10-3,29,232,2.23
Cincinnati (Big 12),12,3-9,27,150,2.25
Houston (Big 12),12,4-8,27,184,2.25
Vanderbilt (SEC),12,2-10,27,175,2.25
Syracuse (ACC),12,6-6,28,151,2.33
Texas A&M (SEC),12,7-5,28,178,2.33
Texas St. (Sun Belt),12,7-5,28,144,2.33
Ga. Southern (Sun Belt),12,6-6,29,177,2.42
Arizona St. (Pac-12),12,3-9,30,166,2.50
Arkansas St. (Sun Belt),12,6-6,30,199,2.50
Fla. Atlantic (AAC),12,4-8,30,212,2.50
Fresno St. (Mountain West),12,8-4,30,234,2.50
Marshall (Sun Belt),12,6-6,30,209,2.50
Nebraska (Big Ten),12,5-7,30,181,2.50
North Carolina (ACC),12,8-4,30,137,2.50
UTEP (CUSA),12,3-9,30,193,2.50
Western Mich. (MAC),12,4-8,30,154,2.50
Auburn (SEC),12,6-6,31,157,2.58
Charlotte (AAC),12,3-9,31,244,2.58
East Carolina (AAC),12,2-10,31,179,2.58
South Alabama (Sun Belt),12,6-6,31,196,2.58
Eastern Mich. (MAC),12,6-6,32,219,2.67
Middle Tenn. (CUSA),12,4-8,32,169,2.67
UAB (AAC),12,4-8,32,197,2.67
Southern California (Pac-12),12,7-5,33,258,2.75
Baylor (Big 12),12,3-9,34,250,2.83
Southern Miss. (Sun Belt),12,3-9,34,250,2.83
ULM (Sun Belt),12,2-10,35,208,2.92
Hawaii (Mountain West),13,5-8,39,265,3.00
North Texas (AAC),12,5-7,38,249,3.17
Washington St. (Pac-12),12,5-7,38,249,3.17
Florida (SEC),12,5-7,39,260,3.25
Alabama (SEC),13,12-1,43,311,3.31
Illinois (Big Ten),12,5-7,40,205,3.33
South Fla. (AAC),12,6-6,40,247,3.33
Kent St. (MAC),12,1-11,41,256,3.42
Nevada (Mountain West),12,2-10,41,247,3.42
South Carolina (SEC),12,5-7,41,298,3.42
Stanford (Pac-12),12,3-9,41,234,3.42
Utah St. (Mountain West),12,6-6,41,225,3.42
UCLA (Pac-12),12,7-5,42,259,3.50
Virginia (ACC),12,3-9,43,269,3.58
Akron (MAC),12,2-10,46,351,3.83
FIU (CUSA),12,4-8,46,310,3.83
Arkansas (SEC),12,4-8,47,338,3.92
Northwestern (Big Ten),12,7-5,48,279,4.00
Wake Forest (ACC),12,4-8,49,276,4.08
Colorado (Pac-12),12,4-8,56,492,4.67
Old Dominion (Sun Belt),12,6-6,61,362,5.08
Jacksonville St. (CUSA),12,8-4,15,107,1.25
Sam Houston (CUSA),12,3-9,19,132,1.58
James Madison (Sun Belt),12,11-1,20,123,1.67
