Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Dayton (Pioneer),11,8-3,64,58,1,0,8,0,466,42.5
Eastern Wash. (Big Sky),12,7-5,64,56,4,0,13,0,479,40.6
James Madison (CAA),16,14-2,80,79,0,0,27,0,640,40.0
Yale (Ivy League),10,9-1,50,43,1,0,14,0,385,38.7
San Diego (Pioneer),12,9-3,62,57,0,0,11,0,462,38.5
N.C. A&T (MEAC),12,9-3,55,48,2,1,23,2,447,38.1
Kennesaw St. (Big South),14,11-3,72,68,0,0,10,0,530,37.9
Villanova (CAA),13,9-4,67,62,0,0,7,0,485,37.3
North Dakota St. (MVFC),16,16-0,80,69,4,0,13,0,588,37.2
Northern Ariz. (Big Sky),12,4-8,54,52,0,1,22,1,442,37.2
Montana (Big Sky),14,10-4,69,61,2,0,11,1,508,36.7
Southeastern La. (Southland),13,8-5,66,59,0,0,7,0,476,36.6
Monmouth (Big South),14,11-3,65,58,3,0,15,1,493,35.8
Houston Christian (Southland),12,5-7,54,47,1,0,18,1,425,35.8
Sacramento St. (Big Sky),13,9-4,63,54,3,0,8,1,456,35.7
Prairie View (SWAC),11,6-5,54,45,2,0,6,0,387,35.5
Davidson (Pioneer),12,8-4,59,52,1,0,4,0,418,35.0
Portland St. (Big Sky),12,5-7,53,49,2,0,15,0,412,34.7
Austin Peay (OVC),15,11-4,69,68,0,0,12,0,518,34.5
Alabama A&M (SWAC),12,7-5,56,52,2,1,5,0,403,34.1
Central Conn. St. (NEC),13,11-2,60,53,3,0,7,0,434,33.8
Alcorn (SWAC),13,9-4,57,52,1,0,13,1,433,33.6
Furman (SoCon),13,8-5,56,50,4,0,13,1,425,33.5
Dartmouth (Ivy League),10,9-1,45,43,1,0,6,0,331,33.3
Southern U. (SWAC),13,8-5,57,54,0,0,9,2,423,32.8
Florida A&M (MEAC),11,9-2,47,42,3,0,8,3,348,32.7
Montana St. (Big Sky),15,11-4,64,62,0,0,14,1,488,32.7
Samford (SoCon),12,5-7,49,46,1,0,15,0,385,32.2
Wofford (SoCon),12,8-4,51,51,0,0,10,0,387,32.2
Princeton (Ivy League),10,8-2,44,41,1,0,5,0,320,32.2
Stetson (Pioneer),11,7-4,44,41,1,0,15,0,350,32.0
Sam Houston (Southland),12,7-5,51,45,1,0,8,3,375,31.9
Ark.-Pine Bluff (SWAC),11,6-5,50,37,0,0,4,0,349,31.7
UAlbany (CAA),14,9-5,59,53,1,0,10,0,437,31.4
VMI (SoCon),12,5-7,47,39,1,0,15,1,366,30.8
Hampton (Big South),12,5-7,51,34,3,1,7,0,361,30.8
Youngstown St. (MVFC),12,6-6,50,47,0,0,6,0,365,30.4
South Dakota (MVFC),12,5-7,48,46,1,0,9,0,361,30.2
Towson (CAA),12,7-5,47,46,1,0,11,0,361,30.2
South Carolina St. (MEAC),11,8-3,43,38,1,0,11,0,329,30.1
Brown (Ivy League),10,2-8,41,33,0,0,7,0,300,30.0
UIW (Southland),12,5-7,47,42,2,0,10,0,354,29.8
Grambling (SWAC),11,6-5,43,34,0,0,11,1,325,29.7
South Dakota St. (MVFC),13,8-5,51,42,2,0,10,2,378,29.7
Harvard (Ivy League),10,4-6,39,35,0,0,9,0,296,29.6
Campbell (Big South),11,6-5,42,41,1,0,10,0,323,29.5
Maine (CAA),12,6-6,44,42,1,0,14,1,348,29.3
Tennessee Tech (OVC),12,6-6,43,37,3,0,15,1,340,29.0
Norfolk St. (MEAC),12,5-7,46,40,2,0,9,0,343,28.9
The Citadel (SoCon),12,6-6,45,43,1,0,9,2,340,28.8
Morehead St. (Pioneer),12,5-7,46,40,1,0,9,0,343,28.8
UC Davis (Big Sky),12,5-7,45,39,1,0,11,0,342,28.7
Southern Ill. (MVFC),12,7-5,46,42,0,0,7,0,339,28.2
Abilene Christian (Southland),12,5-7,43,40,1,0,12,0,334,28.0
Nicholls (Southland),14,9-5,53,47,1,0,8,0,389,27.9
Eastern Ky. (OVC),12,7-5,40,37,2,0,18,0,331,27.9
Weber St. (Big Sky),15,11-4,50,44,0,0,23,2,413,27.8
Central Ark. (Southland),13,9-4,45,42,2,0,15,0,357,27.8
Southeast Mo. St. (OVC),13,9-4,45,40,0,0,16,0,358,27.5
Jacksonville St. (OVC),12,6-6,46,40,0,0,4,0,328,27.3
Mercer (SoCon),12,4-8,41,38,0,0,13,0,323,26.9
North Dakota (FCS Independent),12,7-5,41,35,0,0,12,1,317,26.6
Chattanooga (SoCon),12,6-6,41,32,2,0,11,0,311,26.2
Tennessee St. (OVC),12,3-9,37,30,1,0,20,0,312,26.2
Jackson St. (SWAC),12,4-8,41,32,1,0,11,0,311,26.1
McNeese (Southland),12,7-5,40,35,1,0,12,0,311,26.1
Idaho (Big Sky),12,5-7,40,39,1,0,9,0,306,25.7
Rhode Island (CAA),12,2-10,38,33,1,0,15,0,306,25.7
UT Martin (OVC),12,7-5,40,37,0,0,10,0,307,25.6
Northwestern St. (Southland),12,3-9,41,34,1,0,7,0,301,25.2
William & Mary (CAA),12,5-7,40,30,3,0,9,0,297,25.2
Cal Poly (Big Sky),11,3-8,37,34,0,0,7,0,277,25.2
Saint Francis (PA) (NEC),12,6-6,38,36,1,0,12,0,300,25.2
Elon (CAA),11,5-6,35,34,0,0,10,1,274,25.1
Fordham (Patriot),12,4-8,37,31,1,0,15,0,298,25.0
Jacksonville (Pioneer),12,3-9,40,33,2,0,7,0,294,24.8
Drake (Pioneer),11,6-5,38,34,1,0,3,0,271,24.8
Sacred Heart (NEC),12,7-5,39,34,0,0,9,0,295,24.6
Southern Utah (Big Sky),12,3-9,39,35,3,0,6,1,287,24.6
Penn (Ivy League),10,5-5,34,30,1,0,3,0,243,24.5
