Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Bethune-Cookman (MEAC),11,7-4,36,27,1,0,7,1,264,24.4
Stony Brook (CAA),12,5-7,38,34,0,0,10,0,292,24.3
Georgetown (Patriot),11,5-6,36,25,4,1,5,0,256,24.2
SFA (Southland),12,3-9,32,30,1,0,21,1,285,24.1
Gardner-Webb (Big South),12,3-9,39,36,0,0,5,1,285,23.9
Delaware (CAA),12,5-7,34,24,6,0,12,1,264,23.2
Richmond (CAA),12,5-7,32,30,0,0,17,1,273,22.9
Holy Cross (Patriot),13,7-6,38,34,1,0,11,0,295,22.8
Murray St. (OVC),12,4-8,35,34,1,0,8,2,268,22.8
Alabama St. (SWAC),11,5-6,33,23,2,0,8,0,245,22.6
Idaho St. (Big Sky),12,3-9,32,29,1,0,15,1,266,22.5
Duquesne (NEC),11,6-5,30,27,1,0,12,0,243,22.3
Charleston So. (Big South),12,6-6,30,27,0,0,20,0,267,22.2
Robert Morris (NEC),12,7-5,33,33,0,0,12,0,267,22.2
Lamar University (Southland),12,4-8,29,28,0,0,21,0,265,22.1
Texas Southern (SWAC),11,0-11,30,24,2,0,11,0,237,21.9
Marist (Pioneer),11,4-7,29,28,0,0,11,1,235,21.5
UNI (MVFC),15,10-5,37,36,0,0,19,0,315,21.0
Cornell (Ivy League),10,4-6,26,19,2,0,9,0,202,20.6
New Hampshire (CAA),11,6-5,26,24,0,0,14,0,222,20.2
ETSU (SoCon),12,3-9,28,27,1,0,14,1,237,20.1
Northern Colo. (Big Sky),12,2-10,30,24,1,0,11,1,237,20.1
Butler (Pioneer),12,3-9,30,26,1,0,10,0,236,19.8
Illinois St. (MVFC),15,10-5,35,34,1,0,17,0,295,19.8
Delaware St. (MEAC),12,2-10,28,26,0,2,11,2,227,19.6
Indiana St. (MVFC),12,5-7,28,25,0,0,14,0,235,19.6
Columbia (Ivy League),10,3-7,24,22,0,0,9,0,193,19.3
Morgan St. (MEAC),12,3-9,27,20,1,0,13,1,221,18.8
Western Ill. (MVFC),12,1-11,29,29,0,0,7,0,224,18.7
Lafayette (Patriot),12,4-8,27,24,1,0,11,0,219,18.4
Western Caro. (SoCon),12,3-9,27,23,1,0,10,0,215,18.1
N.C. Central (MEAC),12,4-8,26,24,0,0,10,0,210,17.5
Presbyterian (Big South),12,2-10,26,24,0,0,7,1,201,16.9
Bryant (NEC),12,4-8,24,20,1,0,11,0,197,16.6
Howard (MEAC),12,2-10,28,20,1,0,3,0,197,16.6
Bucknell (Patriot),11,3-8,22,15,1,0,10,0,177,16.3
Mississippi Val. (SWAC),11,2-9,26,17,0,0,1,1,176,16.2
Lehigh (Patriot),11,4-7,19,17,0,0,14,0,173,15.7
Valparaiso (Pioneer),12,1-11,23,18,2,0,9,0,183,15.6
Missouri St. (MVFC),11,1-10,21,15,1,0,9,0,168,15.5
Colgate (Patriot),12,4-8,23,22,0,0,6,0,178,14.8
Eastern Ill. (OVC),12,1-11,23,18,2,1,5,0,171,14.8
Wagner (NEC),12,1-11,20,19,1,0,8,0,163,13.8
LIU (NEC),10,0-10,12,10,0,0,5,0,97,9.7
Merrimack (NEC),11,6-5,45,37,2,0,10,0,337,31.0
North Ala. (FCS Independent),11,4-7,36,22,2,1,14,1,280,26.2
