Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
North Dakota St. (MVFC),16,16-0,218,388,2218,11,5.72,10.17,138.6
Georgetown (Patriot),11,5-6,156,266,1700,3,6.39,10.90,154.5
Indiana St. (MVFC),12,5-7,177,322,1955,13,6.07,11.05,162.9
South Dakota St. (MVFC),13,8-5,202,354,2156,13,6.09,10.67,165.8
Alabama St. (SWAC),11,5-6,144,292,1839,16,6.30,12.77,167.2
Furman (SoCon),13,8-5,234,345,2176,14,6.31,9.30,167.4
Jacksonville (Pioneer),12,3-9,162,259,2016,19,7.78,12.44,168.0
Youngstown St. (MVFC),12,6-6,144,250,2021,21,8.08,14.03,168.4
Duquesne (NEC),11,6-5,148,270,1857,12,6.88,12.55,168.8
Davidson (Pioneer),12,8-4,173,280,2030,21,7.25,11.73,169.2
N.C. Central (MEAC),12,4-8,173,305,2040,22,6.69,11.79,170.0
ETSU (SoCon),12,3-9,196,322,2043,14,6.34,10.42,170.2
Drake (Pioneer),11,6-5,175,293,1914,10,6.53,10.94,174.0
Wofford (SoCon),12,8-4,160,303,2100,14,6.93,13.12,175.0
Bryant (NEC),12,4-8,192,351,2111,17,6.01,10.99,175.9
Robert Morris (NEC),12,7-5,195,348,2113,14,6.07,10.84,176.1
Western Caro. (SoCon),12,3-9,137,239,2115,22,8.85,15.44,176.2
Campbell (Big South),11,6-5,151,280,2010,18,7.18,13.31,182.7
Illinois St. (MVFC),15,10-5,263,454,2802,18,6.17,10.65,186.8
UNI (MVFC),15,10-5,272,430,2811,18,6.54,10.33,187.4
Charleston So. (Big South),12,6-6,189,332,2249,15,6.77,11.90,187.4
Kennesaw St. (Big South),14,11-3,230,405,2657,15,6.56,11.55,189.8
Wagner (NEC),12,1-11,188,291,2287,18,7.86,12.16,190.6
Colgate (Patriot),12,4-8,159,299,2316,16,7.75,14.57,193.0
Chattanooga (SoCon),12,6-6,198,344,2318,17,6.74,11.71,193.2
Richmond (CAA),12,5-7,179,313,2338,26,7.47,13.06,194.8
James Madison (CAA),16,14-2,260,490,3126,18,6.38,12.02,195.4
Morehead St. (Pioneer),12,5-7,166,335,2357,26,7.04,14.20,196.4
Valparaiso (Pioneer),12,1-11,206,335,2368,20,7.07,11.50,197.3
South Carolina St. (MEAC),11,8-3,171,355,2198,13,6.19,12.85,199.8
Prairie View (SWAC),11,6-5,201,356,2203,16,6.19,10.96,200.3
Bethune-Cookman (MEAC),11,7-4,190,326,2206,19,6.77,11.61,200.5
Southern Ill. (MVFC),12,7-5,204,340,2407,18,7.08,11.80,200.6
Saint Francis (PA) (NEC),12,6-6,197,382,2431,14,6.36,12.34,202.6
Jackson St. (SWAC),12,4-8,174,317,2436,24,7.68,14.00,203.0
Mercer (SoCon),12,4-8,194,329,2440,15,7.42,12.58,203.3
Austin Peay (OVC),15,11-4,283,516,3052,27,5.91,10.78,203.5
LIU (NEC),10,0-10,169,246,2035,19,8.27,12.04,203.5
Presbyterian (Big South),12,2-10,177,289,2447,27,8.47,13.82,203.9
Eastern Ill. (OVC),12,1-11,190,316,2449,25,7.75,12.89,204.1
North Dakota (FCS Independent),12,7-5,200,344,2459,21,7.15,12.30,204.9
Norfolk St. (MEAC),12,5-7,212,350,2468,18,7.05,11.64,205.7
Eastern Ky. (OVC),12,7-5,212,375,2474,17,6.60,11.67,206.2
N.C. A&T (MEAC),12,9-3,200,361,2475,17,6.86,12.38,206.2
Rhode Island (CAA),12,2-10,191,328,2495,26,7.61,13.06,207.9
Marist (Pioneer),11,4-7,189,327,2307,23,7.06,12.21,209.7
