Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Tennessee Tech (OVC),12,6-6,27,358,0,13.26
Princeton (Ivy League),10,8-2,13,191,0,14.69
Sacred Heart (NEC),12,7-5,39,590,0,15.13
Southern Ill. (MVFC),12,7-5,33,501,0,15.18
Eastern Ky. (OVC),12,7-5,44,683,0,15.52
Alcorn (SWAC),13,9-4,53,823,1,15.53
Jacksonville St. (OVC),12,6-6,32,497,1,15.53
South Dakota St. (MVFC),13,8-5,33,518,0,15.70
Bethune-Cookman (MEAC),11,7-4,37,583,0,15.76
VMI (SoCon),12,5-7,29,477,0,16.45
Elon (CAA),11,5-6,36,593,0,16.47
Norfolk St. (MEAC),12,5-7,53,887,0,16.74
Charleston So. (Big South),12,6-6,41,691,0,16.85
Sam Houston (Southland),12,7-5,39,674,0,17.28
Southern U. (SWAC),13,8-5,44,766,1,17.41
N.C. A&T (MEAC),12,9-3,51,893,0,17.51
Jacksonville (Pioneer),12,3-9,42,736,0,17.52
UIW (Southland),12,5-7,49,862,2,17.59
ETSU (SoCon),12,3-9,18,317,0,17.61
Austin Peay (OVC),15,11-4,52,917,0,17.63
Cornell (Ivy League),10,4-6,17,301,1,17.71
Davidson (Pioneer),12,8-4,61,1094,1,17.93
Sacramento St. (Big Sky),13,9-4,34,615,0,18.09
Montana (Big Sky),14,10-4,36,652,0,18.11
New Hampshire (CAA),11,6-5,41,745,0,18.17
Eastern Wash. (Big Sky),12,7-5,67,1224,0,18.27
San Diego (Pioneer),12,9-3,35,640,0,18.29
Dartmouth (Ivy League),10,9-1,35,641,0,18.31
Robert Morris (NEC),12,7-5,36,661,0,18.36
Lamar University (Southland),12,4-8,17,313,0,18.41
Kennesaw St. (Big South),14,11-3,46,850,0,18.48
Mississippi Val. (SWAC),11,2-9,29,536,0,18.48
Georgetown (Patriot),11,5-6,31,575,0,18.55
Alabama A&M (SWAC),12,7-5,53,985,0,18.58
Morgan St. (MEAC),12,3-9,47,883,1,18.79
Houston Christian (Southland),12,5-7,24,451,1,18.79
Portland St. (Big Sky),12,5-7,38,715,1,18.82
Mercer (SoCon),12,4-8,45,847,0,18.82
Stetson (Pioneer),11,7-4,53,998,0,18.83
Prairie View (SWAC),11,6-5,48,905,0,18.85
James Madison (CAA),16,14-2,81,1538,2,18.99
Southern Utah (Big Sky),12,3-9,32,611,0,19.09
South Carolina St. (MEAC),11,8-3,50,956,0,19.12
Howard (MEAC),12,2-10,36,689,0,19.14
Illinois St. (MVFC),15,10-5,48,920,0,19.17
Central Ark. (Southland),13,9-4,41,787,1,19.20
Central Conn. St. (NEC),13,11-2,56,1079,0,19.27
North Dakota St. (MVFC),16,16-0,59,1138,0,19.29
UT Martin (OVC),12,7-5,33,637,0,19.30
Drake (Pioneer),11,6-5,41,793,1,19.34
UC Davis (Big Sky),12,5-7,32,619,1,19.34
Penn (Ivy League),10,5-5,20,387,0,19.35
Marist (Pioneer),11,4-7,31,601,0,19.39
Columbia (Ivy League),10,3-7,13,256,0,19.69
Alabama St. (SWAC),11,5-6,35,690,2,19.71
Holy Cross (Patriot),13,7-6,41,811,0,19.78
Rhode Island (CAA),12,2-10,47,931,0,19.81
Harvard (Ivy League),10,4-6,16,317,0,19.81
McNeese (Southland),12,7-5,25,496,0,19.84
Fordham (Patriot),12,4-8,12,239,0,19.92
Montana St. (Big Sky),15,11-4,39,778,0,19.95
Yale (Ivy League),10,9-1,29,583,0,20.10
Lehigh (Patriot),11,4-7,35,707,0,20.20
