Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Northern Ariz. (Big Sky),12,4-8,503,301,7,4332,8.61,14.39,32,361.0
Southeastern La. (Southland),13,8-5,569,380,14,4607,8.10,12.12,35,354.4
Houston Christian (Southland),12,5-7,594,371,16,4011,6.75,10.81,38,334.2
Yale (Ivy League),10,9-1,363,223,6,3243,8.93,14.54,29,324.3
Eastern Wash. (Big Sky),12,7-5,466,268,6,3805,8.17,14.20,32,317.1
UC Davis (Big Sky),12,5-7,510,331,13,3710,7.27,11.21,29,309.2
Alabama A&M (SWAC),12,7-5,453,277,11,3662,8.08,13.22,33,305.2
Montana (Big Sky),14,10-4,544,351,16,4221,7.76,12.03,32,301.5
Northwestern St. (Southland),12,3-9,557,347,15,3616,6.49,10.42,28,301.3
Brown (Ivy League),10,2-8,430,257,14,3011,7.00,11.72,22,301.1
San Diego (Pioneer),12,9-3,383,254,10,3571,9.32,14.06,32,297.6
Maine (CAA),12,6-6,392,243,11,3558,9.08,14.64,29,296.5
Rhode Island (CAA),12,2-10,505,296,13,3555,7.04,12.01,24,296.2
Jacksonville St. (OVC),12,6-6,455,266,12,3552,7.81,13.35,29,296.0
Sacramento St. (Big Sky),13,9-4,524,309,11,3832,7.31,12.40,32,294.8
Central Ark. (Southland),13,9-4,498,320,16,3807,7.64,11.90,35,292.8
Florida A&M (MEAC),11,9-2,406,253,9,3202,7.89,12.66,30,291.1
VMI (SoCon),12,5-7,507,321,6,3439,6.78,10.71,20,286.6
UIW (Southland),12,5-7,523,303,9,3421,6.54,11.29,22,285.1
Ark.-Pine Bluff (SWAC),11,6-5,342,205,17,3105,9.08,15.15,28,282.3
Sam Houston (Southland),12,7-5,466,256,16,3373,7.24,13.18,24,281.1
Southern Utah (Big Sky),12,3-9,459,302,13,3256,7.09,10.78,19,271.3
Monmouth (Big South),14,11-3,460,296,9,3748,8.15,12.66,30,267.7
Prairie View (SWAC),11,6-5,336,196,12,2934,8.73,14.97,25,266.7
Texas Southern (SWAC),11,0-11,417,250,13,2925,7.01,11.70,14,265.9
North Dakota (FCS Independent),12,7-5,470,298,13,3145,6.69,10.55,21,262.1
Saint Francis (PA) (NEC),12,6-6,415,259,6,3131,7.54,12.09,28,260.9
Villanova (CAA),13,9-4,405,242,10,3390,8.37,14.01,37,260.8
Tennessee St. (OVC),12,3-9,409,250,11,3128,7.65,12.51,15,260.7
Princeton (Ivy League),10,8-2,318,211,6,2605,8.19,12.35,21,260.5
Murray St. (OVC),12,4-8,463,294,14,3108,6.71,10.57,22,259.0
Portland St. (Big Sky),12,5-7,387,220,9,3081,7.96,14.00,28,256.8
UAlbany (CAA),14,9-5,472,265,11,3589,7.60,13.54,41,256.4
SFA (Southland),12,3-9,470,256,15,3050,6.49,11.91,16,254.2
Alcorn (SWAC),13,9-4,404,241,10,3275,8.11,13.59,34,251.9
Penn (Ivy League),10,5-5,345,203,6,2490,7.22,12.27,18,249.0
South Dakota (MVFC),12,5-7,421,273,13,2982,7.08,10.92,27,248.5
Northern Colo. (Big Sky),12,2-10,424,258,13,2976,7.02,11.53,16,248.0
Dayton (Pioneer),11,8-3,307,193,5,2716,8.85,14.07,33,246.9
Abilene Christian (Southland),12,5-7,476,296,15,2925,6.14,9.88,20,243.8
Towson (CAA),12,7-5,369,220,6,2898,7.85,13.17,22,241.5
Austin Peay (OVC),15,11-4,463,269,16,3594,7.76,13.36,32,239.6
Samford (SoCon),12,5-7,415,248,14,2870,6.92,11.57,24,239.2
Morehead St. (Pioneer),12,5-7,388,226,16,2867,7.39,12.69,23,238.9
Tennessee Tech (OVC),12,6-6,404,252,11,2861,7.08,11.35,24,238.4
Hampton (Big South),12,5-7,395,227,15,2820,7.14,12.42,29,235.0
Harvard (Ivy League),10,4-6,290,173,10,2343,8.08,13.54,19,234.3
Lehigh (Patriot),11,4-7,397,213,11,2567,6.47,12.05,9,233.4
Cornell (Ivy League),10,4-6,318,187,13,2327,7.32,12.44,9,232.7
Marist (Pioneer),11,4-7,364,211,15,2552,7.01,12.09,11,232.0
Norfolk St. (MEAC),12,5-7,356,205,8,2759,7.75,13.46,24,229.9
Idaho (Big Sky),12,5-7,384,240,12,2733,7.12,11.39,20,227.8
Idaho St. (Big Sky),12,3-9,399,206,18,2733,6.85,13.27,21,227.8
South Carolina St. (MEAC),11,8-3,318,159,9,2483,7.81,15.62,22,225.7
Richmond (CAA),12,5-7,332,215,12,2708,8.16,12.60,15,225.7
Fordham (Patriot),12,4-8,400,234,11,2687,6.72,11.48,20,223.9
James Madison (CAA),16,14-2,401,283,6,3566,8.89,12.60,33,222.9
Lafayette (Patriot),12,4-8,378,226,14,2667,7.06,11.80,14,222.2
UT Martin (OVC),12,7-5,347,198,10,2667,7.69,13.47,19,222.2
Gardner-Webb (Big South),12,3-9,380,221,12,2666,7.02,12.06,25,222.2
McNeese (Southland),12,7-5,353,204,9,2636,7.47,12.92,24,219.7
Stony Brook (CAA),12,5-7,331,165,12,2613,7.89,15.84,17,217.8
Mercer (SoCon),12,4-8,395,221,17,2599,6.58,11.76,22,216.6
Dartmouth (Ivy League),10,9-1,232,158,5,2154,9.28,13.63,22,215.4
Nicholls (Southland),14,9-5,342,230,12,2997,8.76,13.03,17,214.1
Alabama St. (SWAC),11,5-6,352,203,16,2333,6.63,11.49,22,212.1
Missouri St. (MVFC),11,1-10,403,229,10,2311,5.73,10.09,16,210.1
Holy Cross (Patriot),13,7-6,404,212,9,2729,6.75,12.87,17,209.9
Charleston So. (Big South),12,6-6,413,235,15,2505,6.07,10.66,18,208.8
Stetson (Pioneer),11,7-4,380,214,10,2293,6.03,10.71,21,208.5
Sacred Heart (NEC),12,7-5,331,187,9,2499,7.55,13.36,21,208.2
N.C. A&T (MEAC),12,9-3,319,175,4,2496,7.82,14.26,21,208.0
Western Ill. (MVFC),12,1-11,428,258,14,2471,5.77,9.58,19,205.9
Southeast Mo. St. (OVC),13,9-4,376,209,14,2639,7.02,12.63,18,203.0
Central Conn. St. (NEC),13,11-2,276,178,5,2622,9.50,14.73,20,201.7
Elon (CAA),11,5-6,318,185,7,2212,6.96,11.96,16,201.1
Jackson St. (SWAC),12,4-8,359,189,13,2408,6.71,12.74,22,200.7
Bucknell (Patriot),11,3-8,426,229,10,2187,5.13,9.55,10,198.8
Grambling (SWAC),11,6-5,348,209,9,2187,6.28,10.46,15,198.8
Drake (Pioneer),11,6-5,308,183,14,2165,7.03,11.83,21,196.8
Georgetown (Patriot),11,5-6,286,172,7,2157,7.54,12.54,15,196.1
South Dakota St. (MVFC),13,8-5,294,185,7,2544,8.65,13.75,21,195.7
Morgan St. (MEAC),12,3-9,312,164,18,2338,7.49,14.26,16,194.8
New Hampshire (CAA),11,6-5,339,194,14,2140,6.31,11.03,12,194.5
Chattanooga (SoCon),12,6-6,340,180,12,2306,6.78,12.81,15,192.2
Youngstown St. (MVFC),12,6-6,297,166,8,2289,7.71,13.79,21,190.8
Lamar University (Southland),12,4-8,339,185,9,2288,6.75,12.37,8,190.7
Delaware (CAA),12,5-7,321,188,9,2273,7.08,12.09,20,189.4
Campbell (Big South),11,6-5,276,152,10,2082,7.54,13.70,18,189.3
Weber St. (Big Sky),15,11-4,447,266,11,2829,6.33,10.64,21,188.6
Columbia (Ivy League),10,3-7,318,187,11,1882,5.92,10.06,11,188.2
UNI (MVFC),15,10-5,384,203,8,2778,7.23,13.68,20,185.2
Southern Ill. (MVFC),12,7-5,271,171,10,2222,8.20,12.99,18,185.2
N.C. Central (MEAC),12,4-8,382,194,10,2197,5.75,11.32,13,183.1
North Dakota St. (MVFC),16,16-0,304,202,1,2911,9.58,14.41,29,181.9
Wagner (NEC),12,1-11,382,221,13,2162,5.66,9.78,10,180.2
Western Caro. (SoCon),12,3-9,325,207,11,2142,6.59,10.35,12,178.5
Southern U. (SWAC),13,8-5,345,206,14,2273,6.59,11.03,17,174.8
Howard (MEAC),12,2-10,353,188,13,2088,5.92,11.11,15,174.0
Bryant (NEC),12,4-8,385,219,10,2053,5.33,9.37,8,171.1
Eastern Ill. (OVC),12,1-11,449,228,12,2048,4.56,8.98,11,170.7
Duquesne (NEC),11,6-5,303,162,15,1877,6.19,11.59,15,170.6
Colgate (Patriot),12,4-8,322,188,7,2036,6.32,10.83,7,169.7
Montana St. (Big Sky),15,11-4,380,225,5,2527,6.65,11.23,20,168.5
Indiana St. (MVFC),12,5-7,307,195,10,2001,6.52,10.26,10,166.8
Bethune-Cookman (MEAC),11,7-4,278,150,6,1806,6.50,12.04,11,164.2
ETSU (SoCon),12,3-9,317,177,7,1968,6.21,11.12,13,164.0
Presbyterian (Big South),12,2-10,334,185,15,1953,5.85,10.56,11,162.8
Valparaiso (Pioneer),12,1-11,387,180,20,1951,5.04,10.84,12,162.6
Eastern Ky. (OVC),12,7-5,331,175,13,1904,5.75,10.88,9,158.7
Robert Morris (NEC),12,7-5,263,139,9,1902,7.23,13.68,16,158.5
Butler (Pioneer),12,3-9,334,183,11,1868,5.59,10.21,8,155.7
William & Mary (CAA),12,5-7,276,141,10,1859,6.74,13.18,9,154.9
Furman (SoCon),13,8-5,249,131,7,1880,7.55,14.35,16,144.6
Delaware St. (MEAC),12,2-10,317,145,12,1720,5.43,11.86,12,143.3
LIU (NEC),10,0-10,240,123,11,1396,5.82,11.35,5,139.6
Cal Poly (Big Sky),11,3-8,131,74,5,1340,10.23,18.11,14,121.8
Illinois St. (MVFC),15,10-5,268,132,15,1767,6.59,13.39,10,117.8
Mississippi Val. (SWAC),11,2-9,341,154,9,1231,3.61,7.99,11,111.9
Davidson (Pioneer),12,8-4,144,72,5,1335,9.27,18.54,12,111.2
Wofford (SoCon),12,8-4,151,84,6,1290,8.54,15.36,8,107.5
The Citadel (SoCon),12,6-6,128,65,5,1195,9.34,18.38,14,99.6
Jacksonville (Pioneer),12,3-9,110,53,5,984,8.95,18.57,8,82.0
Kennesaw St. (Big South),14,11-3,117,52,4,1114,9.52,21.42,11,79.6
North Ala. (FCS Independent),11,4-7,366,198,8,3135,8.57,15.83,20,285.0
Merrimack (NEC),11,6-5,369,205,10,2266,6.14,11.05,17,206.0
