Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
James Madison (CAA),16,14-2,16,18,0.889
Wofford (SoCon),12,8-4,14,16,0.875
Alcorn (SWAC),13,9-4,8,10,0.800
Delaware (CAA),12,5-7,8,10,0.800
Cal Poly (Big Sky),11,3-8,20,27,0.741
North Dakota St. (MVFC),16,16-0,13,19,0.684
Samford (SoCon),12,5-7,23,34,0.676
N.C. A&T (MEAC),12,9-3,6,9,0.667
Campbell (Big South),11,6-5,18,28,0.643
Abilene Christian (Southland),12,5-7,16,25,0.640
Dayton (Pioneer),11,8-3,12,19,0.632
Montana St. (Big Sky),15,11-4,22,35,0.629
New Hampshire (CAA),11,6-5,10,16,0.625
Yale (Ivy League),10,9-1,10,16,0.625
Davidson (Pioneer),12,8-4,28,45,0.622
Austin Peay (OVC),15,11-4,18,29,0.621
VMI (SoCon),12,5-7,18,29,0.621
Kennesaw St. (Big South),14,11-3,21,34,0.618
The Citadel (SoCon),12,6-6,21,34,0.618
Southeastern La. (Southland),13,8-5,24,39,0.615
Duquesne (NEC),11,6-5,8,13,0.615
Jacksonville (Pioneer),12,3-9,21,35,0.600
Southern U. (SWAC),13,8-5,9,15,0.600
Western Caro. (SoCon),12,3-9,14,24,0.583
Lamar University (Southland),12,4-8,11,19,0.579
Cornell (Ivy League),10,4-6,12,21,0.571
Monmouth (Big South),14,11-3,17,30,0.567
Sam Houston (Southland),12,7-5,13,23,0.565
Jacksonville St. (OVC),12,6-6,14,25,0.560
Norfolk St. (MEAC),12,5-7,14,25,0.560
Sacramento St. (Big Sky),13,9-4,14,25,0.560
Weber St. (Big Sky),15,11-4,14,25,0.560
Robert Morris (NEC),12,7-5,11,20,0.550
Stetson (Pioneer),11,7-4,11,20,0.550
Eastern Ill. (OVC),12,1-11,28,51,0.549
UAlbany (CAA),14,9-5,14,26,0.538
Elon (CAA),11,5-6,7,13,0.538
Texas Southern (SWAC),11,0-11,15,28,0.536
Central Conn. St. (NEC),13,11-2,9,17,0.529
Southern Utah (Big Sky),12,3-9,20,38,0.526
Fordham (Patriot),12,4-8,11,21,0.524
Columbia (Ivy League),10,3-7,13,25,0.520
McNeese (Southland),12,7-5,13,25,0.520
Portland St. (Big Sky),12,5-7,13,25,0.520
Morehead St. (Pioneer),12,5-7,14,27,0.519
Prairie View (SWAC),11,6-5,14,27,0.519
UC Davis (Big Sky),12,5-7,19,38,0.500
Southern Ill. (MVFC),12,7-5,14,28,0.500
Chattanooga (SoCon),12,6-6,10,20,0.500
Mercer (SoCon),12,4-8,10,20,0.500
Wagner (NEC),12,1-11,10,20,0.500
Houston Christian (Southland),12,5-7,9,18,0.500
Montana (Big Sky),14,10-4,9,18,0.500
Indiana St. (MVFC),12,5-7,8,16,0.500
ETSU (SoCon),12,3-9,7,14,0.500
Towson (CAA),12,7-5,5,10,0.500
Princeton (Ivy League),10,8-2,14,29,0.483
Penn (Ivy League),10,5-5,13,27,0.481
Ark.-Pine Bluff (SWAC),11,6-5,11,23,0.478
Villanova (CAA),13,9-4,10,21,0.476
Tennessee Tech (OVC),12,6-6,18,38,0.474
Furman (SoCon),13,8-5,9,19,0.474
Maine (CAA),12,6-6,8,17,0.471
San Diego (Pioneer),12,9-3,8,17,0.471
Tennessee St. (OVC),12,3-9,8,17,0.471
Northwestern St. (Southland),12,3-9,15,32,0.469
Dartmouth (Ivy League),10,9-1,6,13,0.462
South Carolina St. (MEAC),11,8-3,6,13,0.462
Alabama A&M (SWAC),12,7-5,11,24,0.458
Bethune-Cookman (MEAC),11,7-4,11,24,0.458
