Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Dayton (Pioneer),11,8-3,55,25,21,6,52,0.945
North Dakota (FCS Independent),12,7-5,35,14,11,8,33,0.943
Wofford (SoCon),12,8-4,46,32,2,9,43,0.935
Illinois St. (MVFC),15,10-5,41,18,7,13,38,0.927
Eastern Ky. (OVC),12,7-5,51,25,6,16,47,0.922
James Madison (CAA),16,14-2,84,36,21,20,77,0.917
Elon (CAA),11,5-6,35,15,8,9,32,0.914
Furman (SoCon),13,8-5,46,29,8,5,42,0.913
Davidson (Pioneer),12,8-4,54,38,7,4,49,0.907
Fordham (Patriot),12,4-8,40,14,13,9,36,0.900
Idaho St. (Big Sky),12,3-9,30,5,11,11,27,0.900
VMI (SoCon),12,5-7,47,22,9,11,42,0.894
Eastern Wash. (Big Sky),12,7-5,55,22,16,11,49,0.891
N.C. A&T (MEAC),12,9-3,53,18,10,19,47,0.887
Butler (Pioneer),12,3-9,35,18,6,7,31,0.886
Austin Peay (OVC),15,11-4,60,28,15,10,53,0.883
Southeast Mo. St. (OVC),13,9-4,51,19,13,13,45,0.882
Stetson (Pioneer),11,7-4,50,16,15,13,44,0.880
Jacksonville (Pioneer),12,3-9,33,21,4,4,29,0.879
San Diego (Pioneer),12,9-3,62,26,18,10,54,0.871
Towson (CAA),12,7-5,52,20,17,8,45,0.865
Weber St. (Big Sky),15,11-4,50,18,12,13,43,0.860
Southeastern La. (Southland),13,8-5,57,25,17,7,49,0.860
Lafayette (Patriot),12,4-8,28,10,7,7,24,0.857
Lamar University (Southland),12,4-8,35,16,3,11,30,0.857
Montana St. (Big Sky),15,11-4,63,35,11,8,54,0.857
Portland St. (Big Sky),12,5-7,49,22,13,7,42,0.857
SFA (Southland),12,3-9,42,12,8,16,36,0.857
UNI (MVFC),15,10-5,42,13,8,15,36,0.857
Youngstown St. (MVFC),12,6-6,35,17,8,5,30,0.857
