Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Kennesaw St. (Big South),14,11-3,761,4794,6.30,58,342.4
Davidson (Pioneer),12,8-4,720,3871,5.38,44,322.6
Wofford (SoCon),12,8-4,610,3669,6.01,42,305.8
North Dakota St. (MVFC),16,16-0,719,4601,6.40,50,287.6
Jacksonville (Pioneer),12,3-9,630,3295,5.23,30,274.6
The Citadel (SoCon),12,6-6,738,3218,4.36,31,268.2
Furman (SoCon),13,8-5,582,3454,5.93,39,265.7
Montana St. (Big Sky),15,11-4,681,3871,5.68,44,258.1
Cal Poly (Big Sky),11,3-8,660,2800,4.24,21,254.5
James Madison (CAA),16,14-2,782,3886,4.97,43,242.9
N.C. A&T (MEAC),12,9-3,478,2817,5.89,34,234.8
Southern Ill. (MVFC),12,7-5,545,2801,5.14,28,233.4
Southern U. (SWAC),13,8-5,565,2972,5.26,36,228.6
Stetson (Pioneer),11,7-4,424,2452,5.78,22,222.9
Dayton (Pioneer),11,8-3,399,2413,6.05,29,219.4
Prairie View (SWAC),11,6-5,446,2389,5.36,27,217.2
Central Conn. St. (NEC),13,11-2,535,2785,5.21,33,214.2
Grambling (SWAC),11,6-5,454,2334,5.14,21,212.2
Eastern Wash. (Big Sky),12,7-5,471,2493,5.29,29,207.8
Eastern Ky. (OVC),12,7-5,520,2466,4.74,29,205.5
Monmouth (Big South),14,11-3,537,2869,5.34,33,204.9
Stony Brook (CAA),12,5-7,507,2414,4.76,19,201.2
South Dakota St. (MVFC),13,8-5,480,2576,5.37,26,198.2
Chattanooga (SoCon),12,6-6,496,2372,4.78,26,197.7
Nicholls (Southland),14,9-5,584,2759,4.72,36,197.1
Portland St. (Big Sky),12,5-7,521,2349,4.51,24,195.8
Villanova (CAA),13,9-4,481,2523,5.25,25,194.1
Jackson St. (SWAC),12,4-8,503,2255,4.48,16,187.9
Youngstown St. (MVFC),12,6-6,497,2249,4.53,26,187.4
William & Mary (CAA),12,5-7,527,2232,4.24,26,186.0
South Dakota (MVFC),12,5-7,486,2226,4.58,20,185.5
Campbell (Big South),11,6-5,470,2028,4.31,22,184.4
Illinois St. (MVFC),15,10-5,645,2733,4.24,24,182.2
Austin Peay (OVC),15,11-4,596,2694,4.52,34,179.6
Indiana St. (MVFC),12,5-7,502,2148,4.28,16,179.0
San Diego (Pioneer),12,9-3,413,2129,5.15,28,177.4
Hampton (Big South),12,5-7,454,2067,4.55,19,172.2
Lamar University (Southland),12,4-8,538,2067,3.84,18,172.2
ETSU (SoCon),12,3-9,425,2062,4.85,15,171.8
Duquesne (NEC),11,6-5,469,1890,4.03,14,171.8
Sacramento St. (Big Sky),13,9-4,471,2201,4.67,29,169.3
Abilene Christian (Southland),12,5-7,448,2027,4.52,22,168.9
Dartmouth (Ivy League),10,9-1,366,1670,4.56,17,167.0
McNeese (Southland),12,7-5,560,1984,3.54,12,165.3
Princeton (Ivy League),10,8-2,386,1647,4.27,23,164.7
Samford (SoCon),12,5-7,488,1974,4.05,22,164.5
Idaho (Big Sky),12,5-7,477,1966,4.12,16,163.8
Morehead St. (Pioneer),12,5-7,469,1957,4.17,20,163.1
Bethune-Cookman (MEAC),11,7-4,394,1785,4.53,20,162.3
Southeast Mo. St. (OVC),13,9-4,483,2102,4.35,24,161.7
Ark.-Pine Bluff (SWAC),11,6-5,411,1772,4.31,22,161.1
Sacred Heart (NEC),12,7-5,464,1932,4.16,15,161.0
Yale (Ivy League),10,9-1,380,1585,4.17,18,158.5
Alabama A&M (SWAC),12,7-5,448,1873,4.18,21,156.1
Delaware (CAA),12,5-7,441,1873,4.25,12,156.1
Alcorn (SWAC),13,9-4,481,2019,4.20,21,155.3
Towson (CAA),12,7-5,423,1855,4.39,22,154.6
Butler (Pioneer),12,3-9,424,1842,4.34,20,153.5
Brown (Ivy League),10,2-8,352,1534,4.36,18,153.4
Harvard (Ivy League),10,4-6,373,1532,4.11,19,153.2
Charleston So. (Big South),12,6-6,429,1836,4.28,12,153.0
Weber St. (Big Sky),15,11-4,560,2262,4.04,27,150.8
Texas Southern (SWAC),11,0-11,455,1658,3.64,15,150.7
Idaho St. (Big Sky),12,3-9,451,1769,3.92,9,147.4
Georgetown (Patriot),11,5-6,423,1621,3.83,20,147.4
Sam Houston (Southland),12,7-5,503,1763,3.50,24,146.9
Western Caro. (SoCon),12,3-9,447,1758,3.93,14,146.5
Drake (Pioneer),11,6-5,399,1608,4.03,17,146.2
Norfolk St. (MEAC),12,5-7,456,1736,3.81,19,144.7
Penn (Ivy League),10,5-5,349,1441,4.13,13,144.1
South Carolina St. (MEAC),11,8-3,423,1567,3.70,16,142.5
New Hampshire (CAA),11,6-5,387,1566,4.05,11,142.4
Mississippi Val. (SWAC),11,2-9,429,1565,3.65,10,142.3
Mercer (SoCon),12,4-8,406,1707,4.20,17,142.2
Tennessee Tech (OVC),12,6-6,489,1700,3.48,17,141.7
Delaware St. (MEAC),12,2-10,435,1689,3.88,14,140.8
Tennessee St. (OVC),12,3-9,432,1673,3.87,19,139.4
Cornell (Ivy League),10,4-6,358,1388,3.88,15,138.8
Montana (Big Sky),14,10-4,492,1942,3.95,33,138.7
Richmond (CAA),12,5-7,410,1645,4.01,14,137.1
Holy Cross (Patriot),13,7-6,434,1767,4.07,18,135.9
Fordham (Patriot),12,4-8,455,1599,3.51,17,133.2
UIW (Southland),12,5-7,405,1587,3.92,19,132.2
Robert Morris (NEC),12,7-5,419,1586,3.79,12,132.2
UAlbany (CAA),14,9-5,452,1840,4.07,13,131.4
Presbyterian (Big South),12,2-10,415,1574,3.79,14,131.2
Southeastern La. (Southland),13,8-5,438,1696,3.87,27,130.5
Maine (CAA),12,6-6,397,1545,3.89,12,128.8
Houston Christian (Southland),12,5-7,348,1540,4.43,13,128.3
Howard (MEAC),12,2-10,482,1540,3.20,13,128.3
N.C. Central (MEAC),12,4-8,414,1512,3.65,11,126.0
UC Davis (Big Sky),12,5-7,355,1486,4.19,13,123.8
Jacksonville St. (OVC),12,6-6,400,1481,3.70,16,123.4
Northern Ariz. (Big Sky),12,4-8,376,1477,3.93,21,123.1
Colgate (Patriot),12,4-8,455,1471,3.23,15,122.6
North Dakota (FCS Independent),12,7-5,348,1462,4.20,18,121.8
Morgan St. (MEAC),12,3-9,450,1453,3.23,9,121.1
VMI (SoCon),12,5-7,385,1448,3.76,25,120.7
Murray St. (OVC),12,4-8,380,1440,3.79,8,120.0
Elon (CAA),11,5-6,397,1312,3.30,17,119.3
Southern Utah (Big Sky),12,3-9,455,1391,3.06,19,115.9
Lafayette (Patriot),12,4-8,405,1361,3.36,13,113.4
Alabama St. (SWAC),11,5-6,395,1243,3.15,10,113.0
UNI (MVFC),15,10-5,530,1663,3.14,13,110.9
UT Martin (OVC),12,7-5,397,1317,3.32,16,109.8
Columbia (Ivy League),10,3-7,378,1092,2.89,11,109.2
SFA (Southland),12,3-9,432,1307,3.03,14,108.9
Western Ill. (MVFC),12,1-11,420,1303,3.10,8,108.6
Northern Colo. (Big Sky),12,2-10,421,1280,3.04,12,106.7
Florida A&M (MEAC),11,9-2,354,1164,3.29,15,105.8
Eastern Ill. (OVC),12,1-11,408,1268,3.11,11,105.7
Marist (Pioneer),11,4-7,318,1155,3.63,16,105.0
Saint Francis (PA) (NEC),12,6-6,381,1203,3.16,10,100.2
Gardner-Webb (Big South),12,3-9,392,1194,3.05,13,99.5
Bryant (NEC),12,4-8,405,1177,2.91,13,98.1
Valparaiso (Pioneer),12,1-11,413,1159,2.81,9,96.6
Rhode Island (CAA),12,2-10,324,1109,3.42,11,92.4
Central Ark. (Southland),13,9-4,383,1154,3.01,9,88.8
Bucknell (Patriot),11,3-8,335,908,2.71,6,82.5
Northwestern St. (Southland),12,3-9,331,959,2.90,12,79.9
Lehigh (Patriot),11,4-7,348,850,2.44,9,77.3
Missouri St. (MVFC),11,1-10,334,815,2.44,5,74.1
LIU (NEC),10,0-10,336,605,1.80,6,60.5
Wagner (NEC),12,1-11,322,710,2.20,9,59.2
Merrimack (NEC),11,6-5,376,1788,4.76,23,162.5
North Ala. (FCS Independent),11,4-7,309,933,3.02,13,84.8
