Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
North Dakota St. (MVFC),16,16-0,21,19,1,0,16,1,588,12.3
Dartmouth (Ivy League),10,9-1,13,9,2,0,11,0,331,12.4
James Madison (CAA),16,14-2,31,29,0,0,12,0,640,15.7
Illinois St. (MVFC),15,10-5,29,25,0,0,13,1,295,16.0
Georgetown (Patriot),11,5-6,23,17,2,0,8,0,256,16.6
South Dakota St. (MVFC),13,8-5,26,21,2,0,12,0,378,16.7
UNI (MVFC),15,10-5,30,27,1,0,18,1,315,17.7
Sam Houston (Southland),12,7-5,26,22,1,0,11,0,375,17.8
Princeton (Ivy League),10,8-2,23,19,0,0,8,0,320,18.1
Kennesaw St. (Big South),14,11-3,32,29,1,0,13,0,530,18.7
New Hampshire (CAA),11,6-5,27,23,0,0,12,0,222,20.1
Central Conn. St. (NEC),13,11-2,35,28,3,0,6,0,434,20.2
South Carolina St. (MEAC),11,8-3,28,26,0,0,9,1,329,20.3
Furman (SoCon),13,8-5,34,31,1,0,10,0,425,20.5
Austin Peay (OVC),15,11-4,37,34,1,0,17,0,518,20.6
Davidson (Pioneer),12,8-4,32,27,1,0,9,0,418,20.7
Cornell (Ivy League),10,4-6,28,22,1,0,5,0,202,20.7
N.C. A&T (MEAC),12,9-3,33,27,0,0,8,0,447,20.8
Weber St. (Big Sky),15,11-4,37,36,0,0,18,0,413,20.8
Lehigh (Patriot),11,4-7,30,26,1,0,9,0,173,21.4
Saint Francis (PA) (NEC),12,6-6,31,28,1,0,15,0,300,21.8
Eastern Ky. (OVC),12,7-5,33,30,0,0,12,0,331,22.0
Montana St. (Big Sky),15,11-4,45,41,1,0,6,0,488,22.1
Wofford (SoCon),12,8-4,36,32,1,0,5,0,387,22.1
Sacred Heart (NEC),12,7-5,31,30,0,0,17,0,295,22.2
Grambling (SWAC),11,6-5,31,23,2,0,11,0,325,22.4
Sacramento St. (Big Sky),13,9-4,38,33,1,0,9,1,456,22.5
San Diego (Pioneer),12,9-3,37,29,1,0,6,0,462,22.6
Harvard (Ivy League),10,4-6,29,24,0,0,10,0,296,22.8
Indiana St. (MVFC),12,5-7,35,32,1,0,10,0,235,22.8
Southern Ill. (MVFC),12,7-5,38,33,0,0,5,0,339,23.0
Alcorn (SWAC),13,9-4,39,30,2,1,10,0,433,23.1
Towson (CAA),12,7-5,34,34,0,0,14,1,361,23.5
Duquesne (NEC),11,6-5,33,27,1,0,11,0,243,23.6
Holy Cross (Patriot),13,7-6,39,35,1,0,15,0,295,24.3
UT Martin (OVC),12,7-5,40,37,1,0,6,1,307,24.9
Southeast Mo. St. (OVC),13,9-4,41,37,0,1,13,0,358,24.9
Montana (Big Sky),14,10-4,45,40,1,0,13,0,508,25.1
Robert Morris (NEC),12,7-5,38,36,0,0,12,1,267,25.2
Drake (Pioneer),11,6-5,36,35,1,0,8,1,271,25.4
UAlbany (CAA),14,9-5,45,42,1,0,13,2,437,25.5
Bethune-Cookman (MEAC),11,7-4,39,30,2,0,5,1,264,25.9
McNeese (Southland),12,7-5,39,34,1,0,13,1,311,25.9
Southern U. (SWAC),13,8-5,43,40,2,0,10,3,423,26.0
Villanova (CAA),13,9-4,44,41,2,0,10,0,485,26.1
ETSU (SoCon),12,3-9,42,38,0,0,8,0,237,26.2
Stetson (Pioneer),11,7-4,36,34,0,0,12,1,350,26.2
