Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Davidson (Pioneer),12,8-4,4,29,0.33
Wofford (SoCon),12,8-4,4,6,0.33
Kennesaw St. (Big South),14,11-3,9,43,0.64
Florida A&M (MEAC),11,9-2,8,58,0.73
North Dakota St. (MVFC),16,16-0,13,59,0.81
Sacred Heart (NEC),12,7-5,11,70,0.92
Montana St. (Big Sky),15,11-4,14,95,0.93
Austin Peay (OVC),15,11-4,15,85,1.00
Dayton (Pioneer),11,8-3,11,52,1.00
Villanova (CAA),13,9-4,14,92,1.08
Jacksonville (Pioneer),12,3-9,13,82,1.08
N.C. A&T (MEAC),12,9-3,13,77,1.08
San Diego (Pioneer),12,9-3,13,79,1.08
Stetson (Pioneer),11,7-4,12,73,1.09
Chattanooga (SoCon),12,6-6,14,68,1.17
UC Davis (Big Sky),12,5-7,14,93,1.17
Sacramento St. (Big Sky),13,9-4,16,103,1.23
Valparaiso (Pioneer),12,1-11,15,99,1.25
Prairie View (SWAC),11,6-5,15,101,1.36
Dartmouth (Ivy League),10,9-1,14,73,1.40
Stony Brook (CAA),12,5-7,17,102,1.42
Furman (SoCon),13,8-5,19,124,1.46
Weber St. (Big Sky),15,11-4,22,131,1.47
Northern Ariz. (Big Sky),12,4-8,18,138,1.50
Saint Francis (PA) (NEC),12,6-6,18,113,1.50
The Citadel (SoCon),12,6-6,18,72,1.50
Duquesne (NEC),11,6-5,17,108,1.55
Butler (Pioneer),12,3-9,19,126,1.58
Mercer (SoCon),12,4-8,19,123,1.58
North Dakota (FCS Independent),12,7-5,19,123,1.58
Penn (Ivy League),10,5-5,16,97,1.60
Princeton (Ivy League),10,8-2,16,116,1.60
Ark.-Pine Bluff (SWAC),11,6-5,18,121,1.64
Drake (Pioneer),11,6-5,18,116,1.64
Marist (Pioneer),11,4-7,18,159,1.64
Hampton (Big South),12,5-7,20,128,1.67
Georgetown (Patriot),11,5-6,19,129,1.73
New Hampshire (CAA),11,6-5,19,122,1.73
South Carolina St. (MEAC),11,8-3,19,118,1.73
ETSU (SoCon),12,3-9,21,118,1.75
James Madison (CAA),16,14-2,28,160,1.75
Robert Morris (NEC),12,7-5,21,150,1.75
Tennessee St. (OVC),12,3-9,21,132,1.75
Southeastern La. (Southland),13,8-5,23,149,1.77
Delaware St. (MEAC),12,2-10,22,133,1.83
Monmouth (Big South),14,11-3,26,188,1.86
Alabama St. (SWAC),11,5-6,21,122,1.91
Idaho St. (Big Sky),12,3-9,23,141,1.92
Morehead St. (Pioneer),12,5-7,23,109,1.92
Presbyterian (Big South),12,2-10,23,115,1.92
Alcorn (SWAC),13,9-4,26,194,2.00
Charleston So. (Big South),12,6-6,24,145,2.00
Cornell (Ivy League),10,4-6,20,135,2.00
Eastern Ky. (OVC),12,7-5,24,150,2.00
Illinois St. (MVFC),15,10-5,30,186,2.00
Richmond (CAA),12,5-7,24,134,2.00
Central Conn. St. (NEC),13,11-2,27,180,2.08
Alabama A&M (SWAC),12,7-5,25,172,2.08
Northwestern St. (Southland),12,3-9,25,132,2.08
Columbia (Ivy League),10,3-7,21,159,2.10
Yale (Ivy League),10,9-1,21,137,2.10
Norfolk St. (MEAC),12,5-7,26,147,2.17
Rhode Island (CAA),12,2-10,26,192,2.17
Grambling (SWAC),11,6-5,24,129,2.18
UNI (MVFC),15,10-5,33,217,2.20
Nicholls (Southland),14,9-5,31,182,2.21
Southeast Mo. St. (OVC),13,9-4,29,185,2.23
Murray St. (OVC),12,4-8,27,236,2.25
Samford (SoCon),12,5-7,27,192,2.25
Bryant (NEC),12,4-8,28,170,2.33
Eastern Ill. (OVC),12,1-11,28,194,2.33
Northern Colo. (Big Sky),12,2-10,28,202,2.33
Missouri St. (MVFC),11,1-10,26,133,2.36
South Dakota St. (MVFC),13,8-5,31,179,2.38
Southern U. (SWAC),13,8-5,31,170,2.38
Houston Christian (Southland),12,5-7,29,170,2.42
Jacksonville St. (OVC),12,6-6,29,185,2.42
N.C. Central (MEAC),12,4-8,29,179,2.42
Wagner (NEC),12,1-11,29,218,2.42
Abilene Christian (Southland),12,5-7,30,191,2.50
Eastern Wash. (Big Sky),12,7-5,30,203,2.50
Harvard (Ivy League),10,4-6,25,138,2.50
Indiana St. (MVFC),12,5-7,30,196,2.50
Maine (CAA),12,6-6,30,145,2.50
South Dakota (MVFC),12,5-7,30,192,2.50
UAlbany (CAA),14,9-5,35,217,2.50
William & Mary (CAA),12,5-7,30,179,2.50
Holy Cross (Patriot),13,7-6,33,183,2.54
Cal Poly (Big Sky),11,3-8,28,154,2.55
Lamar University (Southland),12,4-8,31,200,2.58
Southern Ill. (MVFC),12,7-5,31,160,2.58
Youngstown St. (MVFC),12,6-6,31,222,2.58
Central Ark. (Southland),13,9-4,34,197,2.62
Bethune-Cookman (MEAC),11,7-4,29,196,2.64
Bucknell (Patriot),11,3-8,29,200,2.64
Mississippi Val. (SWAC),11,2-9,29,146,2.64
