Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Sam Houston (Southland),12,7-5,32,166,2.67
Southern Utah (Big Sky),12,3-9,32,219,2.67
Western Caro. (SoCon),12,3-9,32,191,2.67
Montana (Big Sky),14,10-4,38,213,2.71
Morgan St. (MEAC),12,3-9,33,211,2.75
Tennessee Tech (OVC),12,6-6,33,178,2.75
Campbell (Big South),11,6-5,31,205,2.82
SFA (Southland),12,3-9,34,195,2.83
VMI (SoCon),12,5-7,34,213,2.83
Idaho (Big Sky),12,5-7,35,233,2.92
Portland St. (Big Sky),12,5-7,35,185,2.92
Texas Southern (SWAC),11,0-11,33,212,3.00
Towson (CAA),12,7-5,36,260,3.00
Delaware (CAA),12,5-7,37,249,3.08
McNeese (Southland),12,7-5,37,212,3.08
UT Martin (OVC),12,7-5,38,225,3.17
Elon (CAA),11,5-6,35,229,3.18
Jackson St. (SWAC),12,4-8,39,213,3.25
UIW (Southland),12,5-7,41,260,3.42
Brown (Ivy League),10,2-8,35,256,3.50
Gardner-Webb (Big South),12,3-9,42,267,3.50
LIU (NEC),10,0-10,35,255,3.50
Lafayette (Patriot),12,4-8,44,255,3.67
Western Ill. (MVFC),12,1-11,44,320,3.67
Lehigh (Patriot),11,4-7,41,282,3.73
Fordham (Patriot),12,4-8,45,331,3.75
Colgate (Patriot),12,4-8,49,301,4.08
Howard (MEAC),12,2-10,59,330,4.92
Merrimack (NEC),11,6-5,22,137,2.00
North Ala. (FCS Independent),11,4-7,28,194,2.55
