Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Princeton (Ivy League),10,8-2,35,274,27.40
Dartmouth (Ivy League),10,9-1,37,311,31.10
Samford (SoCon),12,5-7,43,408,34.00
Drake (Pioneer),11,6-5,46,398,36.18
Davidson (Pioneer),12,8-4,51,446,37.17
Furman (SoCon),13,8-5,52,485,37.31
Lehigh (Patriot),11,4-7,47,416,37.82
Delaware (CAA),12,5-7,47,458,38.17
Butler (Pioneer),12,3-9,59,472,39.33
Presbyterian (Big South),12,2-10,56,475,39.58
Mercer (SoCon),12,4-8,60,484,40.33
Lafayette (Patriot),12,4-8,61,488,40.67
New Hampshire (CAA),11,6-5,54,456,41.45
Gardner-Webb (Big South),12,3-9,60,501,41.75
Georgetown (Patriot),11,5-6,56,466,42.36
Indiana St. (MVFC),12,5-7,57,511,42.58
VMI (SoCon),12,5-7,61,511,42.58
Eastern Ill. (OVC),12,1-11,61,513,42.75
Monmouth (Big South),14,11-3,71,602,43.00
Valparaiso (Pioneer),12,1-11,58,521,43.42
Illinois St. (MVFC),15,10-5,72,652,43.47
Harvard (Ivy League),10,4-6,54,438,43.80
Mississippi Val. (SWAC),11,2-9,61,486,44.18
North Dakota (FCS Independent),12,7-5,65,538,44.83
UNI (MVFC),15,10-5,75,675,45.00
Missouri St. (MVFC),11,1-10,59,496,45.09
Elon (CAA),11,5-6,58,501,45.55
Montana St. (Big Sky),15,11-4,77,690,46.00
Wofford (SoCon),12,8-4,69,563,46.92
Texas Southern (SWAC),11,0-11,61,517,47.00
Villanova (CAA),13,9-4,69,611,47.00
Chattanooga (SoCon),12,6-6,60,568,47.33
Richmond (CAA),12,5-7,65,568,47.33
Idaho St. (Big Sky),12,3-9,58,571,47.58
Charleston So. (Big South),12,6-6,75,574,47.83
Weber St. (Big Sky),15,11-4,84,726,48.40
Towson (CAA),12,7-5,72,582,48.50
UT Martin (OVC),12,7-5,59,582,48.50
Tennessee Tech (OVC),12,6-6,66,588,49.00
Holy Cross (Patriot),13,7-6,72,643,49.46
Sacramento St. (Big Sky),13,9-4,69,646,49.69
Bucknell (Patriot),11,3-8,61,551,50.09
Columbia (Ivy League),10,3-7,54,503,50.30
Western Caro. (SoCon),12,3-9,73,608,50.67
Jacksonville (Pioneer),12,3-9,62,609,50.75
Wagner (NEC),12,1-11,77,609,50.75
Cornell (Ivy League),10,4-6,57,508,50.80
Brown (Ivy League),10,2-8,61,509,50.90
The Citadel (SoCon),12,6-6,65,614,51.17
Central Ark. (Southland),13,9-4,78,668,51.38
South Dakota St. (MVFC),13,8-5,76,669,51.46
Southern Ill. (MVFC),12,7-5,63,627,52.25
Fordham (Patriot),12,4-8,80,628,52.33
UAlbany (CAA),14,9-5,91,733,52.36
Howard (MEAC),12,2-10,79,631,52.58
James Madison (CAA),16,14-2,83,843,52.69
Northern Colo. (Big Sky),12,2-10,73,633,52.75
Penn (Ivy League),10,5-5,68,528,52.80
Western Ill. (MVFC),12,1-11,83,637,53.08
Stetson (Pioneer),11,7-4,69,589,53.55
ETSU (SoCon),12,3-9,63,646,53.83
Colgate (Patriot),12,4-8,72,648,54.00
SFA (Southland),12,3-9,71,652,54.33
Cal Poly (Big Sky),11,3-8,63,598,54.36
North Dakota St. (MVFC),16,16-0,97,871,54.44
Robert Morris (NEC),12,7-5,69,655,54.58
Dayton (Pioneer),11,8-3,60,602,54.73
Nicholls (Southland),14,9-5,88,778,55.57
William & Mary (CAA),12,5-7,76,674,56.17
Morgan St. (MEAC),12,3-9,75,676,56.33
UC Davis (Big Sky),12,5-7,79,685,57.08
Northern Ariz. (Big Sky),12,4-8,72,689,57.42
Bryant (NEC),12,4-8,85,696,58.00
Kennesaw St. (Big South),14,11-3,83,815,58.21
Montana (Big Sky),14,10-4,76,823,58.79
Yale (Ivy League),10,9-1,66,588,58.80
Duquesne (NEC),11,6-5,71,651,59.18
Eastern Ky. (OVC),12,7-5,74,717,59.75
Rhode Island (CAA),12,2-10,87,717,59.75
Murray St. (OVC),12,4-8,78,720,60.00
Alabama A&M (SWAC),12,7-5,92,728,60.67
South Carolina St. (MEAC),11,8-3,76,672,61.09
Lamar University (Southland),12,4-8,77,735,61.25
Tennessee St. (OVC),12,3-9,95,746,62.17
LIU (NEC),10,0-10,68,622,62.20
Abilene Christian (Southland),12,5-7,86,763,63.58
Alabama St. (SWAC),11,5-6,74,705,64.09
Ark.-Pine Bluff (SWAC),11,6-5,75,712,64.73
Marist (Pioneer),11,4-7,82,714,64.91
Jacksonville St. (OVC),12,6-6,81,782,65.17
Youngstown St. (MVFC),12,6-6,77,782,65.17
Saint Francis (PA) (NEC),12,6-6,77,786,65.50
Portland St. (Big Sky),12,5-7,91,804,67.00
Northwestern St. (Southland),12,3-9,81,806,67.17
Southern U. (SWAC),13,8-5,88,874,67.23
Southeastern La. (Southland),13,8-5,98,877,67.46
Morehead St. (Pioneer),12,5-7,85,819,68.25
Central Conn. St. (NEC),13,11-2,93,894,68.77
Southern Utah (Big Sky),12,3-9,89,828,69.00
Southeast Mo. St. (OVC),13,9-4,97,907,69.77
Alcorn (SWAC),13,9-4,108,912,70.15
N.C. A&T (MEAC),12,9-3,95,852,71.00
Stony Brook (CAA),12,5-7,91,859,71.58
San Diego (Pioneer),12,9-3,87,890,74.17
Jackson St. (SWAC),12,4-8,103,896,74.67
Campbell (Big South),11,6-5,94,823,74.82
Idaho (Big Sky),12,5-7,104,911,75.92
Sacred Heart (NEC),12,7-5,93,913,76.08
South Dakota (MVFC),12,5-7,94,925,77.08
Norfolk St. (MEAC),12,5-7,99,929,77.42
Grambling (SWAC),11,6-5,84,852,77.45
Sam Houston (Southland),12,7-5,100,931,77.58
Eastern Wash. (Big Sky),12,7-5,98,940,78.33
Hampton (Big South),12,5-7,104,942,78.50
McNeese (Southland),12,7-5,107,979,81.58
Bethune-Cookman (MEAC),11,7-4,94,918,83.45
UIW (Southland),12,5-7,112,1002,83.50
Maine (CAA),12,6-6,103,1003,83.58
Florida A&M (MEAC),11,9-2,105,938,85.27
N.C. Central (MEAC),12,4-8,118,1029,85.75
Austin Peay (OVC),15,11-4,134,1312,87.47
Houston Christian (Southland),12,5-7,121,1073,89.42
Delaware St. (MEAC),12,2-10,106,1136,94.67
Prairie View (SWAC),11,6-5,126,1082,98.36
North Ala. (FCS Independent),11,4-7,76,653,59.36
Merrimack (NEC),11,6-5,85,814,74.00
