Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Yale (Ivy League),10,9-1,4,17,0.235
Jackson St. (SWAC),12,4-8,5,17,0.294
LIU (NEC),10,0-10,3,10,0.300
Sam Houston (Southland),12,7-5,7,23,0.304
N.C. Central (MEAC),12,4-8,4,13,0.308
Fordham (Patriot),12,4-8,7,22,0.318
Duquesne (NEC),11,6-5,6,18,0.333
Eastern Ky. (OVC),12,7-5,7,21,0.333
Austin Peay (OVC),15,11-4,11,31,0.355
Illinois St. (MVFC),15,10-5,11,31,0.355
Grambling (SWAC),11,6-5,8,22,0.364
Hampton (Big South),12,5-7,4,11,0.364
Indiana St. (MVFC),12,5-7,8,22,0.364
UNI (MVFC),15,10-5,7,19,0.368
Morehead St. (Pioneer),12,5-7,9,24,0.375
Southern Utah (Big Sky),12,3-9,6,16,0.375
North Dakota St. (MVFC),16,16-0,10,26,0.385
Alcorn (SWAC),13,9-4,7,18,0.389
Portland St. (Big Sky),12,5-7,7,18,0.389
Harvard (Ivy League),10,4-6,9,23,0.391
Southeastern La. (Southland),13,8-5,11,28,0.393
Drake (Pioneer),11,6-5,9,22,0.409
Ark.-Pine Bluff (SWAC),11,6-5,7,17,0.412
Howard (MEAC),12,2-10,7,17,0.412
Jacksonville St. (OVC),12,6-6,7,17,0.412
South Dakota (MVFC),12,5-7,7,17,0.412
Dartmouth (Ivy League),10,9-1,12,29,0.414
Campbell (Big South),11,6-5,10,24,0.417
Southern Ill. (MVFC),12,7-5,10,24,0.417
Villanova (CAA),13,9-4,13,31,0.419
Alabama St. (SWAC),11,5-6,8,19,0.421
Wofford (SoCon),12,8-4,11,26,0.423
Eastern Wash. (Big Sky),12,7-5,14,33,0.424
Delaware St. (MEAC),12,2-10,9,21,0.429
Holy Cross (Patriot),13,7-6,12,28,0.429
James Madison (CAA),16,14-2,12,28,0.429
Southeast Mo. St. (OVC),13,9-4,13,30,0.433
Cornell (Ivy League),10,4-6,10,23,0.435
N.C. A&T (MEAC),12,9-3,7,16,0.438
Youngstown St. (MVFC),12,6-6,7,16,0.438
