Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Sam Houston (Southland),12,7-5,56,201,0.279
Saint Francis (PA) (NEC),12,6-6,52,176,0.295
James Madison (CAA),16,14-2,63,210,0.300
Indiana St. (MVFC),12,5-7,50,163,0.307
Eastern Ky. (OVC),12,7-5,52,168,0.310
UAlbany (CAA),14,9-5,59,190,0.311
Central Conn. St. (NEC),13,11-2,56,179,0.313
Stetson (Pioneer),11,7-4,54,171,0.316
Charleston So. (Big South),12,6-6,53,165,0.321
Cornell (Ivy League),10,4-6,45,140,0.321
Valparaiso (Pioneer),12,1-11,48,148,0.324
Davidson (Pioneer),12,8-4,45,138,0.326
Southern Ill. (MVFC),12,7-5,51,156,0.327
Weber St. (Big Sky),15,11-4,71,216,0.329
South Carolina St. (MEAC),11,8-3,55,167,0.329
Kennesaw St. (Big South),14,11-3,61,185,0.330
Duquesne (NEC),11,6-5,45,136,0.331
Alabama A&M (SWAC),12,7-5,59,178,0.331
Sacramento St. (Big Sky),13,9-4,69,206,0.335
North Dakota St. (MVFC),16,16-0,75,223,0.336
South Dakota St. (MVFC),13,8-5,63,187,0.337
Harvard (Ivy League),10,4-6,52,154,0.338
Princeton (Ivy League),10,8-2,47,139,0.338
Columbia (Ivy League),10,3-7,45,133,0.338
Austin Peay (OVC),15,11-4,79,233,0.339
Youngstown St. (MVFC),12,6-6,49,144,0.340
Illinois St. (MVFC),15,10-5,78,228,0.342
Wofford (SoCon),12,8-4,49,143,0.343
Montana (Big Sky),14,10-4,73,213,0.343
Montana St. (Big Sky),15,11-4,76,221,0.344
Prairie View (SWAC),11,6-5,57,165,0.345
McNeese (Southland),12,7-5,69,199,0.347
Lehigh (Patriot),11,4-7,61,174,0.351
Lamar University (Southland),12,4-8,60,171,0.351
N.C. A&T (MEAC),12,9-3,60,171,0.351
Nicholls (Southland),14,9-5,65,185,0.351
Southeast Mo. St. (OVC),13,9-4,69,196,0.352
Alabama St. (SWAC),11,5-6,56,159,0.352
Georgetown (Patriot),11,5-6,56,159,0.352
N.C. Central (MEAC),12,4-8,55,156,0.353
Yale (Ivy League),10,9-1,45,127,0.354
Hampton (Big South),12,5-7,52,146,0.356
Dartmouth (Ivy League),10,9-1,53,148,0.358
Idaho (Big Sky),12,5-7,61,170,0.359
Grambling (SWAC),11,6-5,60,167,0.359
Mississippi Val. (SWAC),11,2-9,59,164,0.360
Monmouth (Big South),14,11-3,63,175,0.360
Missouri St. (MVFC),11,1-10,51,141,0.362
SFA (Southland),12,3-9,64,175,0.366
Southeastern La. (Southland),13,8-5,72,195,0.369
New Hampshire (CAA),11,6-5,56,151,0.371
North Dakota (FCS Independent),12,7-5,64,172,0.372
Fordham (Patriot),12,4-8,59,158,0.373
Holy Cross (Patriot),13,7-6,77,203,0.379
Sacred Heart (NEC),12,7-5,66,174,0.379
Howard (MEAC),12,2-10,50,131,0.382
Villanova (CAA),13,9-4,73,191,0.382
Portland St. (Big Sky),12,5-7,63,164,0.384
Abilene Christian (Southland),12,5-7,75,195,0.385
Bryant (NEC),12,4-8,71,184,0.386
Jackson St. (SWAC),12,4-8,61,158,0.386
Bethune-Cookman (MEAC),11,7-4,62,160,0.388
Robert Morris (NEC),12,7-5,66,170,0.388
Maine (CAA),12,6-6,65,167,0.389
San Diego (Pioneer),12,9-3,64,164,0.390
Campbell (Big South),11,6-5,59,151,0.391
Rhode Island (CAA),12,2-10,56,143,0.392
Furman (SoCon),13,8-5,66,168,0.393
Central Ark. (Southland),13,9-4,78,198,0.394
Eastern Ill. (OVC),12,1-11,68,172,0.395
UNI (MVFC),15,10-5,92,232,0.397
Colgate (Patriot),12,4-8,60,151,0.397
Alcorn (SWAC),13,9-4,75,186,0.403
Eastern Wash. (Big Sky),12,7-5,79,195,0.405
Southern U. (SWAC),13,8-5,72,176,0.409
Ark.-Pine Bluff (SWAC),11,6-5,70,171,0.409
Lafayette (Patriot),12,4-8,69,168,0.411
VMI (SoCon),12,5-7,70,169,0.414
Chattanooga (SoCon),12,6-6,73,176,0.415
Northern Colo. (Big Sky),12,2-10,64,154,0.416
Marist (Pioneer),11,4-7,69,166,0.416
Bucknell (Patriot),11,3-8,63,151,0.417
Norfolk St. (MEAC),12,5-7,63,151,0.417
Elon (CAA),11,5-6,61,146,0.418
Northern Ariz. (Big Sky),12,4-8,74,177,0.418
Delaware St. (MEAC),12,2-10,73,174,0.420
UT Martin (OVC),12,7-5,77,183,0.421
UIW (Southland),12,5-7,80,189,0.423
The Citadel (SoCon),12,6-6,64,151,0.424
Richmond (CAA),12,5-7,76,179,0.425
Morgan St. (MEAC),12,3-9,74,174,0.425
Jacksonville St. (OVC),12,6-6,81,190,0.426
Texas Southern (SWAC),11,0-11,64,150,0.427
Western Ill. (MVFC),12,1-11,79,184,0.429
Wagner (NEC),12,1-11,68,158,0.430
Idaho St. (Big Sky),12,3-9,80,185,0.432
William & Mary (CAA),12,5-7,80,184,0.435
Northwestern St. (Southland),12,3-9,67,154,0.435
Houston Christian (Southland),12,5-7,81,186,0.435
Tennessee St. (OVC),12,3-9,73,167,0.437
Delaware (CAA),12,5-7,67,153,0.438
Samford (SoCon),12,5-7,85,194,0.438
Penn (Ivy League),10,5-5,68,155,0.439
Tennessee Tech (OVC),12,6-6,74,168,0.440
Gardner-Webb (Big South),12,3-9,71,161,0.441
Western Caro. (SoCon),12,3-9,66,149,0.443
Morehead St. (Pioneer),12,5-7,74,167,0.443
Stony Brook (CAA),12,5-7,77,173,0.445
Florida A&M (MEAC),11,9-2,72,161,0.447
South Dakota (MVFC),12,5-7,72,161,0.447
Drake (Pioneer),11,6-5,71,158,0.449
UC Davis (Big Sky),12,5-7,89,197,0.452
Cal Poly (Big Sky),11,3-8,59,130,0.454
ETSU (SoCon),12,3-9,74,163,0.454
Towson (CAA),12,7-5,80,176,0.455
Presbyterian (Big South),12,2-10,72,157,0.459
Mercer (SoCon),12,4-8,85,185,0.459
Murray St. (OVC),12,4-8,85,181,0.470
Southern Utah (Big Sky),12,3-9,79,165,0.479
LIU (NEC),10,0-10,64,130,0.492
Jacksonville (Pioneer),12,3-9,69,138,0.500
Butler (Pioneer),12,3-9,76,150,0.507
Brown (Ivy League),10,2-8,76,145,0.524
Dayton (Pioneer),11,8-3,71,135,0.526
Merrimack (NEC),11,6-5,47,155,0.303
North Ala. (FCS Independent),11,4-7,68,157,0.433
