Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
James Madison (CAA),16,14-2,948,4323,4.56,29,31,270.2
North Dakota St. (MVFC),16,16-0,970,4395,4.53,20,21,274.7
Kennesaw St. (Big South),14,11-3,821,3902,4.75,30,32,278.7
Davidson (Pioneer),12,8-4,654,3347,5.12,31,32,278.9
Central Conn. St. (NEC),13,11-2,799,3683,4.61,31,35,283.3
N.C. A&T (MEAC),12,9-3,760,3434,4.52,33,33,286.2
South Dakota St. (MVFC),13,8-5,845,3832,4.53,25,26,294.8
Georgetown (Patriot),11,5-6,700,3246,4.64,21,23,295.1
UNI (MVFC),15,10-5,1011,4466,4.42,29,30,297.7
Duquesne (NEC),11,6-5,631,3298,5.23,29,33,299.8
Illinois St. (MVFC),15,10-5,996,4552,4.57,27,29,303.5
Austin Peay (OVC),15,11-4,1025,4613,4.50,37,37,307.5
Saint Francis (PA) (NEC),12,6-6,811,3821,4.71,28,31,318.4
Dartmouth (Ivy League),10,9-1,680,3209,4.72,13,13,320.9
South Carolina St. (MEAC),11,8-3,775,3546,4.58,28,28,322.4
Eastern Ky. (OVC),12,7-5,779,3903,5.01,31,33,325.2
N.C. Central (MEAC),12,4-8,778,3907,5.02,39,43,325.6
Sam Houston (Southland),12,7-5,907,3960,4.37,23,26,330.0
Wagner (NEC),12,1-11,743,3960,5.33,36,43,330.0
Wofford (SoCon),12,8-4,725,4024,5.55,36,36,335.3
Cornell (Ivy League),10,4-6,670,3356,5.01,25,28,335.6
Indiana St. (MVFC),12,5-7,768,4060,5.29,34,35,338.3
Youngstown St. (MVFC),12,6-6,719,4069,5.66,42,44,339.1
LIU (NEC),10,0-10,617,3416,5.54,36,38,341.6
Furman (SoCon),13,8-5,843,4482,5.32,34,34,344.8
Weber St. (Big Sky),15,11-4,1003,5179,5.16,34,37,345.3
Princeton (Ivy League),10,8-2,663,3454,5.21,22,23,345.4
Lehigh (Patriot),11,4-7,754,3809,5.05,28,30,346.3
Harvard (Ivy League),10,4-6,693,3463,5.00,29,29,346.3
Eastern Ill. (OVC),12,1-11,802,4207,5.25,43,46,350.6
Delaware St. (MEAC),12,2-10,793,4233,5.34,44,49,352.8
New Hampshire (CAA),11,6-5,724,3882,5.36,25,27,352.9
Alcorn (SWAC),13,9-4,893,4606,5.16,36,39,354.3
Southern Ill. (MVFC),12,7-5,805,4255,5.29,37,38,354.6
Prairie View (SWAC),11,6-5,806,3923,4.87,36,38,356.6
Sacramento St. (Big Sky),13,9-4,901,4640,5.15,37,38,356.9
Robert Morris (NEC),12,7-5,842,4295,5.10,36,38,357.9
Montana St. (Big Sky),15,11-4,1030,5375,5.22,42,45,358.3
Drake (Pioneer),11,6-5,732,3947,5.39,34,36,358.8
Richmond (CAA),12,5-7,803,4319,5.38,42,45,359.9
San Diego (Pioneer),12,9-3,772,4333,5.61,36,37,361.1
Florida A&M (MEAC),11,9-2,760,3979,5.24,33,39,361.7
UAlbany (CAA),14,9-5,960,5121,5.33,42,45,365.8
Maine (CAA),12,6-6,800,4398,5.50,43,45,366.5
Colgate (Patriot),12,4-8,752,4428,5.89,37,43,369.0
Alabama St. (SWAC),11,5-6,756,4094,5.42,37,41,372.2
Monmouth (Big South),14,11-3,899,5220,5.81,50,52,372.9
Ark.-Pine Bluff (SWAC),11,6-5,787,4106,5.22,35,38,373.3
ETSU (SoCon),12,3-9,809,4480,5.54,42,42,373.3
Lafayette (Patriot),12,4-8,819,4489,5.48,38,39,374.1
The Citadel (SoCon),12,6-6,742,4490,6.05,41,42,374.2
Bryant (NEC),12,4-8,846,4541,5.37,36,40,378.4
Holy Cross (Patriot),13,7-6,926,4927,5.32,38,39,379.0
Southeast Mo. St. (OVC),13,9-4,923,4933,5.34,38,41,379.5
Columbia (Ivy League),10,3-7,647,3797,5.87,35,39,379.7
Jacksonville St. (OVC),12,6-6,851,4563,5.36,37,40,380.2
Valparaiso (Pioneer),12,1-11,789,4579,5.80,45,51,381.6
Yale (Ivy League),10,9-1,631,3833,6.07,35,35,383.3
UT Martin (OVC),12,7-5,841,4608,5.48,37,40,384.0
Hampton (Big South),12,5-7,715,4612,6.45,47,49,384.3
McNeese (Southland),12,7-5,888,4622,5.20,38,39,385.2
Stony Brook (CAA),12,5-7,809,4624,5.72,39,42,385.3
Towson (CAA),12,7-5,807,4625,5.73,32,34,385.4
Sacred Heart (NEC),12,7-5,836,4638,5.55,30,31,386.5
Elon (CAA),11,5-6,752,4254,5.66,36,38,386.7
Southern U. (SWAC),13,8-5,868,5035,5.80,39,43,387.3
Villanova (CAA),13,9-4,910,5047,5.55,42,44,388.2
Murray St. (OVC),12,4-8,896,4709,5.26,42,45,392.4
Presbyterian (Big South),12,2-10,792,4727,5.97,51,54,393.9
Stetson (Pioneer),11,7-4,759,4336,5.71,34,36,394.2
Bethune-Cookman (MEAC),11,7-4,795,4337,5.46,37,39,394.3
Grambling (SWAC),11,6-5,805,4366,5.42,31,31,396.9
North Dakota (FCS Independent),12,7-5,869,4771,5.49,42,43,397.6
Chattanooga (SoCon),12,6-6,844,4783,5.67,43,47,398.6
Montana (Big Sky),14,10-4,1048,5587,5.33,44,45,399.1
William & Mary (CAA),12,5-7,912,4819,5.28,38,40,401.6
Abilene Christian (Southland),12,5-7,896,4840,5.40,41,42,403.3
Central Ark. (Southland),13,9-4,947,5278,5.57,43,45,406.0
Nicholls (Southland),14,9-5,968,5685,5.87,45,49,406.1
Jackson St. (SWAC),12,4-8,804,4904,6.10,50,58,408.7
Marist (Pioneer),11,4-7,802,4509,5.62,48,52,409.9
Portland St. (Big Sky),12,5-7,795,4923,6.19,45,47,410.2
