Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Western Caro. (SoCon),12,3-9,41,34,191,58,4.8
Dartmouth (Ivy League),10,9-1,36,24,148,48,4.8
Wofford (SoCon),12,8-4,46,22,225,57,4.8
Missouri St. (MVFC),11,1-10,38,28,203,52,4.7
Southern Utah (Big Sky),12,3-9,49,14,184,56,4.7
Mercer (SoCon),12,4-8,35,40,179,55,4.6
Drake (Pioneer),11,6-5,39,22,188,50,4.5
Chattanooga (SoCon),12,6-6,42,24,160,54,4.5
Howard (MEAC),12,2-10,46,16,231,54,4.5
Robert Morris (NEC),12,7-5,39,30,193,54,4.5
Brown (Ivy League),10,2-8,37,16,160,45,4.5
SFA (Southland),12,3-9,40,24,186,52,4.3
Northern Colo. (Big Sky),12,2-10,28,32,138,44,3.7
Cal Poly (Big Sky),11,3-8,29,22,147,40,3.6
Jacksonville (Pioneer),12,3-9,32,20,118,42,3.5
Dayton (Pioneer),11,8-3,24,28,134,38,3.5
Butler (Pioneer),12,3-9,29,18,133,38,3.2
Delaware (CAA),12,5-7,20,12,74,26,2.2
Merrimack (NEC),11,6-5,65,40,339,85,7.7
North Ala. (FCS Independent),11,4-7,49,24,210,61,5.5
