Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
South Dakota St. (MVFC),13,8-5,7,4,0,0.57
Samford (SoCon),12,5-7,6,4,0,0.67
Furman (SoCon),13,8-5,11,23,0,2.09
McNeese (Southland),12,7-5,16,40,0,2.50
San Diego (Pioneer),12,9-3,8,22,0,2.75
Houston Christian (Southland),12,5-7,15,47,0,3.13
Texas Southern (SWAC),11,0-11,19,62,0,3.26
Harvard (Ivy League),10,4-6,10,35,0,3.50
Weber St. (Big Sky),15,11-4,15,54,0,3.60
UT Martin (OVC),12,7-5,14,51,0,3.64
Colgate (Patriot),12,4-8,15,57,0,3.80
Duquesne (NEC),11,6-5,18,69,0,3.83
Davidson (Pioneer),12,8-4,4,16,0,4.00
Princeton (Ivy League),10,8-2,3,12,0,4.00
The Citadel (SoCon),12,6-6,9,36,0,4.00
Montana (Big Sky),14,10-4,14,57,1,4.07
Holy Cross (Patriot),13,7-6,19,85,0,4.47
SFA (Southland),12,3-9,13,59,0,4.54
Butler (Pioneer),12,3-9,11,51,0,4.64
Austin Peay (OVC),15,11-4,6,28,0,4.67
Abilene Christian (Southland),12,5-7,17,85,0,5.00
N.C. A&T (MEAC),12,9-3,14,70,0,5.00
Morgan St. (MEAC),12,3-9,15,77,0,5.13
Sam Houston (Southland),12,7-5,34,176,0,5.18
James Madison (CAA),16,14-2,12,68,0,5.67
South Dakota (MVFC),12,5-7,25,143,0,5.72
Hampton (Big South),12,5-7,15,86,0,5.73
Eastern Wash. (Big Sky),12,7-5,19,112,0,5.89
Norfolk St. (MEAC),12,5-7,16,97,0,6.06
Kennesaw St. (Big South),14,11-3,11,67,0,6.09
Jackson St. (SWAC),12,4-8,20,122,0,6.10
Bucknell (Patriot),11,3-8,23,142,0,6.17
N.C. Central (MEAC),12,4-8,32,198,0,6.19
Monmouth (Big South),14,11-3,17,107,0,6.29
Southern Utah (Big Sky),12,3-9,14,89,0,6.36
Illinois St. (MVFC),15,10-5,21,138,0,6.57
Montana St. (Big Sky),15,11-4,19,125,1,6.58
Mercer (SoCon),12,4-8,9,61,0,6.78
Sacramento St. (Big Sky),13,9-4,13,89,0,6.85
Lehigh (Patriot),11,4-7,13,90,0,6.92
Stony Brook (CAA),12,5-7,17,118,1,6.94
Southeastern La. (Southland),13,8-5,14,98,0,7.00
Cornell (Ivy League),10,4-6,18,129,0,7.17
North Dakota St. (MVFC),16,16-0,15,108,0,7.20
Richmond (CAA),12,5-7,10,72,0,7.20
Indiana St. (MVFC),12,5-7,18,131,0,7.28
Lafayette (Patriot),12,4-8,14,102,0,7.29
Drake (Pioneer),11,6-5,17,125,0,7.35
Charleston So. (Big South),12,6-6,20,149,0,7.45
Howard (MEAC),12,2-10,41,311,2,7.59
Western Ill. (MVFC),12,1-11,25,194,0,7.76
Fordham (Patriot),12,4-8,17,132,0,7.76
Campbell (Big South),11,6-5,19,148,0,7.79
Dartmouth (Ivy League),10,9-1,11,88,0,8.00
UIW (Southland),12,5-7,23,184,1,8.00
Idaho St. (Big Sky),12,3-9,30,242,0,8.07
UC Davis (Big Sky),12,5-7,21,170,0,8.10
Yale (Ivy League),10,9-1,8,65,0,8.12
Bryant (NEC),12,4-8,24,197,0,8.21
ETSU (SoCon),12,3-9,25,207,0,8.28
New Hampshire (CAA),11,6-5,16,133,1,8.31
Villanova (CAA),13,9-4,16,133,0,8.31
Central Ark. (Southland),13,9-4,9,75,0,8.33
Youngstown St. (MVFC),12,6-6,16,134,0,8.38
Southern Ill. (MVFC),12,7-5,20,170,0,8.50
Maine (CAA),12,6-6,15,131,0,8.73
Murray St. (OVC),12,4-8,19,167,0,8.79
Robert Morris (NEC),12,7-5,26,232,1,8.92
UNI (MVFC),15,10-5,28,254,0,9.07
Eastern Ill. (OVC),12,1-11,26,244,2,9.38
Penn (Ivy League),10,5-5,7,66,0,9.43
Wofford (SoCon),12,8-4,12,114,0,9.50
Northern Colo. (Big Sky),12,2-10,29,277,1,9.55
South Carolina St. (MEAC),11,8-3,17,167,0,9.82
Alabama St. (SWAC),11,5-6,16,159,0,9.94
Florida A&M (MEAC),11,9-2,21,209,2,9.95
Brown (Ivy League),10,2-8,11,110,1,10.00
Portland St. (Big Sky),12,5-7,20,200,0,10.00
Towson (CAA),12,7-5,14,140,0,10.00
Saint Francis (PA) (NEC),12,6-6,13,132,1,10.15
Lamar University (Southland),12,4-8,21,216,0,10.29
Bethune-Cookman (MEAC),11,7-4,13,134,1,10.31
Presbyterian (Big South),12,2-10,26,269,1,10.35
Eastern Ky. (OVC),12,7-5,11,115,0,10.45
Missouri St. (MVFC),11,1-10,20,211,1,10.55
Northern Ariz. (Big Sky),12,4-8,19,203,0,10.68
Rhode Island (CAA),12,2-10,16,171,1,10.69
Cal Poly (Big Sky),11,3-8,27,292,0,10.81
Southern U. (SWAC),13,8-5,15,164,1,10.93
Ark.-Pine Bluff (SWAC),11,6-5,14,154,1,11.00
Elon (CAA),11,5-6,33,365,0,11.06
William & Mary (CAA),12,5-7,25,279,0,11.16
Northwestern St. (Southland),12,3-9,25,280,2,11.20
Mississippi Val. (SWAC),11,2-9,41,465,2,11.34
Nicholls (Southland),14,9-5,24,273,1,11.38
UAlbany (CAA),14,9-5,17,194,0,11.41
Idaho (Big Sky),12,5-7,22,253,0,11.50
Tennessee Tech (OVC),12,6-6,13,150,1,11.54
Delaware (CAA),12,5-7,20,232,1,11.60
Southeast Mo. St. (OVC),13,9-4,13,151,1,11.62
Wagner (NEC),12,1-11,21,244,3,11.62
Columbia (Ivy League),10,3-7,14,170,1,12.14
Marist (Pioneer),11,4-7,22,273,0,12.41
Stetson (Pioneer),11,7-4,18,225,1,12.50
Georgetown (Patriot),11,5-6,17,213,0,12.53
Gardner-Webb (Big South),12,3-9,22,281,3,12.77
Delaware St. (MEAC),12,2-10,29,374,1,12.90
Morehead St. (Pioneer),12,5-7,18,233,1,12.94
VMI (SoCon),12,5-7,23,302,1,13.13
Valparaiso (Pioneer),12,1-11,19,250,1,13.16
Chattanooga (SoCon),12,6-6,7,94,2,13.43
Jacksonville St. (OVC),12,6-6,16,215,1,13.44
North Dakota (FCS Independent),12,7-5,4,54,0,13.50
Sacred Heart (NEC),12,7-5,16,216,0,13.50
Alabama A&M (SWAC),12,7-5,18,244,1,13.56
LIU (NEC),10,0-10,26,363,1,13.96
Tennessee St. (OVC),12,3-9,17,239,0,14.06
Grambling (SWAC),11,6-5,10,144,0,14.40
Prairie View (SWAC),11,6-5,13,200,1,15.38
Jacksonville (Pioneer),12,3-9,15,232,0,15.47
Central Conn. St. (NEC),13,11-2,19,314,3,16.53
Dayton (Pioneer),11,8-3,6,104,0,17.33
Alcorn (SWAC),13,9-4,13,226,1,17.38
Western Caro. (SoCon),12,3-9,22,444,3,20.18
Merrimack (NEC),11,6-5,32,262,0,8.19
North Ala. (FCS Independent),11,4-7,21,293,2,13.95
