Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Sam Houston (Southland),12,7-5,390,839,2.15,9,69.9
Central Conn. St. (NEC),13,11-2,361,955,2.65,3,73.5
James Madison (CAA),16,14-2,458,1197,2.61,11,74.8
N.C. A&T (MEAC),12,9-3,399,959,2.40,16,79.9
Kennesaw St. (Big South),14,11-3,416,1245,2.99,15,88.9
Harvard (Ivy League),10,4-6,363,898,2.47,12,89.8
McNeese (Southland),12,7-5,416,1121,2.69,7,93.4
Austin Peay (OVC),15,11-4,509,1561,3.07,10,104.1
Dartmouth (Ivy League),10,9-1,328,1095,3.34,5,109.5
Davidson (Pioneer),12,8-4,374,1317,3.52,10,109.8
UNI (MVFC),15,10-5,581,1655,2.85,11,110.3
Princeton (Ivy League),10,8-2,327,1131,3.46,9,113.1
Saint Francis (PA) (NEC),12,6-6,429,1390,3.24,14,115.8
Illinois St. (MVFC),15,10-5,542,1750,3.23,9,116.7
Eastern Ky. (OVC),12,7-5,404,1429,3.54,14,119.1
Weber St. (Big Sky),15,11-4,528,1801,3.41,10,120.1
Montana (Big Sky),14,10-4,499,1686,3.38,14,120.4
Montana St. (Big Sky),15,11-4,496,1818,3.67,21,121.2
Cornell (Ivy League),10,4-6,372,1219,3.28,10,121.9
South Carolina St. (MEAC),11,8-3,420,1348,3.21,15,122.5
Southeastern La. (Southland),13,8-5,444,1599,3.60,15,123.0
Villanova (CAA),13,9-4,414,1627,3.93,20,125.2
Southern U. (SWAC),13,8-5,452,1665,3.68,19,128.1
South Dakota St. (MVFC),13,8-5,491,1676,3.41,12,128.9
Florida A&M (MEAC),11,9-2,376,1423,3.78,16,129.4
Lehigh (Patriot),11,4-7,393,1435,3.65,13,130.5
Yale (Ivy League),10,9-1,301,1308,4.35,13,130.8
Duquesne (NEC),11,6-5,361,1441,3.99,17,131.0
Sacramento St. (Big Sky),13,9-4,486,1711,3.52,20,131.6
North Dakota St. (MVFC),16,16-0,582,2177,3.74,9,136.1
Monmouth (Big South),14,11-3,462,1933,4.18,16,138.1
LIU (NEC),10,0-10,371,1381,3.72,17,138.1
Abilene Christian (Southland),12,5-7,434,1662,3.83,18,138.5
New Hampshire (CAA),11,6-5,403,1530,3.80,17,139.1
Portland St. (Big Sky),12,5-7,391,1671,4.27,15,139.2
Wagner (NEC),12,1-11,452,1673,3.70,18,139.4
Georgetown (Patriot),11,5-6,434,1546,3.56,18,140.5
Columbia (Ivy League),10,3-7,357,1409,3.95,23,140.9
Delaware St. (MEAC),12,2-10,433,1693,3.91,15,141.1
Nicholls (Southland),14,9-5,468,2006,4.29,20,143.3
Alcorn (SWAC),13,9-4,505,1863,3.69,15,143.3
Ark.-Pine Bluff (SWAC),11,6-5,412,1578,3.83,19,143.5
Stony Brook (CAA),12,5-7,442,1735,3.93,20,144.6
Eastern Ill. (OVC),12,1-11,486,1758,3.62,18,146.5
Brown (Ivy League),10,2-8,347,1469,4.23,18,146.9
Central Ark. (Southland),13,9-4,494,1936,3.92,23,148.9
Hampton (Big South),12,5-7,401,1788,4.46,20,149.0
San Diego (Pioneer),12,9-3,438,1815,4.14,20,151.2
UAlbany (CAA),14,9-5,546,2129,3.90,18,152.1
Sacred Heart (NEC),12,7-5,468,1829,3.91,14,152.4
William & Mary (CAA),12,5-7,477,1835,3.85,15,152.9
Southeast Mo. St. (OVC),13,9-4,492,1996,4.06,23,153.5
Lamar University (Southland),12,4-8,473,1845,3.90,20,153.8
Holy Cross (Patriot),13,7-6,508,2000,3.94,20,153.8
Southern Ill. (MVFC),12,7-5,465,1848,3.97,19,154.0
Murray St. (OVC),12,4-8,495,1860,3.76,21,155.0
Jacksonville St. (OVC),12,6-6,452,1862,4.12,18,155.2
N.C. Central (MEAC),12,4-8,473,1867,3.95,17,155.6
Towson (CAA),12,7-5,444,1869,4.21,14,155.8
Lafayette (Patriot),12,4-8,484,1874,3.87,16,156.2
Prairie View (SWAC),11,6-5,450,1720,3.82,20,156.4
Maine (CAA),12,6-6,432,1878,4.35,26,156.5
The Citadel (SoCon),12,6-6,418,1915,4.58,23,159.6
Bucknell (Patriot),11,3-8,418,1759,4.21,18,159.9
Wofford (SoCon),12,8-4,422,1924,4.56,22,160.3
UT Martin (OVC),12,7-5,452,1949,4.31,24,162.4
South Dakota (MVFC),12,5-7,433,1952,4.51,21,162.7
Northwestern St. (Southland),12,3-9,474,1974,4.16,27,164.5
Richmond (CAA),12,5-7,490,1981,4.04,16,165.1
Elon (CAA),11,5-6,447,1824,4.08,17,165.8
Tennessee Tech (OVC),12,6-6,449,2006,4.47,25,167.2
Idaho St. (Big Sky),12,3-9,478,2036,4.26,19,169.7
Mississippi Val. (SWAC),11,2-9,432,1873,4.34,15,170.3
Fordham (Patriot),12,4-8,430,2044,4.75,22,170.3
Youngstown St. (MVFC),12,6-6,469,2048,4.37,21,170.7
Penn (Ivy League),10,5-5,421,1724,4.10,21,172.4
UIW (Southland),12,5-7,472,2102,4.45,23,175.2
Indiana St. (MVFC),12,5-7,446,2105,4.72,21,175.4
Idaho (Big Sky),12,5-7,479,2106,4.40,32,175.5
Colgate (Patriot),12,4-8,453,2112,4.66,21,176.0
Furman (SoCon),13,8-5,498,2306,4.63,20,177.4
Stetson (Pioneer),11,7-4,423,1956,4.62,17,177.8
Eastern Wash. (Big Sky),12,7-5,500,2149,4.30,26,179.1
Grambling (SWAC),11,6-5,435,1972,4.53,16,179.3
Houston Christian (Southland),12,5-7,540,2153,3.99,27,179.4
Delaware (CAA),12,5-7,452,2169,4.80,18,180.8
Robert Morris (NEC),12,7-5,494,2182,4.42,22,181.8
Valparaiso (Pioneer),12,1-11,454,2211,4.87,25,184.2
Drake (Pioneer),11,6-5,439,2033,4.63,24,184.8
Presbyterian (Big South),12,2-10,503,2280,4.53,24,190.0
SFA (Southland),12,3-9,464,2287,4.93,29,190.6
UC Davis (Big Sky),12,5-7,531,2300,4.33,20,191.7
North Dakota (FCS Independent),12,7-5,525,2312,4.40,21,192.7
Bethune-Cookman (MEAC),11,7-4,469,2131,4.54,18,193.7
Marist (Pioneer),11,4-7,475,2202,4.64,25,200.2
Bryant (NEC),12,4-8,495,2430,4.91,19,202.5
ETSU (SoCon),12,3-9,487,2437,5.00,28,203.1
Alabama St. (SWAC),11,5-6,464,2255,4.86,21,205.0
Chattanooga (SoCon),12,6-6,500,2465,4.93,26,205.4
Jackson St. (SWAC),12,4-8,487,2468,5.07,26,205.7
Southern Utah (Big Sky),12,3-9,520,2475,4.76,35,206.2
Tennessee St. (OVC),12,3-9,441,2533,5.74,29,211.1
Cal Poly (Big Sky),11,3-8,396,2324,5.87,28,211.3
Northern Ariz. (Big Sky),12,4-8,510,2584,5.07,34,215.3
Alabama A&M (SWAC),12,7-5,510,2596,5.09,20,216.3
Norfolk St. (MEAC),12,5-7,483,2605,5.39,27,217.1
Howard (MEAC),12,2-10,443,2649,5.98,42,220.8
Western Ill. (MVFC),12,1-11,544,2652,4.88,30,221.0
Charleston So. (Big South),12,6-6,486,2685,5.52,32,223.8
Missouri St. (MVFC),11,1-10,461,2476,5.37,28,225.1
Morgan St. (MEAC),12,3-9,534,2706,5.07,20,225.5
Butler (Pioneer),12,3-9,488,2735,5.60,28,227.9
Samford (SoCon),12,5-7,630,2826,4.49,38,235.5
Campbell (Big South),11,6-5,468,2593,5.54,24,235.7
Dayton (Pioneer),11,8-3,429,2632,6.14,32,239.3
Rhode Island (CAA),12,2-10,463,2930,6.33,29,244.2
Gardner-Webb (Big South),12,3-9,502,2939,5.85,37,244.9
Morehead St. (Pioneer),12,5-7,501,2953,5.89,29,246.1
Northern Colo. (Big Sky),12,2-10,512,2980,5.82,25,248.3
VMI (SoCon),12,5-7,549,2985,5.44,31,248.8
Jacksonville (Pioneer),12,3-9,503,2996,5.96,35,249.7
Western Caro. (SoCon),12,3-9,553,3101,5.61,35,258.4
Texas Southern (SWAC),11,0-11,455,2847,6.26,30,258.8
Mercer (SoCon),12,4-8,566,3230,5.71,35,269.2
Merrimack (NEC),11,6-5,393,1326,3.37,12,120.5
North Ala. (FCS Independent),11,4-7,482,2276,4.72,22,206.9
