Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Duquesne (NEC),11,6-5,59,85,19,163
Harvard (Ivy League),10,4-6,52,108,12,172
Columbia (Ivy League),10,3-7,65,97,14,176
Georgetown (Patriot),11,5-6,90,72,15,177
LIU (NEC),10,0-10,79,92,6,177
Cornell (Ivy League),10,4-6,73,95,12,180
Davidson (Pioneer),12,8-4,71,95,14,180
Princeton (Ivy League),10,8-2,68,108,9,185
Dartmouth (Ivy League),10,9-1,69,104,15,188
Lehigh (Patriot),11,4-7,82,98,10,190
Yale (Ivy League),10,9-1,65,108,21,194
N.C. A&T (MEAC),12,9-3,63,110,24,197
Wofford (SoCon),12,8-4,96,87,15,198
South Carolina St. (MEAC),11,8-3,82,101,16,199
Youngstown St. (MVFC),12,6-6,95,78,27,200
Stetson (Pioneer),11,7-4,83,98,20,201
Central Conn. St. (NEC),13,11-2,55,130,18,203
Eastern Ky. (OVC),12,7-5,75,109,21,205
New Hampshire (CAA),11,6-5,84,110,11,205
San Diego (Pioneer),12,9-3,88,97,22,207
Missouri St. (MVFC),11,1-10,108,84,16,208
Drake (Pioneer),11,6-5,100,96,13,209
Indiana St. (MVFC),12,5-7,100,94,15,209
Alabama St. (SWAC),11,5-6,110,77,23,210
Wagner (NEC),12,1-11,93,101,17,211
Hampton (Big South),12,5-7,86,91,36,213
Kennesaw St. (Big South),14,11-3,77,115,21,213
Saint Francis (PA) (NEC),12,6-6,88,103,23,214
Eastern Ill. (OVC),12,1-11,102,106,7,215
Elon (CAA),11,5-6,96,102,17,215
South Dakota St. (MVFC),13,8-5,93,100,22,215
N.C. Central (MEAC),12,4-8,100,89,28,217
Ark.-Pine Bluff (SWAC),11,6-5,90,111,17,218
Sam Houston (Southland),12,7-5,50,133,36,219
Penn (Ivy League),10,5-5,105,109,9,223
Grambling (SWAC),11,6-5,108,100,16,224
Valparaiso (Pioneer),12,1-11,104,101,19,224
Lafayette (Patriot),12,4-8,101,113,12,226
Colgate (Patriot),12,4-8,108,104,16,228
Richmond (CAA),12,5-7,105,107,16,228
Sacramento St. (Big Sky),13,9-4,86,118,24,228
Southern Ill. (MVFC),12,7-5,101,106,21,228
The Citadel (SoCon),12,6-6,101,107,21,229
Towson (CAA),12,7-5,99,112,19,230
Florida A&M (MEAC),11,9-2,81,123,27,231
Marist (Pioneer),11,4-7,115,100,16,231
Mississippi Val. (SWAC),11,2-9,100,118,14,232
James Madison (CAA),16,14-2,64,133,36,233
Maine (CAA),12,6-6,100,102,31,233
Brown (Ivy League),10,2-8,75,145,14,234
Fordham (Patriot),12,4-8,98,120,16,234
Presbyterian (Big South),12,2-10,131,89,15,235
UT Martin (OVC),12,7-5,91,121,23,235
ETSU (SoCon),12,3-9,125,94,17,236
Bethune-Cookman (MEAC),11,7-4,106,105,26,237
