Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Illinois St. (MVFC),15,10-5,44,6,11,10,27,0.614
Dartmouth (Ivy League),10,9-1,32,3,7,10,20,0.625
Bethune-Cookman (MEAC),11,7-4,43,15,10,3,28,0.651
Georgetown (Patriot),11,5-6,34,15,2,6,23,0.676
Sacramento St. (Big Sky),13,9-4,38,13,8,5,26,0.684
Sam Houston (Southland),12,7-5,32,7,7,8,22,0.688
Alcorn (SWAC),13,9-4,45,11,12,8,31,0.689
Princeton (Ivy League),10,8-2,29,8,6,6,20,0.690
Southern U. (SWAC),13,8-5,46,15,9,8,32,0.696
Alabama St. (SWAC),11,5-6,43,17,10,3,30,0.698
Eastern Ky. (OVC),12,7-5,40,10,10,8,28,0.700
Harvard (Ivy League),10,4-6,35,8,9,8,25,0.714
Mississippi Val. (SWAC),11,2-9,39,10,8,10,28,0.718
Cornell (Ivy League),10,4-6,32,9,9,5,23,0.719
Lehigh (Patriot),11,4-7,36,10,7,9,26,0.722
South Dakota St. (MVFC),13,8-5,36,8,8,10,26,0.722
Delaware St. (MEAC),12,2-10,47,9,17,8,34,0.723
Elon (CAA),11,5-6,44,16,11,5,32,0.727
Yale (Ivy League),10,9-1,33,8,9,7,24,0.727
James Madison (CAA),16,14-2,34,8,10,7,25,0.735
North Dakota St. (MVFC),16,16-0,34,6,7,12,25,0.735
Morgan St. (MEAC),12,3-9,53,17,12,10,39,0.736
Southern Ill. (MVFC),12,7-5,43,16,11,5,32,0.744
Fordham (Patriot),12,4-8,51,17,14,7,38,0.745
Richmond (CAA),12,5-7,44,12,15,6,33,0.750
Southeast Mo. St. (OVC),13,9-4,52,22,9,8,39,0.750
Idaho St. (Big Sky),12,3-9,49,16,10,11,37,0.755
LIU (NEC),10,0-10,45,15,12,7,34,0.756
UT Martin (OVC),12,7-5,41,18,7,6,31,0.756
Central Conn. St. (NEC),13,11-2,33,3,17,5,25,0.758
Marist (Pioneer),11,4-7,46,18,13,4,35,0.761
Sacred Heart (NEC),12,7-5,51,13,11,15,39,0.765
San Diego (Pioneer),12,9-3,34,16,5,5,26,0.765
Alabama A&M (SWAC),12,7-5,47,15,12,9,36,0.766
UAlbany (CAA),14,9-5,43,13,12,8,33,0.767
Houston Christian (Southland),12,5-7,56,22,10,11,43,0.768
Austin Peay (OVC),15,11-4,52,8,20,12,40,0.769
Grambling (SWAC),11,6-5,39,12,8,10,30,0.769
Jacksonville St. (OVC),12,6-6,52,16,9,15,40,0.769
Jacksonville (Pioneer),12,3-9,66,30,10,11,51,0.773
Duquesne (NEC),11,6-5,31,11,7,6,24,0.774
South Carolina St. (MEAC),11,8-3,40,14,9,8,31,0.775
N.C. Central (MEAC),12,4-8,41,14,11,7,32,0.780
Towson (CAA),12,7-5,41,10,12,10,32,0.780
Wofford (SoCon),12,8-4,33,15,7,4,26,0.788
Holy Cross (Patriot),13,7-6,43,17,8,9,34,0.791
Nicholls (Southland),14,9-5,58,17,16,13,46,0.793
Drake (Pioneer),11,6-5,34,20,3,4,27,0.794
Villanova (CAA),13,9-4,44,14,14,7,35,0.795
Jackson St. (SWAC),12,4-8,49,19,14,6,39,0.796
Norfolk St. (MEAC),12,5-7,54,22,10,11,43,0.796
Gardner-Webb (Big South),12,3-9,59,28,10,9,47,0.797
VMI (SoCon),12,5-7,59,23,16,8,47,0.797
Columbia (Ivy League),10,3-7,35,19,5,4,28,0.800
North Dakota (FCS Independent),12,7-5,51,20,12,9,41,0.804
Montana St. (Big Sky),15,11-4,41,17,11,5,33,0.805
UNI (MVFC),15,10-5,41,9,12,12,33,0.805
Abilene Christian (Southland),12,5-7,47,15,11,12,38,0.809
South Dakota (MVFC),12,5-7,47,17,18,3,38,0.809
Northern Colo. (Big Sky),12,2-10,58,19,20,8,47,0.810
Youngstown St. (MVFC),12,6-6,37,17,10,3,30,0.811
Eastern Ill. (OVC),12,1-11,53,17,14,12,43,0.811
Maine (CAA),12,6-6,59,23,12,13,48,0.814
Lamar University (Southland),12,4-8,54,15,17,12,44,0.815
Portland St. (Big Sky),12,5-7,38,12,10,9,31,0.816
Saint Francis (PA) (NEC),12,6-6,38,12,8,11,31,0.816
Central Ark. (Southland),13,9-4,49,20,13,7,40,0.816
Eastern Wash. (Big Sky),12,7-5,55,23,16,6,45,0.818
Morehead St. (Pioneer),12,5-7,50,21,17,3,41,0.820
Prairie View (SWAC),11,6-5,50,19,9,13,41,0.820
Delaware (CAA),12,5-7,45,17,12,8,37,0.822
Bryant (NEC),12,4-8,46,14,10,14,38,0.826
UC Davis (Big Sky),12,5-7,46,18,11,9,38,0.826
Montana (Big Sky),14,10-4,52,11,21,11,43,0.827
Campbell (Big South),11,6-5,41,15,8,10,34,0.829
Furman (SoCon),13,8-5,41,15,10,9,34,0.829
