Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Davidson (Pioneer),12,8-4,168,96,0.571
James Madison (CAA),16,14-2,233,125,0.536
Dartmouth (Ivy League),10,9-1,117,61,0.521
North Dakota St. (MVFC),16,16-0,190,96,0.505
Dayton (Pioneer),11,8-3,111,56,0.505
Southern U. (SWAC),13,8-5,158,79,0.500
Villanova (CAA),13,9-4,176,87,0.494
San Diego (Pioneer),12,9-3,155,76,0.490
Montana (Big Sky),14,10-4,195,91,0.467
Towson (CAA),12,7-5,144,67,0.465
Princeton (Ivy League),10,8-2,139,64,0.460
Furman (SoCon),13,8-5,161,74,0.460
Florida A&M (MEAC),11,9-2,161,73,0.453
Wofford (SoCon),12,8-4,153,69,0.451
Monmouth (Big South),14,11-3,198,88,0.444
South Dakota (MVFC),12,5-7,178,79,0.444
Duquesne (NEC),11,6-5,162,71,0.438
The Citadel (SoCon),12,6-6,184,80,0.435
Yale (Ivy League),10,9-1,145,63,0.434
Portland St. (Big Sky),12,5-7,183,79,0.432
Sacred Heart (NEC),12,7-5,186,80,0.430
Cal Poly (Big Sky),11,3-8,177,76,0.429
Kennesaw St. (Big South),14,11-3,159,68,0.428
Jacksonville (Pioneer),12,3-9,152,65,0.428
Alcorn (SWAC),13,9-4,186,79,0.425
Brown (Ivy League),10,2-8,158,67,0.424
Eastern Wash. (Big Sky),12,7-5,184,78,0.424
Hampton (Big South),12,5-7,168,71,0.423
Drake (Pioneer),11,6-5,147,62,0.422
Norfolk St. (MEAC),12,5-7,171,72,0.421
South Dakota St. (MVFC),13,8-5,152,64,0.421
Austin Peay (OVC),15,11-4,221,93,0.421
Sacramento St. (Big Sky),13,9-4,183,77,0.421
N.C. A&T (MEAC),12,9-3,154,64,0.416
Grambling (SWAC),11,6-5,171,71,0.415
Tennessee St. (OVC),12,3-9,170,70,0.412
Rhode Island (CAA),12,2-10,175,72,0.411
Northern Ariz. (Big Sky),12,4-8,180,74,0.411
Southeastern La. (Southland),13,8-5,191,78,0.408
Prairie View (SWAC),11,6-5,152,62,0.408
North Dakota (FCS Independent),12,7-5,155,63,0.406
Nicholls (Southland),14,9-5,160,65,0.406
Youngstown St. (MVFC),12,6-6,156,63,0.404
Chattanooga (SoCon),12,6-6,171,69,0.404
Jacksonville St. (OVC),12,6-6,174,70,0.402
Alabama A&M (SWAC),12,7-5,172,69,0.401
Western Caro. (SoCon),12,3-9,182,73,0.401
Morehead St. (Pioneer),12,5-7,181,72,0.398
Houston Christian (Southland),12,5-7,177,70,0.395
Samford (SoCon),12,5-7,172,68,0.395
Alabama St. (SWAC),11,5-6,170,67,0.394
Central Ark. (Southland),13,9-4,188,74,0.394
Penn (Ivy League),10,5-5,140,55,0.393
Elon (CAA),11,5-6,151,59,0.391
VMI (SoCon),12,5-7,183,71,0.388
Charleston So. (Big South),12,6-6,186,72,0.387
Mercer (SoCon),12,4-8,163,63,0.387
Abilene Christian (Southland),12,5-7,190,73,0.384
Stony Brook (CAA),12,5-7,172,66,0.384
Richmond (CAA),12,5-7,146,56,0.384
UT Martin (OVC),12,7-5,162,62,0.383
Tennessee Tech (OVC),12,6-6,183,70,0.383
Eastern Ky. (OVC),12,7-5,189,72,0.381
Georgetown (Patriot),11,5-6,142,54,0.380
Southern Utah (Big Sky),12,3-9,191,72,0.377
Marist (Pioneer),11,4-7,154,58,0.377
Maine (CAA),12,6-6,160,60,0.375
Idaho (Big Sky),12,5-7,179,67,0.374
Stetson (Pioneer),11,7-4,163,61,0.374
Morgan St. (MEAC),12,3-9,174,65,0.374
Northwestern St. (Southland),12,3-9,191,71,0.372
New Hampshire (CAA),11,6-5,162,60,0.370
Southern Ill. (MVFC),12,7-5,162,60,0.370
Indiana St. (MVFC),12,5-7,165,61,0.370
UC Davis (Big Sky),12,5-7,184,68,0.370
William & Mary (CAA),12,5-7,176,65,0.369
Fordham (Patriot),12,4-8,185,68,0.368
Montana St. (Big Sky),15,11-4,215,79,0.367
UIW (Southland),12,5-7,179,65,0.363
Central Conn. St. (NEC),13,11-2,157,57,0.363
Texas Southern (SWAC),11,0-11,188,68,0.362
ETSU (SoCon),12,3-9,158,57,0.361
Delaware (CAA),12,5-7,161,58,0.360
South Carolina St. (MEAC),11,8-3,150,54,0.360
Holy Cross (Patriot),13,7-6,189,68,0.360
Campbell (Big South),11,6-5,148,53,0.358
UAlbany (CAA),14,9-5,182,65,0.357
Saint Francis (PA) (NEC),12,6-6,171,61,0.357
Presbyterian (Big South),12,2-10,157,55,0.350
Harvard (Ivy League),10,4-6,140,49,0.350
Murray St. (OVC),12,4-8,172,60,0.349
Weber St. (Big Sky),15,11-4,222,77,0.347
Northern Colo. (Big Sky),12,2-10,182,63,0.346
Sam Houston (Southland),12,7-5,203,69,0.340
Columbia (Ivy League),10,3-7,156,53,0.340
LIU (NEC),10,0-10,145,49,0.338
Bethune-Cookman (MEAC),11,7-4,149,50,0.336
SFA (Southland),12,3-9,200,67,0.335
McNeese (Southland),12,7-5,202,67,0.332
Idaho St. (Big Sky),12,3-9,178,59,0.331
Jackson St. (SWAC),12,4-8,171,56,0.327
Colgate (Patriot),12,4-8,162,53,0.327
Illinois St. (MVFC),15,10-5,193,63,0.326
Gardner-Webb (Big South),12,3-9,157,51,0.325
