Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
VMI (SoCon),11,0-11,38,332,30.18
Furman (SoCon),13,8-5,41,397,30.54
William & Mary (CAA),11,2-9,42,384,34.91
Gardner-Webb (Big South),11,1-10,45,406,36.91
Missouri St. (MVFC),11,3-8,50,427,38.82
The Citadel (SoCon),11,5-6,53,438,39.82
Princeton (Ivy League),10,5-5,43,399,39.9
Lafayette (Patriot),11,3-8,54,440,40.0
Bucknell (Patriot),11,5-6,58,444,40.36
Presbyterian (Big South),11,4-7,45,446,40.55
Illinois St. (MVFC),11,6-5,57,447,40.64
Samford (SoCon),12,8-4,53,505,42.08
Lehigh (Patriot),12,5-7,56,505,42.08
Tennessee Tech (OVC),11,1-10,61,467,42.45
Towson (CAA),11,5-6,56,469,42.64
South Dakota St. (MVFC),14,11-3,72,600,42.86
North Dakota St. (MVFC),15,14-1,73,676,45.07
ETSU (SoCon),11,4-7,56,500,45.45
San Diego (Pioneer),13,10-3,64,591,45.46
Elon (CAA),12,8-4,63,547,45.58
Wofford (SoCon),13,10-3,66,595,45.77
Youngstown St. (MVFC),11,6-5,57,509,46.27
Penn (Ivy League),10,6-4,54,469,46.9
Indiana St. (MVFC),11,0-11,56,527,47.91
New Hampshire (CAA),14,9-5,88,672,48.0
Murray St. (OVC),11,3-8,58,533,48.45
Montana (Big Sky),11,7-4,59,538,48.91
Colgate (Patriot),11,7-4,65,552,50.18
Sacramento St. (Big Sky),11,7-4,60,561,51.0
Butler (Pioneer),11,6-5,68,564,51.27
Idaho St. (Big Sky),11,4-7,59,566,51.45
Mercer (SoCon),11,5-6,63,569,51.73
North Dakota (Big Sky),11,3-8,68,578,52.55
Fordham (Patriot),11,4-7,75,587,53.36
Monmouth (Big South),12,9-3,64,642,53.5
Cornell (Ivy League),10,3-7,67,540,54.0
Southern Utah (Big Sky),12,9-3,68,649,54.08
Abilene Christian (Southland),11,2-9,64,601,54.64
UNI (MVFC),13,8-5,80,711,54.69
Cal Poly (Big Sky),11,1-10,65,606,55.09
Richmond (CAA),11,6-5,59,609,55.36
Villanova (CAA),11,5-6,73,610,55.45
Valparaiso (Pioneer),11,6-5,66,611,55.55
